参数,参数键,层级,单位,扰动值,扰动标签,相对基准变化,可控性,解释,第60天价格,第90天价格,第120天价格,第180天价格,外推期最高价,外推期均价,第180天剩余供需缺口,外推期最大供需缺口,二次跳涨幅度,二次跳涨风险,第180天价格相对基准变化
地缘风险权重,risk_weight,市场价格形成层,无量纲,2.46,2.46,-0.0009502936342962146,低,市场把供应中断解释为长期地缘风险溢价的强度。,109.74762292334073,107.5349005316736,104.31126069332223,98.59063444736259,110.3299221525807,104.20065942994225,0.0,0.0,0.0,低,-0.014603592306556834
地缘风险权重,risk_weight,市场价格形成层,无量纲,2.95,2.95,0.19804741210521398,低,市场把供应中断解释为长期地缘风险溢价的强度。,114.04889128971053,111.26962574594447,107.61776239782516,101.63920093778843,114.52567913521086,107.64244795634035,0.0,0.0,0.0,低,3.0339628981192845
地缘风险权重,risk_weight,市场价格形成层,无量纲,3.2,3.20,0.29957685380904564,低,市场把供应中断解释为长期地缘风险溢价的强度。,116.2160418956115,113.17259147218415,109.30487188443482,103.1789634880325,116.6468881411384,109.34758599825102,0.0,0.0,0.0,低,4.573725448363348
不确定性与制度风险强度,uncertainty_floor,市场价格形成层,无量纲,0.17,0.17,-0.31187977707739944,中,前期冲击不确定性和持续封锁制度风险的共同强度。,104.35806966482976,102.72454747770865,99.58865728963184,94.36476567636741,104.96795244773521,99.50733854284326,0.0,0.0,0.0,低,-4.240472363301734
不确定性与制度风险强度,uncertainty_floor,市场价格形成层,无量纲,0.22,0.22,-0.10949147621781112,中,前期冲击不确定性和持续封锁制度风险的共同强度。,107.86867812059585,105.8573733638881,102.76445627861041,97.0705536847992,108.46025059855644,102.55783484118413,0.0,0.0,0.0,低,-1.5346843548699525
不确定性与制度风险强度,uncertainty_floor,市场价格形成层,无量纲,0.247,0.25,-0.00020179375363341782,中,前期冲击不确定性和持续封锁制度风险的共同强度。,109.7644066890296,107.54957813644118,104.32416399397975,98.60236312319248,110.34629003282666,104.2143124132507,0.0,0.0,0.0,低,-0.002874916476670819
不确定性与制度风险强度,uncertainty_floor,市场价格形成层,无量纲,0.3,0.30,0.21432980515753022,中,前期冲击不确定性和持续封锁制度风险的共同强度。,113.5393048567347,110.87826033173835,107.38735574242965,101.75697550454188,114.0875375667827,107.44171065934444,0.0,0.0,0.0,低,3.1517374648727383
不确定性与制度风险强度,uncertainty_floor,市场价格形成层,无量纲,0.34,0.34,0.37624044584520105,中,前期冲击不确定性和持续封锁制度风险的共同强度。,116.34779163468492,113.38669802429823,109.69936522182222,104.09791915655013,116.88227595199156,109.7980609330101,0.0,0.0,0.0,低,5.492681116880988
预期修复强度,relief_discount_strength,市场价格形成层,无量纲,0.06,0.06,-0.75,中,市场确认运输、库存和政策缓冲后给出的再定价折价。,110.78811675611072,107.55317318269508,104.32704438654748,98.60523803966927,110.73580485058278,104.2303747624017,0.0,0.0,0.0,低,1.2789769243681803e-13
预期修复强度,relief_discount_strength,市场价格形成层,无量纲,0.12,0.12,-0.5,中,市场确认运输、库存和政策缓冲后给出的再定价折价。,110.44804683225031,107.5530164360812,104.32704430055176,98.60523803966923,110.60712628894098,104.22603995066629,0.0,0.0,0.0,低,8.526512829121202e-14
预期修复强度,relief_discount_strength,市场价格形成层,无量纲,0.24,0.24,0.0,中,市场确认运输、库存和政策缓冲后给出的再定价折价。,109.76790698452947,107.55270294339726,104.32704412856036,98.60523803966915,110.34977256212765,104.21737050952117,0.0,0.0,0.0,低,0.0
预期修复强度,relief_discount_strength,市场价格形成层,无量纲,0.3,0.30,0.25,中,市场确认运输、库存和政策缓冲后给出的再定价折价。,109.42783706066906,107.5525461973277,104.32704404256467,98.6052380396691,110.22109740512897,104.21303588044125,0.0,0.0,0.0,低,-4.263256414560601e-14
