月份,月末收盘价,月均收盘价,月内最高价,月内最低价,月内交易日数,月度实现波动率,月内最大单日绝对收益,油价月度对数收益,油价月度收益率,GPR_全球综合,GPRT_威胁,GPRA_行动,GPRC_SAU_沙特,GPRC_RUS_俄罗斯,GPRC_USA_美国,GPRC_CHN_中国,数据下载日期,来源URL,GPR_历史标准分,GPR_历史分位数,GPR_全球综合_滞后1月,GPR_全球综合_滞后2月,GPRT_威胁_滞后1月,GPRT_威胁_滞后2月,GPRA_行动_滞后1月,GPRA_行动_滞后2月,GPRC_SAU_沙特_滞后1月,GPRC_SAU_沙特_滞后2月,GPR_历史标准分_滞后1月,GPR_历史标准分_滞后2月,是否冲突窗口月
2017-09-01,56.53,55.23523809523809,58.87,52.01,21,0.055545222381170836,0.0372208436724565,,,115.5344467163086,142.1448974609375,84.09626770019531,0.1298247426748275,1.1784090995788574,2.881110429763794,1.2183551788330078,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.266302668896586,0.7661290322580645,,,,,,,,,,,False
2017-10-01,61.18,57.568636363636365,61.18,55.09,22,0.05625042264962825,0.0229864888576943,0.079048868035558,0.08225720856182561,91.4615707397461,109.23060607910156,69.15699768066406,0.2313123941421508,0.7426345348358154,2.098043918609619,0.6046587228775024,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.2403989068557039,0.4778225806451613,115.5344467163086,,142.1448974609375,,84.09626770019531,,0.1298247426748275,,0.266302668896586,,False
2017-11-01,61.81,62.42999999999998,64.61,60.03,22,0.07260149604648317,0.0325334192301496,0.010244824948424575,0.010297482837528626,92.59601593017578,103.94397735595705,80.11587524414062,0.6059585809707642,0.6312068700790405,2.175559759140014,0.753240168094635,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.2165203654568705,0.4959677419354839,91.4615707397461,115.5344467163086,109.23060607910156,142.1448974609375,69.15699768066406,84.09626770019531,0.2313123941421508,0.1298247426748275,-0.2403989068557039,0.266302668896586,False
2017-12-01,66.62,63.66600000000001,66.95,60.25,20,0.0706379595125032,0.0400328137817882,0.07493966909435171,0.07781912311923644,82.71825408935547,95.908447265625,62.65747833251953,0.2467330694198608,0.7904596328735352,2.001279354095459,0.7310609817504883,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.4244339315186267,0.3024193548387097,92.59601593017578,91.4615707397461,103.94397735595705,109.23060607910156,80.11587524414062,69.15699768066406,0.6059585809707642,0.2313123941421508,-0.2165203654568705,-0.2403989068557039,False
2018-01-01,68.88,68.87954545454545,70.74,66.27,22,0.045016216607106675,0.0214876033057851,0.03336102735394157,0.03392374662263564,92.42678833007812,107.64431762695312,75.66629028320312,0.3080260157585144,1.0325379371643066,2.203904628753662,0.6854663491249084,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.2200823782265016,0.4919354838709677,82.71825408935547,92.59601593017578,95.908447265625,103.94397735595705,62.65747833251953,80.11587524414062,0.2467330694198608,0.6059585809707642,-0.4244339315186267,-0.2165203654568705,False
2018-02-01,64.75,65.44449999999999,69.99,61.72,20,0.06803302617513304,0.0278191014578994,-0.06183215953982821,-0.059959349593495914,64.49137115478516,74.68311309814453,52.002201080322266,0.1394959539175033,0.7439784407615662,1.590253829956055,0.2929415106773376,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.8080852373697069,0.0907258064516129,92.42678833007812,82.71825408935547,107.64431762695312,95.908447265625,75.66629028320312,62.65747833251953,0.3080260157585144,0.2467330694198608,-0.2200823782265016,-0.4244339315186267,False
2018-03-01,69.35,66.47857142857143,70.4,63.19,21,0.06091344230323227,0.0315007429420506,0.0686324461811933,0.07104247104247086,111.96229553222656,146.9270782470703,64.55758666992188,0.2484571635723114,1.4226176738739014,2.749058246612549,0.9457401633262634,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.1911137037076316,0.7338709677419355,64.49137115478516,92.42678833007812,74.68311309814453,107.64431762695312,52.002201080322266,75.66629028320312,0.1394959539175033,0.3080260157585144,-0.8080852373697069,-0.2200823782265016,False
2018-04-01,73.7,71.29650000000001,74.62,66.73,20,0.0706590711308025,0.0355685131195337,0.060836652434450376,0.0627253064167268,123.2634735107422,146.39566040039062,94.30585479736328,0.4405476748943329,1.766509771347046,3.360255718231201,1.105688214302063,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.4289882599154621,0.8125,111.96229553222656,64.49137115478516,146.9270782470703,74.68311309814453,64.55758666992188,52.002201080322266,0.2484571635723114,0.1394959539175033,0.1911137037076316,-0.8080852373697069,False
2018-05-01,77.61,77.08391304347825,80.47,72.41,23,0.06172169869114966,0.0308062880324542,0.05169348567075659,0.05305291723202177,125.66661834716795,172.21670532226562,63.21790313720703,0.5084460973739624,1.2564080953598022,3.3196067810058594,1.5211362838745115,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.4795712179535236,0.8185483870967742,123.2634735107422,111.96229553222656,146.39566040039062,146.9270782470703,94.30585479736328,64.55758666992188,0.4405476748943329,0.2484571635723114,0.4289882599154621,0.1911137037076316,False
2018-06-01,79.12,75.71619047619048,79.51,72.11,21,0.08106372765856344,0.0391379082374718,0.019269402448409304,0.019456255637160247,103.96858978271484,137.0244598388672,56.64043426513672,0.2684729993343353,0.8921564817428589,2.622774839401245,1.168890118598938,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.0228569776180175,0.655241935483871,125.66661834716795,123.2634735107422,172.21670532226562,146.39566040039062,63.21790313720703,94.30585479736328,0.5084460973739624,0.4405476748943329,0.4795712179535236,0.4289882599154621,False
2018-07-01,74.19,75.13863636363637,79.48,71.38,22,0.08408059766612913,0.059472482881055,-0.0643363171130222,-0.06231041456016184,110.02842712402344,129.1023406982422,84.4084701538086,0.1963881701231002,1.144174575805664,2.685394763946533,1.0246338844299316,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.1504083816394198,0.719758064516129,103.96858978271484,125.66661834716795,137.0244598388672,172.21670532226562,56.64043426513672,63.21790313720703,0.2684729993343353,0.5084460973739624,0.0228569776180175,0.4795712179535236,False
2018-08-01,77.71,73.98391304347825,78.19,70.67,23,0.06280410995206392,0.0299489658877247,0.04635457901971633,0.04744574740531071,112.74168395996094,145.11407470703125,68.57559204101562,0.371747225522995,1.1645092964172363,2.8082590103149414,0.96295964717865,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.2075187790646684,0.7439516129032258,110.02842712402344,103.96858978271484,129.1023406982422,137.0244598388672,84.4084701538086,56.64043426513672,0.1963881701231002,0.2684729993343353,0.1504083816394198,0.0228569776180175,False
