月份,GPR_全球综合,GPRT_威胁,GPRA_行动,GPRC_SAU_沙特,GPRC_RUS_俄罗斯,GPRC_USA_美国,GPRC_CHN_中国,数据下载日期,来源URL,GPR_历史标准分,GPR_历史分位数
1985-01-01,102.17337799072266,107.57417297363281,89.64749145507812,0.05179557949304581,1.4071133136749268,2.5725138187408447,0.28487569093704224,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.014929809664779912,0.6270161290322581
1985-02-01,117.10202026367188,126.4427261352539,96.60166931152344,0.12015897780656815,1.3679637908935547,2.856086492538452,0.17561696469783783,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.2992979781122323,0.7721774193548387
1985-03-01,124.77815246582031,127.07085418701172,116.98727416992188,0.05695224180817604,1.5051664113998413,2.945244550704956,0.11390448361635208,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.46087020929467837,0.8165322580645161
1985-04-01,87.92900085449219,94.64019775390625,73.75779724121094,0.10143570601940155,0.9051185846328735,1.9975031614303589,0.19506865739822388,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.3147547390818141,0.4092741935483871
1985-05-01,103.26284790039062,111.15978240966797,92.27672576904297,0.09385603666305542,1.1623709201812744,2.389719247817993,0.1299545168876648,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.008002062725578867,0.6431451612903226
1985-06-01,148.78282165527344,134.65670776367188,174.1437530517578,0.0923289954662323,1.2387473583221436,3.8085711002349854,0.11541125178337097,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.9661361241587981,0.9153225806451613
1985-07-01,133.90542602539062,126.30107879638672,149.5423583984375,0.1276378482580185,1.0806671380996704,3.114363431930542,0.15316541492938995,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.6529870091095085,0.8528225806451613
1985-08-01,82.78410339355469,75.26383972167969,84.87953186035156,0.033554233610630035,0.7298045754432678,1.8287056684494019,0.13421693444252014,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.42304789246652424,0.30443548387096775
1985-09-01,102.43449401855469,101.56950378417969,92.48631286621094,0.09526833891868591,0.8891711831092834,2.4928548336029053,0.11114639788866043,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.009433669407775108,0.6330645161290323
1985-10-01,105.99191284179688,91.34220886230469,118.73129272460938,0.10447761416435242,1.2388060092926025,2.8208954334259033,0.11940298229455948,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.06544519945287315,0.6834677419354839
1985-11-01,94.84818267822266,98.25837707519531,80.12213897705078,0.0781555324792862,1.273935079574585,2.4306368827819824,0.07033997774124146,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.16911529257719804,0.532258064516129
1985-12-01,96.4211654663086,80.3045654296875,111.21063232421875,0.08668242394924164,1.1111111640930176,2.277383804321289,0.1418439745903015,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.13600612613898885,0.5564516129032258
1986-01-01,135.36074829101562,137.66831970214844,166.0226287841797,0.09114259481430054,1.3505675792694092,3.3805618286132812,0.14085674285888672,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.683619580221391,0.8588709677419355
1986-02-01,98.75003051757812,84.02117919921875,114.81560516357422,0.09933176636695862,1.0384684801101685,2.3026909828186035,0.10836192965507507,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.08698665740822305,0.594758064516129
1986-03-01,98.67667388916016,85.12946319580078,117.56116485595703,0.10628730058670044,1.0465211868286133,2.428256034851074,0.13081514835357666,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.08853071551110402,0.5907258064516129
1986-04-01,148.31385803222656,142.49339294433594,182.87278747558594,0.2738816440105438,1.427504301071167,4.075026988983154,0.07469499856233597,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.9562650723160642,0.9112903225806451
1986-05-01,117.38924407958984,126.68498992919922,114.20220947265625,0.22873948514461517,1.1028510332107544,2.916428327560425,0.11436974257230759,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.30534365210070447,0.780241935483871
1986-06-01,96.29425048828125,106.94334411621094,80.0658187866211,0.10636556893587112,1.0472917556762695,2.3318605422973633,0.10636556893587112,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.1386775152748625,0.5544354838709677
1986-07-01,94.70178985595703,99.80805206298828,83.9753189086914,0.05148888751864433,0.9525443911552429,2.256929636001587,0.12014073878526688,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.17219666406737796,0.5282258064516129
1986-08-01,103.34593963623047,104.75926971435547,99.84519958496094,0.06666111201047897,1.1165735721588135,2.524789571762085,0.14998750388622284,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.00975103171137987,0.6451612903225806
1986-09-01,117.1078872680664,106.35902404785156,126.74607849121094,0.057447683066129684,1.2966762781143188,2.9872794151306152,0.18054986000061035,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.2994214706427695,0.7741935483870968
1986-10-01,96.79243469238281,109.01692199707031,77.40582275390625,0.06839945167303085,1.4363884925842285,2.51557993888855,0.1975984126329422,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.1281914096064359,0.5625
1986-11-01,109.77281951904297,124.65135192871094,89.47162628173828,0.1670112907886505,1.01797354221344,2.7994272708892822,0.23858755826950073,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.14502818625503908,0.7137096774193549
1986-12-01,89.75377655029297,93.46377563476562,78.10250091552734,0.1125040203332901,0.9964641332626343,2.242044448852539,0.1125040203332901,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.2763456714923433,0.4475806451612903
1987-01-01,96.94281768798828,90.4955062866211,104.48915100097656,0.1801222264766693,0.8427147269248962,2.4187841415405273,0.09649404883384705,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.12502605034841335,0.5665322580645161
1987-02-01,100.683349609375,109.72402954101562,89.29598236083984,0.15133796632289886,0.9699387550354004,2.565866470336914,0.10318497568368912,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.046292897709580366,0.6129032258064516
1987-03-01,89.60771942138672,105.55125427246094,67.09355163574219,0.07330034673213959,1.044529914855957,2.278419256210327,0.12216724455356598,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.27941997709000876,0.4415322580645161
1987-04-01,113.39408111572266,117.12814331054688,99.12645721435547,0.046352628618478775,1.5180485248565674,2.8680689334869385,0.16223420202732086,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.22125085940116918,0.7520161290322581
1987-05-01,98.65091705322266,97.37140655517578,95.23518371582031,0.17810973525047302,1.1663315296173096,2.5165183544158936,0.22981901466846466,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.08907286217312442,0.5887096774193549
1987-06-01,94.18240356445312,99.82925415039062,81.82940673828125,0.12410613894462585,1.2292417287826538,2.3698363304138184,0.33094969391822815,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.1831290450834807,0.5181451612903226
1987-07-01,98.87196350097656,107.52894592285156,88.26481628417969,0.19533562660217285,1.136498212814331,2.5334439277648926,0.24860897660255432,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.08442013254080301,0.6008064516129032
1987-08-01,99.96844482421875,115.48031616210938,87.60133361816406,0.4206225275993347,1.2258142232894897,2.7580819129943848,0.21031126379966736,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.06134067934997126,0.6088709677419355
1987-09-01,121.16707611083984,143.4519805908203,97.5398178100586,0.2942024767398834,1.5806171894073486,3.1439285278320312,0.36919528245925903,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.38486192175097633,0.8064516129032258
1987-10-01,101.05858612060547,110.70101928710938,88.82691192626953,0.2910328805446625,1.081763744354248,2.5918400287628174,0.31299763917922974,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.03839467517458351,0.6209677419354839
1987-11-01,96.15348815917969,110.79949951171875,75.88374328613281,0.1652892529964447,1.1684240102767944,2.5192363262176514,0.1253918558359146,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.14164037247695857,0.5504032258064516
1987-12-01,109.85638427734375,124.4972915649414,88.26872253417969,0.15365354716777802,1.6446619033813477,2.9535624980926514,0.20487138628959656,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.14678711172574685,0.7157258064516129
1988-01-01,83.20153045654297,87.14092254638672,72.89557647705078,0.12103048712015152,0.8990836143493652,2.057518243789673,0.14984726905822754,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.4142616157132298,0.3165322580645161
1988-02-01,86.20614624023438,90.18925476074219,73.8230972290039,0.07587696611881256,0.9688904285430908,2.153738498687744,0.11089710146188736,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.35101850535080786,0.3790322580645161
1988-03-01,110.20651245117188,105.9420166015625,109.30101776123047,0.1463097482919693,1.0946136713027954,2.8069794178009033,0.28720059990882874,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.15415683761835355,0.7217741935483871
1988-04-01,119.45051574707031,113.93638610839844,128.48338317871094,0.29471251368522644,1.1037272214889526,3.085813283920288,0.3120485544204712,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.34873064096662915,0.7903225806451613
1988-05-01,104.87347412109375,106.54883575439453,97.1541748046875,0.08292332291603088,1.177511215209961,2.6535463333129883,0.2377135306596756,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.041903572656207665,0.6733870967741935
1988-06-01,79.70812225341797,74.01183319091797,81.0764389038086,0.07330138236284256,0.7893995046615601,1.9453059434890747,0.135325625538826,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.4877931473421389,0.25
1988-07-01,83.43048095703125,70.79203796386719,96.27418518066406,0.12001920491456985,0.8941430449485779,2.112338066101074,0.23403744399547577,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.4094425164298855,0.32661290322580644
1988-08-01,84.05416107177734,73.71106719970703,93.28092193603516,0.09967166930437088,0.7915103435516357,2.1282832622528076,0.1407129466533661,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.3963148910803056,0.34274193548387094
1988-09-01,74.84265899658203,72.93437957763672,74.3477783203125,0.08890370279550552,0.7334555983543396,1.9280991554260254,0.15002501010894775,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.5902045875624062,0.17338709677419356
1988-10-01,73.45023345947266,71.80867004394531,65.83024597167969,0.043951213359832764,0.6153169870376587,1.8569388389587402,0.1208658367395401,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.6195132673586204,0.15725806451612903
1988-11-01,68.79841613769531,55.85908508300781,77.55838012695312,0.06376072019338608,0.7825179696083069,1.7273359298706055,0.11592859029769897,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.7174277487588174,0.11693548387096774
1988-12-01,90.39871978759766,82.27973937988281,94.38412475585938,0.07343388348817825,0.8247189521789551,2.372479200363159,0.1355702430009842,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.26277048608735737,0.4576612903225806
1989-01-01,89.24658966064453,89.09522247314453,82.81503295898438,0.055767662823200226,1.0252670049667358,2.162069320678711,0.15014371275901794,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.28702127155093105,0.43548387096774194
1989-02-01,91.6185531616211,88.43746948242188,91.77456665039062,0.027851274237036705,0.970152735710144,2.2095344066619873,0.16246576607227325,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.23709463857438523,0.48185483870967744
1989-03-01,87.73377227783203,79.90110778808594,93.08662414550781,0.09671569615602493,0.6689502596855164,1.9464033842086792,0.11283497512340546,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.31886403734438523,0.4032258064516129
1989-04-01,83.57909393310547,77.83438873291016,84.56328582763672,0.059084195643663406,0.8229584097862244,1.9624392986297607,0.13504958152770996,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.4063144136960302,0.33669354838709675
1989-05-01,103.82850646972656,116.75053405761719,80.26698303222656,0.03742048144340515,1.2598228454589844,2.527961492538452,0.41162529587745667,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.019908412789416713,0.6532258064516129
1989-06-01,89.46155548095703,97.67894744873047,68.48663330078125,0.03779289498925209,0.8398420810699463,2.1583943367004395,0.8692365884780884,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.28249653092620153,0.4375
1989-07-01,84.75310516357422,84.32604217529297,78.8324966430664,0.05787552148103714,0.832517147064209,1.9499598741531372,0.3695129454135895,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.3816030605112852,0.3487903225806452
1989-08-01,109.17729187011719,115.9572525024414,115.18624114990234,0.14707790315151215,0.6661763787269592,2.7339186668395996,0.2076393961906433,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.1324931323458784,0.7096774193548387
1989-09-01,85.54584503173828,79.4195785522461,88.94374084472656,0.13616441190242767,0.6935874819755554,2.076507329940796,0.15318496525287628,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,-0.36491695533833146,0.3649193548387097
