metric,value
model_rmse,3.4937945027732455
naive_rmse,4.515869794402845
model_mae,2.8912348886384303
naive_mae,3.6493333333333333
model_mape,2.8868798855815103
naive_mape,3.6192719825441664
rmse_improvement_pct,22.632966364451022
dm_squared_statistic,-2.0479053309159028
dm_squared_p_value,0.023283234326750696
dm_absolute_statistic,-1.6835311530716581
dm_absolute_p_value,0.04967769274283716
direction_hit_rate_pct,65.9090909090909
direction_p_value,0.024383382952237326
hac_intercept_estimate,-3.216101896233462
hac_intercept_p_value,0.617110975641787
hac_slope_estimate,1.0317263549411415
hac_slope_p_value,6.34419392733003e-20
arch_lm_p_value,0.5511369832640151
garch_alpha1,2.240417614594286e-8
garch_beta1,0.9974985755059017
garch_persistence,0.9974985979100779
garch_shape,99.99969178575961
