指标,数值,对照值,解释,p_value
模型RMSE,3.397714213752465,4.515869794402845,短期动态模型与朴素上一日基准的RMSE对比,
模型MAE,2.7659443886571147,3.649333333333333,短期动态模型与朴素上一日基准的MAE对比,
模型MAPE,2.752982147914494,3.6192719825441664,短期动态模型与朴素上一日基准的相对误差对比,
RMSE改善率,24.760580609216586,0.0,相对朴素上一日基准的RMSE下降比例,
DM平方损失均值差,-8.84861812166446,-4.239295367332792,负值表示模型平方损失低于朴素基准；单侧p值越小越支持模型优于基准,5.6560022076176506e-05
DM绝对损失均值差,-0.8833889446762185,-3.2814552043110514,负值表示模型绝对损失低于朴素基准；单侧p值越小越支持模型优于基准,0.0010132104302113137
方向命中率,65.9090909090909,50.0,涨跌方向命中率及其相对随机猜测50%的单侧二项检验,0.024383382952237298
校准回归R2,0.8074719676740484,,actual = a + b * fitted；p值检验a=0且b=1是否可被拒绝,0.723697390700312
