分段,样本数,模型RMSE,朴素基准RMSE,模型MAE,朴素基准MAE,RMSE改善率
前段冲击吸收,15,3.332734171476164,5.186346176902065,2.799293107621595,4.105333333333334,35.74022909772502
中段平台维持,15,4.1170008688318305,4.357305742466706,3.439252798980192,3.532666666666667,5.514987651493952
后段预期修复,15,2.5644828763943117,3.910874582494302,2.0592872593695573,3.3099999999999983,34.4268699417428
