test,statistic,p_value,note
Ljung-Box residual lag5,7.884740411337636,0.16270325277200792,短期模型残差线性自相关检验
Ljung-Box residual lag10,9.258000870668496,0.5078060314224149,短期模型残差线性自相关检验
Ljung-Box squared residual lag5,5.00341521031198,0.41546353189457363,平方残差波动聚集检验
Ljung-Box squared residual lag10,19.069953960584545,0.03938310457749039,平方残差波动聚集检验
ARCH-LM lag5,3.988055284829529,0.5511369832640151,条件异方差检验
"GARCH(1,1)",NA,NA,ok
