day_index,trade_date,physical_pressure,recovery_evidence,gap_pressure,spr_depletion_pressure,inventory_depletion_pressure,price_pressure,route_bottleneck_pressure,spr_exhaustion_pressure
65,2026-05-06,0.34825310327458914,0.6773608132987142,0.8683071275635308,0.0117647058823529,0.0,0.5059884476009188,0.05268222619081642,0.0
66,2026-05-07,0.3753902364609239,0.6553220189160228,0.7783133565970595,0.02352941176470591,0.0026891046050888656,0.8273947794993702,0.04815694180944419,0.0
67,2026-05-08,0.3889562080384055,0.644594054847445,0.722689631230265,0.03529411764705881,0.005299039107186987,1.0,0.042884821845992405,0.0
68,2026-05-09,0.3806858694211962,0.6526403505926794,0.686395922021293,0.04705882352941182,0.00785637201845879,1.0,0.03750005843768911,0.0
69,2026-05-10,0.3761137769809704,0.6572263470526544,0.6624020951448596,0.05882352941176472,0.010378159326859149,1.0,0.032298791101121105,0.0
70,2026-05-11,0.37399612739531585,0.659505615105753,0.6465118922519103,0.07058823529411762,0.012875581160607164,1.0,0.027444291826594913,0.0
71,2026-05-12,0.37354740339490655,0.6602078821910664,0.6360819607975879,0.08235294117647063,0.015356105408137255,1.0,0.02301336404177412,0.0
72,2026-05-13,0.3748527787485202,0.6590462924222278,0.6301724950061696,0.09411764705882353,0.01782583887556599,1.0,0.023581211201578745,0.0
73,2026-05-14,0.376867989661329,0.6572323769208807,0.6266939414268715,0.10588235294117643,0.020288049890482718,1.0,0.023923007574023547,0.0
74,2026-05-15,0.379372470224313,0.6549688462636499,0.6248910956827242,0.11764705882352944,0.022744978972704555,1.0,0.024108654540405783,0.0
75,2026-05-16,0.3913819890813074,0.6439709832660594,0.6555533449932365,0.12941176470588234,0.025239716612777907,1.0,0.02127810447177869,0.0
76,2026-05-17,0.4030000729502044,0.633331680852005,0.684847498166492,0.14117647058823535,0.027770676477611556,1.0,0.018603477560936166,0.0
77,2026-05-18,0.414227657429258,0.6230498411406125,0.712776488453889,0.15294117647058825,0.03033610278328902,1.0,0.016089419607122846,0.0
78,2026-05-19,0.425075224661506,0.6131157120799958,0.7393766330608016,0.16470588235294115,0.03293415223669227,1.0,0.013734915287672678,0.0
79,2026-05-20,0.4355585136277956,0.6035148013512308,0.7647027674598261,0.17647058823529416,0.035562953219686944,1.0,0.011535279981742641,0.0
80,2026-05-21,0.4456993379248215,0.5942270952699055,0.7888308289918522,0.18823529411764706,0.038220663574806135,1.0,0.009482563473979355,0.0
