sample_id,第180天价格,外推期最高价,外推期最低价,外推期均价,突破120,突破130,最终状态,缓和占比,维持占比,升级占比,第90天价格,第120天价格,第150天价格
1,92.9159243031578,130.77105994780538,90.31833298684735,111.75587699646094,True,True,维持,0.05172413793103448,0.5862068965517241,0.3620689655172414,130.65141840284195,102.14470708174164,120.5153367574365
2,103.91921517605259,131.2868807936074,93.36117663334122,109.90638980210046,True,True,维持,0.034482758620689655,0.6551724137931034,0.3103448275862069,108.62296716802484,122.98377247607505,93.36117663334122
3,96.02660494437986,117.5223243328576,93.07743210604511,105.74577572672469,False,False,维持,0.034482758620689655,0.8275862068965517,0.13793103448275862,110.64059981465601,103.65073937621048,97.99994542339792
4,93.72711651962011,126.06095381505529,93.45262693996445,109.2428974940787,True,False,维持,0.02586206896551724,0.646551724137931,0.3275862068965517,117.04758706226082,121.15667882855698,97.60784530190486
5,92.21334925881652,127.64533710691757,92.21334925881652,105.91579864644332,True,False,维持,0.15517241379310345,0.6293103448275862,0.21551724137931033,117.42855149936038,104.80464896848379,98.70416824513286
6,93.58258785900072,119.61630550802231,93.58258785900072,109.95526870744438,False,False,缓和,0.07758620689655173,0.49137931034482757,0.43103448275862066,118.04808990658069,98.86655581655702,109.91071440103487
7,92.74001467564202,132.84789662277666,92.74001467564202,110.99605137122381,True,True,缓和,0.06896551724137931,0.5603448275862069,0.3706896551724138,121.10850728420353,100.58659686695644,99.27541338323628
8,104.53799131583996,127.4836396920539,95.94885438749839,108.1779801895206,True,False,维持,0.0603448275862069,0.7327586206896551,0.20689655172413793,115.54727087525033,103.00948299688908,101.27081647560067
9,99.50909639385075,124.9061300796301,95.5529821254958,107.03179816104137,True,False,维持,0.02586206896551724,0.7758620689655172,0.19827586206896552,101.90675254239724,101.53437694369656,115.825426541896
10,110.15814194216486,125.48335748392134,94.8685649791802,107.76970168905994,True,False,升级,0.04310344827586207,0.7068965517241379,0.25,107.35413768135686,115.18090909846634,98.53108871501053
11,90.4549212117495,124.33465060241758,87.69599610862886,107.6615665186895,True,False,维持,0.10344827586206896,0.646551724137931,0.25,117.99586616211214,118.38520093978471,96.9863013336892
12,93.21692073451685,134.7411232830864,93.21509985334815,108.56309917137202,True,True,维持,0.02586206896551724,0.6551724137931034,0.31896551724137934,128.0012580355652,105.45110208743237,99.63665951817012
13,105.18157799228995,118.37513257449429,92.88662101277126,104.74829884672147,False,False,升级,0.1206896551724138,0.7413793103448276,0.13793103448275862,105.84040143163527,104.9447525456558,93.70001962529402
14,95.0683321624495,115.38153593400406,95.0683321624495,106.54379244709082,False,False,维持,0.05172413793103448,0.7758620689655172,0.1724137931034483,104.38981127413044,106.04053762683309,99.47592398839076
15,93.90406854682907,132.66407881846507,93.13041712815594,108.65472372375092,True,True,维持,0.08620689655172414,0.7155172413793104,0.19827586206896552,112.80773552667439,107.67884405714202,99.85391031481433
16,112.79487280958874,122.78147599330957,94.83566315525019,108.64406413717126,True,False,升级,0.034482758620689655,0.7241379310344828,0.2413793103448276,121.4738338732547,111.67032791466687,97.71321759662784
17,104.51117190726539,123.15047707654671,95.08784201458303,105.00060586066971,True,False,维持,0.14655172413793102,0.7068965517241379,0.14655172413793102,109.7120175474096,98.60069810621158,98.16532655997003
18,101.14992156836307,121.73469651113227,98.08636787827741,106.59074337042267,True,False,维持,0.06896551724137931,0.75,0.1810344827586207,109.53415803029135,108.95810980681705,98.87667326137425
19,94.03834902736314,126.60972998605556,89.94765567872602,104.89245326610347,True,False,维持,0.05172413793103448,0.853448275862069,0.09482758620689655,109.21955679159207,108.03781795256008,98.48397364472217
20,99.45482680290404,121.5298466749707,91.56323017384648,104.71589378254689,True,False,升级,0.10344827586206896,0.75,0.14655172413793102,112.01843479500818,105.85880190066362,105.1523067896014
21,102.16060790306365,124.73821237534256,96.36703021464506,109.82334235620495,True,False,维持,0.05172413793103448,0.603448275862069,0.3448275862068966,106.62861807133781,114.30696086697232,96.65342843323522
22,96.47742025566555,122.17546736710028,95.96276665370537,105.4161895450622,True,False,维持,0.05172413793103448,0.853448275862069,0.09482758620689655,108.47777621168507,106.97643782846261,97.25564983684237
23,94.8424354351103,123.43310622012876,91.24906787628436,106.30236716821395,True,False,维持,0.08620689655172414,0.7413793103448276,0.1724137931034483,104.5190696724644,110.51082815976434,101.42218323175588
24,92.02395864354918,124.36488542207725,91.32520787089125,106.50800193908138,True,False,维持,0.08620689655172414,0.7672413793103449,0.14655172413793102,117.7843293103596,101.17517967283605,105.93260756395661
25,118.34170447809225,126.97203175340881,95.05120276889284,109.77540769905553,True,False,升级,0.07758620689655173,0.5431034482758621,0.3793103448275862,124.6908623273917,103.05102783727096,106.690958939198
26,94.66947543920091,124.40519082572622,94.66947543920091,107.11640820835795,True,False,缓和,0.11206896551724138,0.6896551724137931,0.19827586206896552,103.71310062446747,109.59191014758933,107.42860253253716
27,98.30738593113055,124.5801332508237,90.91289058992534,107.80599820370664,True,False,维持,0.06896551724137931,0.6810344827586207,0.25,114.60678861649109,110.15170283384673,117.8959933728676
28,93.59107967273738,117.1735378112677,92.62981007866838,102.70878375846623,False,False,维持,0.1810344827586207,0.6982758620689655,0.1206896551724138,110.66190608456846,105.00746262682588,101.76956255618079
29,90.79957318105812,126.8049819755865,90.79957318105812,106.60078524018114,True,False,维持,0.05172413793103448,0.7413793103448276,0.20689655172413793,106.67894265090462,109.06852569035225,105.54872834485944
30,96.47478337272344,119.02255122059164,92.71753288975403,105.07046612470266,False,False,维持,0.09482758620689655,0.7068965517241379,0.19827586206896552,101.63734234311237,114.28977686740346,101.7444899167306
31,120.22908297956741,123.64489886410475,92.48775906376638,108.26778800519526,True,False,升级,0.10344827586206896,0.6896551724137931,0.20689655172413793,115.30576466689976,108.00384586109065,96.09818610948743
32,97.10216455221085,126.7570710884262,94.01052014978585,106.53901631683884,True,False,维持,0.034482758620689655,0.8103448275862069,0.15517241379310345,114.32756422460506,104.2529921441577,99.20202216931332
33,95.94383863685272,115.277676682227,94.76545008904085,105.36307802509381,False,False,维持,0.11206896551724138,0.6810344827586207,0.20689655172413793,107.35932494975067,102.38245745571213,99.05870571619799
34,93.03735202087069,118.00228854333183,93.03735202087069,105.98062636020211,False,False,维持,0.09482758620689655,0.7844827586206896,0.1206896551724138,114.48546000345621,102.5714848019846,108.08278294882572
35,104.13028362158825,116.72273736735556,89.21566856022586,105.09303929913439,False,False,维持,0.05172413793103448,0.7241379310344828,0.22413793103448276,107.954738948705,108.22667851178707,99.55005762471073
36,93.92922517682683,122.26107019346567,93.92922517682683,107.75355874172105,True,False,维持,0.008620689655172414,0.75,0.2413793103448276,108.89627729357784,109.84425374563567,102.52415226259308
37,108.66233839069012,120.25265983892464,95.45858267662156,105.7649649446871,True,False,升级,0.06896551724137931,0.6982758620689655,0.23275862068965517,102.9258385743127,100.9213003719303,97.94962880127305
38,94.9076012516554,120.80800862265833,91.44643624248691,103.1469550772735,True,False,维持,0.04310344827586207,0.8706896551724138,0.08620689655172414,119.62871534693615,105.67814451930047,98.44125651110076
39,96.24141296896916,120.45128904313363,92.06412068323095,105.20258852894096,True,False,维持,0.11206896551724138,0.75,0.13793103448275862,109.00174325854216,120.14070469238234,96.79993479575883
40,96.085800833673,115.35442742858262,94.77635319544416,105.04918915498929,False,False,维持,0.0603448275862069,0.8620689655172413,0.07758620689655173,104.29378844547774,102.14998536840339,104.93131045376806
41,92.22039335496763,131.44316975922177,92.22039335496763,110.60167114503066,True,True,维持,0.07758620689655173,0.5172413793103449,0.4051724137931034,125.49211715865975,98.43901643263374,113.33102573599051
42,91.71904988830708,128.53665372331838,91.71904988830708,109.629622977298,True,False,维持,0.034482758620689655,0.5862068965517241,0.3793103448275862,108.5533747376475,104.64115860433392,103.41994047515941
43,97.72376206592078,117.78864985413895,94.13770420173023,103.9069630877167,False,False,升级,0.09482758620689655,0.8362068965517241,0.06896551724137931,102.9369381371534,103.97631916021854,103.5382169058139
44,92.99499014386723,124.68915568165085,92.35527430656222,105.85811870263716,True,False,维持,0.0603448275862069,0.7844827586206896,0.15517241379310345,121.86076863433061,122.25441029790197,94.95956203051706
45,97.63328122923099,127.05646022054849,96.25784145092534,109.06417031122282,True,False,维持,0.017241379310344827,0.6982758620689655,0.28448275862068967,109.85210943553759,109.21494139182634,96.25784145092534
46,93.50735592034131,122.18324564831765,92.89222660612566,103.063342789646,True,False,维持,0.12931034482758622,0.7672413793103449,0.10344827586206896,99.56205942670117,105.2800890677356,95.65396141109404
47,110.36259415315783,135.2584470914824,97.2940340696831,109.5382558687079,True,True,升级,0.15517241379310345,0.45689655172413796,0.3879310344827586,108.2717845840104,101.6767706989129,111.46469382190067
48,88.21074856315299,128.20902255597227,88.21074856315299,105.77463222948461,True,False,缓和,0.11206896551724138,0.7155172413793104,0.1724137931034483,109.76228408970496,106.75093344324489,101.56272134751067
49,91.70621204803807,123.35181222799838,91.70621204803807,106.72359907764286,True,False,维持,0.02586206896551724,0.7327586206896551,0.2413793103448276,111.27589634240162,110.18147556211908,100.83333576100468
50,95.56348629706667,120.82564184557013,94.7315507420502,105.70279272753952,True,False,维持,0.06896551724137931,0.8189655172413793,0.11206896551724138,111.16390387704499,105.70480782031109,96.88085015420074
51,100.09761028416615,130.0593848569332,95.10348001937564,107.02029061606446,True,True,升级,0.12931034482758622,0.6293103448275862,0.2413793103448276,121.19423506154683,106.06411444948691,102.38779266975757
52,93.97334937488108,113.55185042892866,93.92912103678503,104.90535883187826,False,False,维持,0.11206896551724138,0.7327586206896551,0.15517241379310345,106.14309855974379,108.8778695024505,100.66218710468763
53,96.02018109155837,125.84026386424081,89.16985938423656,105.56685594087787,True,False,维持,0.08620689655172414,0.7672413793103449,0.14655172413793102,107.82137573428862,103.37447415390216,97.1936840163404
54,94.08463086788231,126.19321467212751,92.56031059175136,107.67817779165895,True,False,维持,0.0603448275862069,0.7327586206896551,0.20689655172413793,115.4819882859468,108.38165800753492,109.15618410302122
55,94.09175262612575,125.27127221752185,92.64476971782021,105.06738780606716,True,False,维持,0.07758620689655173,0.8017241379310345,0.1206896551724138,119.64441001945283,111.97221666604307,98.2134611721233
56,95.6449323162486,123.28739521920227,95.10027928925527,104.9188792349324,True,False,维持,0.09482758620689655,0.7068965517241379,0.19827586206896552,106.52843176334916,108.02414548607,119.9968112324888
57,101.8940230035366,133.35442577521127,95.28633862674914,107.4560118179167,True,True,维持,0.1206896551724138,0.5862068965517241,0.29310344827586204,122.59169242198139,95.28633862674914,105.89918801581443
58,103.59494359481478,126.04371740464252,93.76515464797225,108.96093597350543,True,False,维持,0.12931034482758622,0.5086206896551724,0.3620689655172414,115.01965578497935,107.02348929829506,118.85967324671863
59,110.5187822827204,123.59138015012145,96.69272402468438,106.34384671377722,True,False,升级,0.09482758620689655,0.6810344827586207,0.22413793103448276,104.45694553920333,98.77648276883848,102.73311303446272
60,96.62665629507771,130.55193434588293,96.62665629507771,106.90674646503356,True,True,维持,0.07758620689655173,0.7586206896551724,0.16379310344827586,109.35081091794235,102.34399744045523,109.09236192960556
61,113.55796862516864,124.60579447581607,92.50695536135761,107.75672422801554,True,False,升级,0.0603448275862069,0.6724137931034483,0.2672413793103448,107.77845723030133,112.75171999366187,95.97286372537044
