day_index,trade_date,p05,p10,p25,p50,p75,p90,p95
65,2026-05-06,107.9402589602632,108.38822351559344,109.27136227687652,110.19774147287688,111.09894976916574,112.00307604490577,112.78186285031514
66,2026-05-07,105.71648049960272,106.41813835453588,108.13177892350201,109.97991411505328,111.55908603020748,113.54090027096763,115.17176588191482
67,2026-05-08,103.51907602782617,104.36256328233043,106.7049363191503,109.53908167285843,112.19327703147651,115.1248644795164,117.27759550136135
68,2026-05-09,101.59067856391418,102.56486472930271,105.17430938022068,109.17932248924578,112.31285377800627,116.79954169142798,119.42035611352604
69,2026-05-10,100.06768152598481,101.01197130602911,103.79164736581616,108.73536913650997,112.722932541592,117.90025858643993,120.78670403964733
70,2026-05-11,98.60300408648509,99.74961888260654,102.53596766653698,108.0159616755329,112.73440899267742,118.7139547107785,121.94959029892662
71,2026-05-12,97.30504882175548,98.65637070979747,101.49744913318892,107.52561097122572,112.79214906288493,119.13703603816182,122.58117601243241
72,2026-05-13,96.60492969701372,97.67050624241112,100.738001907179,106.79402107349244,112.66800013332228,119.45707225644021,123.04236355456531
73,2026-05-14,95.8120043534191,96.92183193602577,99.9265205019949,106.13265730114621,112.61127475607785,119.39131101938385,123.23549224417157
74,2026-05-15,95.2430406616062,96.43360402662601,99.26354936548574,105.7480253582959,112.28123971077343,119.16329722185218,123.20848814600934
75,2026-05-16,94.90742047130058,95.96609420580003,98.80659963038522,105.2008306154129,112.07435815333234,119.06219639553201,123.24621259128135
76,2026-05-17,94.47336335224064,95.512365932947,98.72299282389693,104.63709211776352,111.58626990752141,118.30190504178704,122.23265489333082
77,2026-05-18,94.21175138201387,95.28395838545272,98.41962569001356,104.27455548401296,111.06505005776432,118.10053100930098,122.13623118142975
78,2026-05-19,94.06358018047491,95.07721228890645,98.09949351364156,103.99964814439076,110.92237755827176,117.39347595431198,122.19861649656409
79,2026-05-20,93.82451595547646,94.95641389097992,97.79535813989945,103.50639454671621,110.64355891194224,117.22492980815552,121.63758153607168
80,2026-05-21,93.68422151837309,94.81671430749273,97.54021262483258,103.16174538054503,110.0644151180539,117.10533527686106,121.44316341749003
81,2026-05-22,93.55346854434082,94.60594606730308,97.42013002849431,102.9156147041755,109.48116785622874,116.857525234618,121.56160829755963
82,2026-05-23,93.54025883480448,94.57921575165997,97.37178690319594,102.81308790698134,109.43473141640514,116.72308374143515,121.08422661996109
83,2026-05-24,93.54577722984826,94.50633859597757,97.18027971163414,102.4061967105355,109.20663417909346,116.47539758400777,120.76958458840352
84,2026-05-25,93.50454287043861,94.46319363919879,97.17076986123311,102.40373564852997,109.24508752140285,115.97655792931421,119.89392821619602
85,2026-05-26,93.45640305957895,94.42235680711799,97.18760236489697,102.36242443180575,108.853858604359,115.37647651697952,120.00142055858211
86,2026-05-27,93.40640464292635,94.37146971811231,97.08739943620338,102.11149934281994,108.61623966886422,115.58852296885455,119.62387314010859
87,2026-05-28,93.23427354470883,94.24603720430373,96.89461079893792,102.0650611280414,108.44079151049732,114.7305232482985,119.06581107265279
88,2026-05-29,93.24604819796953,94.27219741614095,96.96978013404537,102.03474468189265,108.12958841176388,114.36167299154992,118.19531147565058
89,2026-05-30,93.20800759932389,94.21343522105536,96.90098545205403,101.77499443937441,107.93898321656702,114.06232574139722,118.0144238934505
90,2026-05-31,93.1397601701724,94.14458452305543,96.86615258695895,101.71716580809914,107.66130494592912,113.43345415011908,117.85041571027604
91,2026-06-01,93.0540559046332,94.20726438132318,96.75817782273808,101.38068916161771,107.37990110238687,113.28588864361897,117.1720730793671
92,2026-06-02,93.09846257270713,94.19120810987023,96.57809019371186,101.29977156249672,107.27199455449905,113.44644027819402,117.0539468048474
93,2026-06-03,93.12022987388372,94.16918287228592,96.56147465840753,101.256492912644,106.88249621987924,113.11169943314779,117.05510683934322
94,2026-06-04,93.07891005156903,94.12751046392513,96.5872332309927,101.14811484759943,106.56129231087772,112.83519633472987,117.1510909064403
95,2026-06-05,93.07319974748322,94.00955928040912,96.52460410008332,101.1783861457229,106.44774346727907,112.44971020309302,116.69552967644063
96,2026-06-06,92.80589425841265,93.97642442459237,96.27565583845363,100.84604375025934,106.3585113880396,112.36429165655082,116.34661030492748
97,2026-06-07,92.8716532617853,93.8505276846018,96.25325245934305,100.54759311166261,106.10704734870126,112.40664789974915,116.13049205830504
98,2026-06-08,92.86576294310305,93.78444994819469,96.16225250253707,100.33285648953947,105.688496137171,112.23193028589507,116.20721868371416
99,2026-06-09,92.73123640683694,93.7051907226064,95.96565557453397,100.14638639808274,105.56198075300617,112.12529070248753,116.2287137203209
100,2026-06-10,92.77345225000249,93.66369624475459,95.89788612607663,99.91263151490226,105.45044034414752,111.87130830461334,115.84497110002613
101,2026-06-11,92.6424084522865,93.62552333660526,95.86095714449812,99.82724062740556,105.37828867283173,111.78224458081372,115.45791079973347
