模型设定,综合状态转移压力,使用物理压力,突破120概率,突破130概率,外推期最高价P95,第180天价格P50,第180天价格P95,升级状态平均占比
历史基础矩阵,0.0,False,0.3536666666666667,0.017666666666666667,127.3356348085683,94.90450756348484,106.83073821886141,0.15001724137931036
历史基础矩阵+物理压力约束,0.0,True,0.384,0.03,128.75332979946816,95.63546646401824,107.22733104065031,0.17329885057471264
历史基础矩阵+物理压力+GPR/OVX风险约束,0.8313955791753518,True,0.43966666666666665,0.03166666666666667,128.8122042752077,95.71933823916109,107.612775968019,0.1880977011494253
