candidate,late_easing_scale,risk_decay_floor,risk_boost_scale,late_escalation_floor,第90天P95-P05,第180天P50,第180天P95,第180天P95-P05,突破120概率,突破130概率,外推期最高价P95,升级状态平均占比,第180天最终升级占比,综合评分
高尾部保持,0.3,0.45,1.35,0.055,25.63819666805074,90.37702175526282,100.62776962308983,14.85958839904589,0.3491666666666667,0.04083333333333333,129.2935969081432,0.1438793103448276,0.13916666666666666,-0.2640830870729937
强风险惯性,0.35,0.55,1.45,0.045,24.96163974886288,89.89583157144867,100.19879767636249,14.515585219726901,0.36333333333333334,0.051666666666666666,130.052642689356,0.14007902298850577,0.10416666666666667,-0.3008811331101198
中度尾部保持,0.45,0.38,1.25,0.04,23.69701872659232,89.58725514276198,100.03110972622342,14.505068438776107,0.3458333333333333,0.035833333333333335,128.60933841520614,0.12961925287356324,0.1075,-0.3642588597961557
保守折中,0.55,0.35,1.15,0.035,25.743280063891063,89.09697358333318,99.3830783877279,13.924636810677896,0.32916666666666666,0.02666666666666667,127.92712887554944,0.11895833333333333,0.09333333333333334,-0.42300192808888776
低缓和高惯性,0.2,0.5,1.3,0.06,23.404654174217043,90.65320883703612,102.58446346279763,16.735111716103788,0.33166666666666667,0.0275,128.73565776171398,0.15129310344827587,0.16,-0.42660423848323326
轻度尾部保持,0.65,0.28,1.1,0.025,23.91284720649817,88.66730689360621,97.5230946081087,12.430283180356227,0.3258333333333333,0.030833333333333334,128.85712519660362,0.10733477011494254,0.06666666666666667,-0.64804840607555
