scenario,情景,第60天价格,第90天价格,第120天价格,第180天价格,外推期最高价,外推期最低价,外推期均价,第180天剩余商业库存,第180天剩余SPR预算,SPR耗尽压力峰值,第180天剩余供需缺口,外推期最大供需缺口,二次跳涨幅度,二次跳涨风险
optimistic,乐观情景,109.688698257944,94.12407201407417,92.76145167136477,87.52660823573933,102.80639985066391,87.52660823573933,91.93646901410038,43204.571118874286,35986.169355659025,0.0,0.0,0.0,0.0,低
neutral,中性情景,109.688698257944,108.09252917121924,103.34327779099365,94.467558580193,111.22599689220486,94.467558580193,102.86011711775828,45871.53211484826,32091.444477500718,0.0,0.0,0.0,0.738708582425545,低
pessimistic,悲观情景,109.688698257944,129.04360923468047,120.80894170587449,115.90484662131487,135.48646221072545,115.90484662131487,122.93846584901546,39461.374700441454,0.0,0.4430500358649788,837.9216398602239,837.9216398602239,24.999173900946133,高
