窗口起始,窗口终止,日收益波动率,实现波动率_46日,最大单日绝对收益,平均绝对日收益,累计收益率,价格区间比例,朴素上一日基准_RMSE
2017-09-01,2017-11-03,0.01221494055668572,0.08284575757970242,0.036544870578073346,0.010091713436961013,0.17840197380907208,0.18770165116720441,
2017-09-04,2017-11-06,0.012747237929315574,0.08645597401002868,0.036544870578073346,0.010595540621177969,0.22816091954022988,0.2281609195402298,0.7794925885806574
2017-09-05,2017-11-07,0.012714844646556853,0.08623627207712234,0.036544870578073346,0.010376492072114918,0.1945854483925551,0.2053017484489566,0.7806741790997341
2017-09-06,2017-11-08,0.012547478767474753,0.0851011414572717,0.036544870578073346,0.009988278177524477,0.17205095071072551,0.19124976924496953,0.7669419795525608
2017-09-07,2017-11-09,0.012543709983092895,0.0850755803179587,0.036544870578073346,0.009965034904157948,0.1708256880733945,0.19009174311926605,0.7546839246247113
2017-09-08,2017-11-10,0.012313369608299951,0.0835133358876762,0.036544870578073346,0.009730355190219121,0.18325581395348833,0.1927441860465116,0.7537500450645314
2017-09-11,2017-11-13,0.012422739269106942,0.08425511701741169,0.036544870578073346,0.00982089153744532,0.17059150750973484,0.18876321157055442,0.7488077480089674
2017-09-12,2017-11-14,0.0131532280163871,0.08920953275042552,0.036544870578073346,0.010353807730229914,0.13862668887655016,0.18656302054414212,0.7850851518479854
2017-09-13,2017-11-15,0.013062787068031868,0.08859613239469355,0.036544870578073346,0.01015694757544911,0.12858447488584468,0.17095890410958903,0.7859555247954696
2017-09-14,2017-11-16,0.013151886751415874,0.08920043584879586,0.036544870578073346,0.010216066399963978,0.1133514986376023,0.16457765667574936,0.7822348140730035
2017-09-15,2017-11-17,0.013366732868714279,0.09065759311190688,0.036544870578073346,0.010519980740688798,0.12868245075004525,0.16193746611241644,0.7994916863368496
2017-09-18,2017-11-20,0.01417994600938169,0.09617307297852694,0.036544870578073346,0.011124600418095936,0.09838738901974997,0.16234825149483603,0.8427839477640142
2017-09-19,2017-11-21,0.014778607654495178,0.10023339380392723,0.036544870578073346,0.01178719271500261,0.13327289211242066,0.16246600181323664,0.88695742753577
2017-09-20,2017-11-22,0.014724602687676664,0.09986711429823635,0.036544870578073346,0.011667682471426091,0.12719455392332502,0.15102113937656753,0.8890970016038018
2017-09-21,2017-11-23,0.014720602464165747,0.09983998346237904,0.036544870578073346,0.011627016114249803,0.12513368983957207,0.15026737967914439,0.884083903159699
2017-09-22,2017-11-24,0.01471397256766558,0.09979501731656096,0.036544870578073346,0.011577937703753705,0.12265154200638073,0.14941510102800423,0.8837149845470794
2017-09-25,2017-11-27,0.013797854510157727,0.09358160234704296,0.03201541262236437,0.0107763571698956,0.08185235816814762,0.14405331510594668,0.8824656662861815
2017-09-26,2017-11-28,0.013964191541797566,0.0947097549840379,0.03201541262236437,0.01094331072657333,0.07375495433396528,0.145269688092366,0.8394136152048675
