序列,ADF统计量,p值,使用滞后阶数,样本数,1%临界值,5%临界值,10%临界值,结论
收盘价水平,-1.745119535922645,0.4080281515452417,24,2212,-3.4333097218995423,-2.862847514596788,-2.5674660532963385,不能拒绝单位根，按非平稳处理
对数收盘价,-1.9909476185086765,0.2905563040210838,4,2232,-3.4332831704990503,-2.862835790766408,-2.5674598111615343,不能拒绝单位根，按非平稳处理
对数收益率,-23.623241364778305,0.0,3,2232,-3.4332831704990503,-2.862835790766408,-2.5674598111615343,可拒绝单位根，近似平稳
