基准指标,历史P05,历史P25,历史中位数,历史P75,历史P95,冲突窗口数值,冲突窗口历史分位数
朴素上一日基准_RMSE,0.8275622191588563,0.9877184597659521,1.2538551286042385,1.6718375392180478,2.8825176946492075,4.523629266322609,0.9846225535880708
三日均值基准_RMSE,0.9934020248510127,1.2369961034155614,1.53953488303707,2.018630743868447,3.4877900256814476,5.307058784944814,0.9804287045666356
漂移随机游走基准_RMSE,0.9053568603832192,1.0922315672475378,1.4029391944254717,1.8559183708720532,3.1694321921771555,4.916618765180558,0.9846225535880708
