窗口编号,窗口起始,窗口终止,交易日数,累计收益率,窗口最高收盘价,窗口最低收盘价,价格区间比例,实现波动率,平均绝对日收益率,最大单日上涨,最大单日下跌,最大单日绝对收益,是否冲突窗口,朴素上一日基准_RMSE,朴素上一日基准_MAE,朴素上一日基准_MAPE,三日均值基准_RMSE,三日均值基准_MAE,三日均值基准_MAPE,漂移随机游走基准_RMSE,漂移随机游走基准_MAE,漂移随机游走基准_MAPE,实现波动率_历史标准分,平均绝对日收益率_历史标准分,最大单日绝对收益_历史标准分,价格区间比例_历史标准分,朴素上一日基准_RMSE_历史标准分,历史压力综合分
11,2017-09-15,2017-11-17,46,0.13442325158946433,64.11,55.15,0.1526433716645372,0.08969775144845955,0.01043729768922101,0.0372208436724565,-0.0255029304609535,0.0372208436724565,False,0.7994916863368496,0.6130434782608699,1.0367225175312234,1.0027153954394086,0.7869565217391319,1.3283756939910736,0.870276176734875,0.6959601449275364,1.176932782070349,-0.7296527520192337,-0.7619551045464488,-0.6394197826200765,-0.3807236568418949,-0.912885390894421,-0.6781886786275746
12,2017-09-18,2017-11-20,46,0.09560816916681736,64.11,55.15,0.15234490508013487,0.09523160914333993,0.010963757636154193,0.0372208436724565,-0.0293034427542034,0.0372208436724565,False,0.8427839477640142,0.646739130434783,1.091347541294126,1.0182935427127273,0.8120289855072479,1.3695186717525965,0.9028093274680354,0.7268297101449278,1.227158172138999,-0.6545759393058024,-0.6925662893624736,-0.6394197826200765,-0.383074016146617,-0.8569770569824787,-0.6334141736909228
13,2017-09-19,2017-11-21,46,0.13245153107447005,64.11,55.15,0.15193438392774863,0.09919851642745205,0.011582944465123196,0.0372208436724565,-0.0293034427542034,0.0372208436724565,False,0.88695742753577,0.6845652173913048,1.1512242990558503,1.0303049358658662,0.8313768115942041,1.3997277188094315,0.9630270101835136,0.7674818840579715,1.290230833776562,-0.6007576498517095,-0.610955825565624,-0.6394197826200765,-0.3863067807531755,-0.7999307032989978,-0.59255934379674
14,2017-09-20,2017-11-22,46,0.1408884859474162,64.11,55.68,0.14253892638172116,0.09921359615811651,0.011713275574256074,0.0372208436724565,-0.0293034427542034,0.0372208436724565,False,0.8890970016038018,0.6928260869565223,1.1641587520728667,1.041060896324069,0.8519202898550738,1.4318580327786736,0.9651339213348131,0.7811340579710151,1.3135264473908856,-0.6005530659651538,-0.5937778402373469,-0.6394197826200765,-0.46029396129349315,-0.7971676223814971,-0.5999880628873064
15,2017-09-21,2017-11-23,46,0.13077749910426362,64.11,55.68,0.14215747373360413,0.0987769402849523,0.011518274577274135,0.0372208436724565,-0.0293034427542034,0.0372208436724565,False,0.884083903159699,0.6826086956521743,1.1449537552276627,1.042674700662181,0.8482608695652181,1.420494682706292,0.9668846683842515,0.7741413043478268,1.3005307335390477,-0.6064770945573775,-0.6194794880437811,-0.6394197826200765,-0.46329781776408624,-0.8036416196389023,-0.6090506843262495
16,2017-09-22,2017-11-24,46,0.12905525846702326,64.11,55.68,0.14178116750638015,0.09875246095249691,0.011484998519334395,0.0372208436724565,-0.0293034427542034,0.0372208436724565,False,0.8837149845470794,0.6813043478260875,1.14165425795378,1.0361003159609117,0.846666666666668,1.4157336201835986,0.9925349639127953,0.7865724637681164,1.3210838351104124,-0.6068092010840421,-0.6238653606023348,-0.6394197826200765,-0.4662611472917513,-0.8041180471643012,-0.6107218147552934
17,2017-09-25,2017-11-27,46,0.12211981566820285,64.11,55.68,0.14142489833877347,0.0987502568175012,0.011371292748302472,0.0372208436724565,-0.0293034427542034,0.0372208436724565,False,0.8824656662861815,0.6750000000000006,1.1303544996556258,1.0203875838405922,0.8302898550724649,1.386647653491373,0.9671283495820082,0.760771739130435,1.275682048369823,-0.6068391041714348,-0.6388520823414662,-0.6394197826200765,-0.46906668934178253,-0.8057314371834409,-0.6149061548901869
18,2017-09-26,2017-11-28,46,0.06476418318523569,64.11,55.68,0.14122968671469258,0.09419430068903534,0.010905519907655271,0.0325334192301496,-0.0293034427542034,0.0325334192301496,False,0.8394136152048675,0.6510869565217396,1.0872319362912066,0.9902364244605959,0.8171376811594214,1.3624928823494555,0.9129050940534806,0.7120615942028993,1.186961963446503,-0.6686489091658574,-0.7002421762045529,-0.7564289425204888,-0.4706039383372345,-0.8613295595291078,-0.6775145566225509
19,2017-09-27,2017-11-29,46,0.061002929519214266,64.11,55.68,0.14104783797939824,0.09462548426377375,0.010981669855754618,0.0325334192301496,-0.0293034427542034,0.0325334192301496,False,0.8433860326090308,0.6565217391304353,1.095003527641299,1.0017112471692209,0.8258333333333348,1.3741725767663746,0.9126425558687314,0.7066521739130439,1.1759193202488367,-0.6627991222232528,-0.6902054113837611,-0.7564289425204888,-0.4720359574957841,-0.8561995147740372,-0.6730525207288898
20,2017-09-28,2017-11-30,46,0.07833217027215644,64.11,55.68,0.14081786060564244,0.09364909450933033,0.010800429669625489,0.0325334192301496,-0.0293034427542034,0.0325334192301496,False,0.8376117706078817,0.6463043478260875,1.0765171478908284,0.993470500450669,0.8101086956521755,1.3449816222736728,0.9138987367133111,0.7081666666666672,1.1772324609990368,-0.6760456194719042,-0.714093347878234,-0.7564289425204888,-0.4738469791931204,-0.8636564910883472,-0.6839108261838502
21,2017-09-29,2017-12-01,46,0.1077352889820149,64.11,55.68,0.14050305441422636,0.09665908310171333,0.011354752310357043,0.0325334192301496,-0.0293034427542034,0.0325334192301496,False,0.8713769712856527,0.680652173913044,1.1304747811064275,1.016077282237067,0.8389855072463781,1.389580033365931,0.9621828371978318,0.7647644927536237,1.2697223447755204,-0.6352096669990086,-0.6410321558652798,-0.7564289425204888,-0.4763260093420416,-0.8200515591244085,-0.650216885576127
