特征组,模型,RMSE,MAE,MAPE,方向命中率,最大绝对误差,初始冲击吸收_RMSE,高位平台形成_RMSE,中期再定价回落_RMSE,后期二次抬升_RMSE,alpha,训练样本,测试样本
机制主模型,机制主模型,3.3800142208570305,2.756404510609999,2.7553458276384384,66.66666666666666,7.235787658476099,3.316800791584517,3.729625009253997,3.7770575554723953,2.7550663120150225,,,46
仅历史价格特征,纯Ridge收益率,4.536342566127742,3.6937550507735675,3.6905673995263175,48.888888888888886,10.389682041656528,4.9477908473585615,4.923327985482867,4.57088399563006,3.7864294910775,1000.0,2151.0,46
仅历史价格特征,机制+阶段Ridge,3.18145834275414,2.682043330677021,2.6842046042233223,73.33333333333333,5.815558374620508,3.316800791584517,3.4389992756664625,3.343919200034186,2.7550663120150225,1000.0,2151.0,46
历史价格+OVX滞后,纯Ridge收益率,4.569117529167279,3.6468193229086237,3.6469761016297015,48.888888888888886,10.814883215878424,5.06274349857244,4.949583982904979,4.649330662886816,3.6864525952576304,1000.0,2151.0,46
历史价格+OVX滞后,机制+阶段Ridge,3.2560126268651572,2.763750992151121,2.773881543680059,66.66666666666666,5.790802362121852,3.316800791584517,3.569542730765448,3.490400204406734,2.7550663120150225,1000.0,2151.0,46
历史价格+GPR月度滞后,纯Ridge收益率,4.534248852581389,3.6975816493249196,3.694566864418796,48.888888888888886,10.44036238930444,4.965042134772316,4.9207862961981395,4.585785110480876,3.7479654589777494,1000.0,2148.0,46
历史价格+GPR月度滞后,机制+阶段Ridge,3.18433767533735,2.684135671014676,2.6866939960495397,73.33333333333333,5.790802362121852,3.316800791584517,3.449112485610255,3.344876959513662,2.7550663120150225,1000.0,2148.0,46
历史价格+OVX+GPR,纯Ridge收益率,4.570067069820929,3.6574154890928128,3.6581962620905544,48.888888888888886,10.857512041730203,5.0808712750164,4.940343535460755,4.685067835995992,3.6404538981959873,1000.0,2148.0,46
历史价格+OVX+GPR,机制+阶段Ridge,3.260711974257996,2.7725684626375204,2.7836811713995946,66.66666666666666,5.790802362121852,3.316800791584517,3.568250312378901,3.5083818496432317,2.7550663120150225,1000.0,2148.0,46
