day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,total_buffer_supply,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,demand_decline,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,candidate_id,pre_close_filled,target_close_price,ridge_predicted_return,ridge_price,ridge_return_correction,risk_ridge_assist_phase,risk_phase_gated_correction,mechanism_plus_risk_phase_ridge,风险Ridge方案
0,0,calendar,2026-03-02,78.07,77.23048932595619,9127.0405309033,9979.52380952381,1452.483278620508,852.4832786205079,0.0,0.0,600.0,600.0,0.4130856505073493,0.4130856505073493,57400.0,20.47619047619047,-0.05,1.1718691044054057,3.27227901426319,0.0,0.0,5.66214171008388,0.0,0.0,36003,73.21,78.07,0.009225335053278653,73.88851171605263,0.6785117160526397,未启用,0.0,77.23048932595619,仅历史价格特征
1,1,calendar,2026-03-03,81.96,80.77764470982913,9127.0405309033,9931.075422512242,1404.0348916089406,804.0348916089406,0.0,0.0,600.0,600.0,0.4273398072838743,0.0142541567765249,56800.0,40.95238095238095,-0.0523946678811753,1.152434221137429,2.945250688768364,2.8733297638332425,1.170578768521208,5.021869198262027,0.0,0.0,36003,78.07,81.96,0.012195572294251765,79.02793775561913,0.9579377556191417,未启用,0.0,80.77764470982913,仅历史价格特征
2,2,calendar,2026-03-04,82.58,83.95722200249233,9127.0405309033,9884.82110378902,1357.7805728857184,757.7805728857184,0.0,0.0,600.0,600.0,0.4418976173188337,0.0145578100349594,56200.0,61.42857142857142,-0.0547893357623506,1.1351970259818482,2.65449489346151,5.342742067541697,2.2778988387050627,4.453998422459,0.0,0.0,36003,81.96,82.58,0.014984916761371116,83.19741188002371,1.2374118800237142,未启用,0.0,83.95722200249233,仅历史价格特征
3,3,calendar,2026-03-05,84.31,86.64126219579065,9227.0405309033,9840.07319422184,1313.0326633185396,613.0326633185396,100.0,0.0,600.0,700.0,0.5331169738236596,0.0912193565048258,55600.0,81.9047619047619,-0.0571840036435259,1.1199090053266818,2.0575174106824416,7.463450832588452,3.325378744205985,3.9503422259848664,0.0,0.0,36003,82.58,84.31,0.004028999259115589,82.91338591363419,0.33338591363418857,未启用,0.0,86.64126219579065,仅历史价格特征
4,4,calendar,2026-03-06,93.32,88.94202859805333,9327.0405309033,9797.764156316083,1270.723625412782,470.723625412782,200.0,0.0,600.0,800.0,0.6295625453096679,0.0964455714860083,55000.0,102.38095238095238,-0.0595786715247012,1.1063497473706605,1.516385570409317,9.28312853194167,4.316252279304147,3.5036392522527255,0.0,0.0,36003,84.31,93.32,0.0053170880301227925,84.75947758882616,0.44947758882615574,未启用,0.0,88.94202859805333,仅历史价格特征
7,5,calendar,2026-03-09,89.79,92.29542330460936,9491.759226373444,9707.075854005168,1180.035323101867,215.31662763172423,500.0,0.0,464.7186954701435,964.7186954701436,0.8175337437647735,0.1879711984551055,54535.28130452985,163.8095238095238,-0.0667626751682271,1.0741977010241448,0.6189824006736171,13.32024333382946,6.979007418654406,2.4444061613899364,0.0,0.0,36003,93.32,89.79,0.02323804765171208,95.51396764023359,2.193967640233595,未启用,0.0,92.29542330460936,仅历史价格特征
8,6,calendar,2026-03-10,91.4,94.80138294609966,9489.050345882722,9656.779196240455,1129.738665337156,167.7288503577347,600.0,0.0,362.00981497942144,962.0098149794214,0.851533053170595,0.0339993094058215,54173.27148955043,184.28571428571428,-0.0691573430494024,1.0658074573957437,0.4654831159649693,14.294921156616423,7.772436919767904,2.167993780174073,0.0,0.0,36003,89.79,91.4,0.01845346489329405,91.46231919855957,1.6723191985595633,未启用,0.0,94.80138294609966,仅历史价格特征
9,7,calendar,2026-03-11,90.93,96.72080236212186,9490.118742755818,9612.009929685928,1084.9693987826267,121.89118693011004,700.0,0.0,263.07821185251686,963.0782118525168,0.8876547236568368,0.0361216704862418,53910.19327769792,204.76190476190476,-0.0715520109305777,1.0583659788526787,0.326952697299826,15.125321216742377,8.52298906925619,1.9228379903120696,0.0,0.0,36003,91.4,90.93,0.007248503491205792,92.0649201458114,0.6649201458113936,未启用,0.0,96.72080236212186,仅历史价格特征
10,8,calendar,2026-03-12,101.75,98.29792410509916,9462.045135541406,9570.929067782205,1043.888536878903,108.88393224079846,700.0,0.0,235.004604638105,935.004604638105,0.8956939094605371,0.0080391858037002,53675.18867305981,225.23809523809524,-0.073946678811753,1.0517659794534422,0.2826048337173394,15.831193884050707,9.23298098197296,1.705404310103923,0.0,0.0,36003,90.93,101.75,0.004721246443413816,91.36031795834347,0.43031795834346553,未启用,0.0,98.29792410509916,仅历史价格特征
11,9,calendar,2026-03-13,103.89,99.63394509222624,9435.33361172596,9531.841379024594,1004.8008481212928,96.50776729863357,700.0,0.0,208.29308082265945,908.2930808226596,0.9039533381375257,0.0082594286769884,53466.89559223715,245.7142857142857,-0.0763413466929283,1.0459123051039383,0.2426257628750436,16.429591792074685,9.904604554654613,1.5125579354966938,0.0,0.0,36003,101.75,103.89,0.010625452364030778,102.83690397528979,1.0869039752897862,未启用,0.0,99.63394509222624,仅历史价格特征
14,10,calendar,2026-03-16,101.02,101.49472884771475,9371.7110909054,9438.74083901082,911.70030810752,67.02974810542219,700.0,0.0,144.67056000209703,844.6705600020971,0.9264783092543192,0.0225249711167937,53322.22503223506,307.14285714285717,-0.0835253503364542,1.032031928346368,0.1540223494495581,17.717389603785737,11.709445491989456,1.0552758634069168,0.0,0.0,36003,103.89,101.02,0.006262589282957437,104.54266194433872,0.6526619443387176,未启用,0.0,101.49472884771475,仅历史价格特征
15,11,calendar,2026-03-17,103.5,102.85008405019607,9342.232693899714,9395.604310552448,868.5637796491465,53.37161665273379,700.0,0.0,115.19216299641212,815.1921629964121,0.9385518739058016,0.0120735646514822,53207.03286923865,327.6190476190476,-0.0859200182176295,1.028409771877853,0.1192203685211747,18.014346683697646,12.247239607316272,0.9359457296299384,0.0,0.0,36003,101.02,103.5,-0.007455335144298876,100.2696625278224,-0.7503374721775913,高位平台形成,-0.7503374721775913,102.09974657801848,仅历史价格特征
16,12,calendar,2026-03-18,109.65,103.87468301155812,9315.270094613385,9356.149216328626,829.1086854253244,40.879121715242945,700.0,0.0,88.22956371008128,788.2295637100813,0.9506950989250914,0.0121432250192898,53118.80330552856,348.0952380952381,-0.0883146860988048,1.0251972072809403,0.0888388829587873,18.259898890836844,12.755971043032009,0.8301093952669434,0.0,0.0,36003,103.5,109.65,0.0009769362419743872,103.60116230756081,0.10116230756081279,高位平台形成,0.10116230756081279,103.97584531911893,仅历史价格特征
17,13,calendar,2026-03-19,103.07,102.9685601739979,9289.925439655157,9319.061703406456,792.021172503155,29.13626375129934,700.0,0.0,62.88490875185509,762.884908751855,0.9632127716242536,0.0125176726991622,53055.91839677671,368.57142857142856,-0.0907093539799801,1.0223479180856645,0.0616476105754242,18.461110536862133,13.237210361777846,0.7362409873731729,3.829303406301629,0.0,36003,109.65,103.07,0.011358235461621229,110.9025303198497,1.252530319849697,高位平台形成,1.252530319849697,104.2210904938476,仅历史价格特征
18,14,calendar,2026-03-20,104.41,101.7005437911415,9275.786552873637,9298.371891409448,771.3313605061467,22.585338535813207,700.0,0.0,48.74602197033429,748.7460219703343,0.9707190194873032,0.0075062478630495,53007.172374806374,389.04761904761904,-0.0931040218611554,1.0198208252682568,0.0465578187449763,18.624080897932437,13.69244325215571,0.6529871780500858,6.061283752469489,0.0,36003,103.07,104.41,-0.0055102740637902395,102.5036179455108,-0.5663820544891962,高位平台形成,-0.5663820544891962,101.1341617366523,仅历史价格特征
21,15,calendar,2026-03-23,96.07,100.74600096699176,9239.810238931832,9245.726786932471,718.686256029172,5.916548000641342,700.0,0.0,12.769708028530014,712.76970802853,0.9917675509292028,0.0210485314418996,52994.402666777845,430.0,-0.1002880255046813,1.0138285205528532,0.0113227983711173,18.932705905109895,14.915781726257602,0.4555736953534741,7.912756028086655,0.0,36003,104.41,96.07,0.0015692049629154273,104.5739693072568,0.16396930725680647,高位平台形成,0.16396930725680647,100.90997027424856,仅历史价格特征
22,16,calendar,2026-03-24,95.96,100.4675334152173,9241.008359518672,9247.480028900847,720.4394979975477,6.471669382177424,700.0,0.0,13.967828615370513,713.9678286153705,0.991017053617736,-0.0007504973114669,52980.43483816247,430.0,-0.1026826933858567,1.012264797487889,0.0120963274011434,18.988655272084365,15.280303728621089,0.4040576208397526,7.75924141331468,0.0,36003,96.07,95.96,-0.0069871271245006,95.40108631099801,-0.6689136890019824,高位平台形成,-0.6689136890019824,99.79861972621532,仅历史价格特征
23,17,calendar,2026-03-25,98.06,100.5920933521972,9242.15856462222,9242.896844203184,715.8563132998825,0.7382795809626259,700.0,13.524602094378793,1.5934316245394375,715.1180337189182,0.9989686763010288,0.0079516226832929,52978.84140653793,430.0,-0.105077361267032,1.0108778995442058,0.0013484851285647,19.02641671394038,15.625126768381676,0.3583669615340889,7.469220665236015,0.0,36003,95.96,98.06,-0.005995589036371543,95.38638457556068,-0.5736154244393106,高位平台形成,-0.5736154244393106,100.01847792775789,仅历史价格特征
