day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,total_buffer_supply,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,demand_decline,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,raw_blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,raw_buffer_confirmation_discount,expectation_relief_discount,raw_expectation_relief_discount,variant
21,15,calendar,2026-03-23,96.07,100.74600096699177,9239.810238931832,9245.726786932473,718.686256029172,5.916548000641342,700.0,0.0,12.769708028530014,712.76970802853,0.9917675509292029,0.02104853144190033,52994.402666777845,430.0,-0.10028802550468137,1.0138285205528532,0.011322798371117302,18.932705905109895,18.932705905109895,14.915781726257602,0.4555736953534739,7.912756028086651,7.912756028086651,0.0,0.0,buffer_lag0_relief_lag0_ba1.0_ra0.75
22,16,calendar,2026-03-24,95.96,100.4675334152173,9241.008359518672,9247.480028900849,720.4394979975477,6.471669382177424,700.0,0.0,13.967828615370513,713.9678286153705,0.991017053617736,-0.0007504973114669244,52980.43483816247,430.0,-0.10268269338585667,1.012264797487889,0.012096327401143388,18.988655272084365,18.988655272084365,15.280303728621087,0.4040576208397525,7.759241413314677,7.759241413314677,0.0,0.0,buffer_lag0_relief_lag0_ba1.0_ra0.75
23,17,calendar,2026-03-25,98.06,100.59209335219721,9242.158564622221,9242.896844203184,715.8563132998825,0.7382795809626259,700.0,13.524602094378793,1.5934316245394375,715.1180337189182,0.9989686763010289,0.00795162268329297,52978.84140653793,430.0,-0.10507736126703199,1.0108778995442058,0.0013484851285647493,19.02641671394038,19.02641671394038,15.625126768381675,0.3583669615340888,7.469220665236011,7.469220665236011,0.0,0.0,buffer_lag0_relief_lag0_ba1.0_ra0.75
24,18,calendar,2026-03-26,100.1,100.9556386414278,9254.089735092059,9234.281356328986,707.2408254256843,0.0,700.0,27.049204188757585,0.0,727.0492041887576,1.0280079685037282,0.029039292202699296,52978.84140653793,430.0,-0.10747202914820729,1.0096478314143125,0.0,19.048516486928417,19.048516486928417,15.951315387940422,0.31784298202881484,7.1208693723552825,7.1208693723552825,0.0,0.0,buffer_lag0_relief_lag0_ba1.0_ra0.75
25,19,calendar,2026-03-27,106.29,101.46111195634238,9267.614337186438,9223.103988868726,696.0634579654252,0.0,700.0,40.57380628313638,0.0,740.5738062831364,1.0639458196064677,0.035937851102739504,52978.84140653793,430.0,-0.10986669702938259,1.0085568588513554,0.0,19.057135636368574,19.057135636368574,16.25987660126164,0.2819014364284801,6.723940040804291,6.723940040804291,0.0,0.0,buffer_lag0_relief_lag0_ba1.0_ra0.75
28,20,calendar,2026-03-30,108.89,102.62595180051504,9308.188143469573,9195.216271644056,668.1757407407549,0.0,700.0,81.14761256627276,0.0,781.1476125662728,1.1690750874916152,0.10512926788514743,52978.84140653793,430.0,-0.1170507006729085,1.005969917846122,0.0,19.01968759326166,19.01968759326166,17.089067136150476,0.19667595848156832,5.451413850027441,5.451413850027441,0.0,0.0,buffer_lag0_relief_lag0_ba1.0_ra0.75
29,21,calendar,2026-03-31,103.53,103.5396652036144,9321.712745563953,9174.59247042783,647.5519395245283,0.0,700.0,94.67221466065155,0.0,794.6722146606515,1.227194555612246,0.05811946812063096,52978.84140653793,430.0,-0.1194453685540838,1.0052948421432482,0.0,18.990811548953328,18.990811548953328,17.336143640746172,0.17443592698823812,5.05121466649149,5.05121466649149,0.0,0.0,buffer_lag0_relief_lag0_ba1.0_ra0.75
30,22,calendar,2026-04-01,100.24,103.93943685192511,9335.23734765833,9156.468414481347,629.427883578046,0.0,700.0,108.19681675503034,0.0,808.1968167550303,1.2840181343107242,0.056823578698478094,52978.84140653793,430.0,-0.1218400364352591,1.004696103706038,0.0,18.95562446013621,18.95562446013621,17.569867999812857,0.1547107885435704,4.669518900845753,4.669518900845753,0.7893113786908488,1.0524151715877983,buffer_lag0_relief_lag0_ba1.0_ra0.75
31,23,calendar,2026-04-02,109.24,103.9524690036623,9348.76194975271,9143.929861978071,616.8893310747699,0.0,700.0,121.72141884940915,0.0,821.7214188494091,1.3320402501008932,0.04802211579016902,52978.84140653793,430.0,-0.12423470431643442,1.0041650703498284,0.0,18.915029244339188,18.915029244339188,17.790961770386147,0.13721616013991925,4.309870434897862,4.309870434897862,1.7719893655362493,2.099548694484716,buffer_lag0_relief_lag0_ba1.0_ra0.75
35,24,calendar,2026-04-06,109.7,103.11546877422471,9402.860358130225,9111.683050560798,584.6425196574965,0.0,700.0,175.8198272269243,0.0,875.8198272269243,1.4980433303756446,0.1660030802747514,52978.84140653793,430.0,-0.13381337584113562,1.002577276358178,0.0,18.7126418308598,18.7126418308598,18.56214080271537,0.08490708098199377,3.1056157055898037,3.1056157055898037,5.362784437434987,6.559716128067899,buffer_lag0_relief_lag0_ba1.0_ra0.75
36,25,calendar,2026-04-07,103.42,102.18164411058432,9416.384960224605,9114.179278045884,587.1387471425824,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.001956669624355367,52978.84140653793,430.0,-0.13620804372231093,1.002285839073136,0.0,18.65477183946956,18.65477183946956,18.72961162403044,0.07530582534492897,2.858754022990941,2.858754022990941,6.769013314802136,7.237756273924519,buffer_lag0_relief_lag0_ba1.0_ra0.75
37,26,calendar,2026-04-08,96.7,101.30578523316908,9416.384960224605,9118.386359941267,591.3458290379658,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.13860271160348625,1.0020273573890108,0.0,18.594834032377968,18.594834032377968,18.888032233219022,0.06679027550227046,2.6311307232254144,2.6311307232254144,7.891798758856037,8.26606057354067,buffer_lag0_relief_lag0_ba1.0_ra0.75
38,27,calendar,2026-04-09,96.41,100.47982004652488,9416.384960224605,9122.353111488601,595.3125805852997,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4939117000465825,-0.006088299953417531,52978.84140653793,430.0,-0.1409973794846615,1.0017981047008433,0.0,18.533150645157487,18.533150645157487,19.03789170855094,0.05923766031693297,2.42136053070993,2.42136053070993,8.947338816643668,9.29918550257288,buffer_lag0_relief_lag0_ba1.0_ra0.75
39,28,calendar,2026-04-10,94.26,99.67752919382714,9416.384960224605,9126.137345320998,599.0968144176968,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4844753100310135,-0.009436390015568952,52978.84140653793,430.0,-0.14339204736583683,1.001594775806535,0.0,18.469999742667603,18.469999742667603,19.17965269824657,0.05253909155839682,2.228136802210021,2.228136802210021,9.98597364031982,10.33218524821187,buffer_lag0_relief_lag0_ba1.0_ra0.75
42,29,calendar,2026-04-13,98.0,98.34539680366785,9416.384960224605,9115.941423692435,588.9008927891336,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.015524689968986483,52978.84140653793,430.0,-0.15057605100936272,1.0011126373256105,0.0,18.273981080802155,18.273981080802155,19.56060424302066,0.036655280373571804,1.7358324052217495,1.7358324052217495,12.625494658385241,13.50533499774038,buffer_lag0_relief_lag0_ba1.0_ra0.75
43,30,calendar,2026-04-14,95.34,97.07438229698698,9416.384960224605,9128.542113989515,601.5015830862139,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4785404632822592,-0.021459536717740813,52978.84140653793,430.0,-0.15297071889053804,1.0009868207827382,0.0,18.207051993890296,18.207051993890296,19.674117569744453,0.03251031727691815,1.597063281553615,1.597063281553615,14.004997496409485,14.4648317757509,buffer_lag0_relief_lag0_ba1.0_ra0.75
44,31,calendar,2026-04-15,94.87,95.94572740413089,9416.384960224605,9141.112524889484,614.0719939861829,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4482738799863166,-0.030266583295942562,52978.84140653793,430.0,-0.15536538677171335,1.0008752315195877,0.0,18.139567746067367,18.139567746067367,19.781496576005935,0.02883406479705762,1.4693235579823118,1.4693235579823118,15.123694575674865,15.496593602096658,buffer_lag0_relief_lag0_ba1.0_ra0.75
45,32,calendar,2026-04-16,98.21,94.91760035426714,9416.384960224605,9152.310867206597,625.2703363032961,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4223358724791868,-0.025938007507129823,52978.84140653793,430.0,-0.15776005465288867,1.0007762607215813,0.0,18.07164287129451,18.07164287129451,19.883072763740778,0.025573521342137157,1.351775634623629,1.351775634623629,16.17696305733121,16.52805255121666,buffer_lag0_relief_lag0_ba1.0_ra0.75
46,33,calendar,2026-04-17,92.42,93.94555987861276,9416.384960224605,9162.64419221035,635.6036613070482,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.399212250433651,-0.023123622045535752,52978.84140653793,430.0,-0.160154722534064,1.0006884814981913,0.0,18.0033761056517,18.0033761056517,19.979159720344008,0.022681678717163836,1.2436099686831894,1.2436099686831894,17.213609465308995,17.559158267968257,buffer_lag0_relief_lag0_ba1.0_ra0.75
49,34,calendar,2026-04-20,93.8,96.56203068687103,9416.384960224605,9161.272646910873,634.2321160075717,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.402238087405031,0.003025836971380036,52978.84140653793,430.0,-0.16733872617758988,1.000480337242226,0.0,17.79731815780691,17.79731815780691,20.237372326147863,0.015824470276514353,0.9685641305854584,0.9685641305854584,10.5308550141482,8.303270197094601,buffer_lag0_relief_lag0_ba1.0_ra0.75
50,35,calendar,2026-04-21,99.06,99.3376719315486,9416.384960224605,9110.956997730853,583.9164668275516,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.09776191259496891,52978.84140653793,430.0,-0.1697333940587652,1.0004260209166467,0.0,17.728424859230337,17.728424859230337,20.31431274623251,0.014035046088463789,0.8913489263258871,0.8913489263258871,7.644999626151021,6.6830478301519625,buffer_lag0_relief_lag0_ba1.0_ra0.75
51,36,calendar,2026-04-22,101.55,101.77908341215398,9416.384960224605,9058.237173394316,531.1966424910152,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.17212806193994046,1.000377846657443,0.0,17.65951241367376,17.65951241367376,20.38709526515325,0.012447969206125736,0.8200833831877096,0.8200833831877096,5.685673852733727,5.0325652615946295,buffer_lag0_relief_lag0_ba1.0_ra0.75
52,37,calendar,2026-04-23,106.01,103.74685577417534,9416.384960224605,9011.214597380083,484.1740664767822,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.17452272982111577,1.0003351199224313,0.0,17.59062107606838,17.59062107606838,20.455944578097206,0.011040358284538764,0.7545149702631608,0.7545149702631608,4.3609427881243175,3.919365766587847,buffer_lag0_relief_lag0_ba1.0_ra0.75
53,38,calendar,2026-04-24,105.88,105.2956910958761,9416.384960224605,8971.862671512485,444.8221406091834,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.1769173977022911,1.0002972247079553,0.0,17.52178545296036,17.52178545296036,20.52107323760427,0.009791919391237018,0.6941884932125765,0.6941884932125765,3.379539543152484,3.052405128161873,buffer_lag0_relief_lag0_ba1.0_ra0.75
56,39,calendar,2026-04-27,101.97,106.85526136068876,9416.384960224605,8922.794656232223,395.7541253289219,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.18410140134581698,1.000207366642264,0.0,17.315889700031565,17.315889700031565,20.696092214979867,0.006831590346061926,0.5406360466644377,0.5406360466644377,1.9262754517572351,1.4418540879588189,buffer_lag0_relief_lag0_ba1.0_ra0.75
57,40,calendar,2026-04-28,104.48,107.99613712072737,9416.384960224605,8889.070323754257,362.02979285095535,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.1864960692269923,1.0001839177129173,0.0,17.24753493949511,17.24753493949511,20.748243168649005,0.00605907709320196,0.49740940344429335,0.49740940344429335,1.3237566825220846,1.1229170927770342,buffer_lag0_relief_lag0_ba1.0_ra0.75
58,41,calendar,2026-04-29,112.49,108.78434377278855,9416.384960224605,8861.976456031678,334.93592512837677,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.18889073710816762,1.0001631203782606,0.0,17.179347820986976,17.179347820986976,20.79757585708484,0.005373919301605608,0.457638893969457,0.457638893969457,0.986835704014786,0.8745287111790199,buffer_lag0_relief_lag0_ba1.0_ra0.75
59,42,calendar,2026-04-30,110.86,109.32764441122123,9416.384960224605,8840.425700186623,313.3851692833214,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.19128540498934288,1.0001446747971243,0.0,17.111342047997944,17.111342047997944,20.844242580837353,0.004766238853862807,0.42104820756006406,0.42104820756006406,0.7575216598171818,0.681083645084647,buffer_lag0_relief_lag0_ba1.0_ra0.75
60,43,calendar,2026-05-01,109.2,109.70736512258155,9416.384960224605,8822.705918646956,295.6653877436547,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.1936800728705182,1.0001283150342475,0.0,17.04352930624967,17.04352930624967,20.888387410053895,0.004227274645766288,0.3873831170825344,0.3873831170825344,0.5872017720510829,0.53042847612905,buffer_lag0_relief_lag0_ba1.0_ra0.75
63,44,calendar,2026-05-04,114.06,110.03015672802042,9416.384960224605,8816.494524814349,289.4539939110473,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.1936800728705182,1.0000895223616735,0.0,16.84134139990708,16.84134139990708,21.007016949251796,0.002949269444151442,0.30169435634945824,0.30169435634945824,0.33471794607133243,0.25055667074474897,buffer_lag0_relief_lag0_ba1.0_ra0.75
64,45,calendar,2026-05-05,110.31,110.2513552873825,9416.384960224605,8811.234511815868,284.193980912567,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.1936800728705182,1.0000793992121113,0.0,16.774386194278705,16.774386194278705,21.042365365150854,0.0026157673434033654,0.2775722198421112,0.2775722198421112,0.23002978505266408,0.19513373137977463,buffer_lag0_relief_lag0_ba1.0_ra0.75
