模型类别,模型,证据来源,角色定位,说明,RMSE,MAE,MAPE,方向命中率,最大绝对误差,第60天价格,第90天价格,第120天价格,第180天价格,第180天价格_P05,第180天价格_P50,第180天价格_P95,外推期最高价,外推期均价,突破120概率,突破130概率,二次跳涨风险,质量评分
长期确定性情景,长期三情景-乐观情景,output/scenarios/三情景关键指标.csv,60-180天条件中心路径,长期无真实标签，作为条件情景外推，不按短期拟合 RMSE 排名。,,,,,,109.688698257944,94.12407201407416,92.76145167136475,87.52660823573933,,,,102.80639985066392,91.93646901410038,,,低,
长期确定性情景,长期三情景-中性情景,output/scenarios/三情景关键指标.csv,60-180天条件中心路径,长期无真实标签，作为条件情景外推，不按短期拟合 RMSE 排名。,,,,,,109.688698257944,108.09252917121924,103.34327779099364,94.467558580193,,,,111.22599689220486,102.86011711775828,,,低,
长期确定性情景,长期三情景-悲观情景,output/scenarios/三情景关键指标.csv,60-180天条件中心路径,长期无真实标签，作为条件情景外推，不按短期拟合 RMSE 排名。,,,,,,109.688698257944,129.04360923468047,120.80894170587447,115.90484662131487,,,,135.48646221072545,122.93846584901546,,,高,
长期概率模型,蒙特卡洛情景树,output/monte_carlo/蒙特卡洛样本指标.csv,尾部风险与分位区间,样本数=2000，用于补足长期中心线过平的问题。,,,,,,,103.522206401471,103.7040256672232,100.09345569393831,90.02956865646433,97.99855944722935,111.94682962967019,111.28217004661337,103.05661009243896,17.349999999999998,4.2,高缺口概率 12.5%,
长期概率模型,马尔可夫状态转移情景树,output/scenarios/长期状态转移样本指标.csv,状态不确定性与概率区间,"样本数=3000，最终状态占比={'维持': 71.4, '升级': 21.1, '缓和': 7.5}",,,,,,,112.41269151408365,107.16104753959173,99.28234392029235,91.27409541331383,97.53668610890307,112.75931718709519,124.40372660895561,106.80368308221188,76.33333333333333,18.3,由状态转移路径和突破概率表达,
