情景,供应中断量_万桶每日,有效供给_万桶每日,供给缺口比例,基准价格_美元每桶,需求价格弹性,线性需求反事实价格_美元每桶,常弹性机械上界价格_美元每桶,实际窗口最高收盘价_美元每桶,实际窗口最高盘中价_美元每桶,实际窗口平均收盘价_美元每桶,实际窗口末日收盘价_美元每桶,线性模型相对最高收盘价倍数,常弹性上界相对最高收盘价倍数,线性模型相对窗口均价倍数
低中断,1400.0,8600.0,0.14,73.21,-0.05,278.198,1494.8629634065242,114.06,119.5,99.71804347826088,110.31,2.4390496230054355,13.105935151731757,2.7898461531753656
中中断,1600.0,8400.0,0.16,73.21,-0.05,307.4819999999999,2393.231363183,114.06,119.5,99.71804347826088,110.31,2.6957916885849547,20.982214301095915,3.0835141692990877
高中断,1800.0,8200.0,0.18,73.21,-0.05,336.76599999999996,3875.193198164034,114.06,119.5,99.71804347826088,110.31,2.9525337541644743,33.97504119028611,3.377182185422811
