检验,pressure_scale,RMSE,MAE,模拟峰值,实际峰值,末日模拟价,末日实际价
0.5x,0.0141598138912592,3.496845572475687,2.877585791724249,110.42032531607046,114.06,110.42032531607046,110.31
当前值,0.0283196277825184,3.439811749485181,2.8548897149407795,110.42032542579388,114.06,110.42032542579388,110.31
1.5x,0.0424794416737776,3.4660670275212513,2.8905210007471034,110.42032553091084,114.06,110.42032553091084,110.31
2.0x,0.0566392555650368,3.6381137423187853,3.033566324736119,110.46306701995978,114.06,110.46306701995978,110.31
1.0绝对值压力传导,1.0,26.545773255297718,13.41272485279029,166.83928510169488,114.06,110.46307019281261,110.31
