trade_date,thscode,pre_close,open_price,high_price,low_price,close_price,log_return,return_pct,volatility_7d,volatility_14d,volatility_30d,is_event_window,ovx,ovx_change,abs_return,ovx_lag1,ovx_change_lag1,ovx_lag3,ovx_change_lag3,ovx_lag5,ovx_change_lag5,ovx_lag10,ovx_change_lag10
2017-09-01,BRN0W.ICE,,52.86,52.94,52.27,52.69,,,,,,False,28.97,,,,,,,,,,
2017-09-04,BRN0W.ICE,52.69,52.75,52.78,52.01,52.2,-0.0093431893326013,-0.0092996773581324,,,,False,28.97,0.0,0.0093431893326013,28.97,,,,,,,
2017-09-05,BRN0W.ICE,52.2,52.29,53.64,52.09,53.19,0.018787913865633,0.0189655172413791,,,,False,29.58,0.6099999999999994,0.018787913865633,28.97,0.0,,,,,,
2017-09-06,BRN0W.ICE,53.19,53.15,54.28,53.1,54.17,0.0182568409155813,0.0184245158864448,0.0160903836463925,,,False,30.07,0.490000000000002,0.0182568409155813,29.58,0.6099999999999994,28.97,,,,,
2017-09-07,BRN0W.ICE,54.17,54.18,54.66,53.91,54.5,0.0060734519993908,0.0060919328041351,0.0132324349337752,,,False,29.73,-0.33999999999999986,0.0060734519993908,30.07,0.490000000000002,28.97,0.0,,,,
2017-09-08,BRN0W.ICE,54.5,54.55,54.85,53.6,53.75,-0.0138570346614262,-0.0137614678899082,0.0151917095457005,0.0151917095457005,,False,29.49,-0.240000000000002,0.0138570346614262,29.73,-0.33999999999999986,29.58,0.6099999999999994,28.97,,,
2017-09-11,BRN0W.ICE,53.75,53.87,54.13,53.07,53.93,0.0033432423413633,0.0033488372093022,0.0135903926871298,0.0135903926871298,,False,27.73,-1.759999999999998,0.0033432423413633,29.49,-0.240000000000002,30.07,0.490000000000002,28.97,0.0,,
2017-09-12,BRN0W.ICE,53.93,53.65,54.18,53.29,54.03,0.0018525385068388,0.0018542555164102,0.0124298456081572,0.0124298456081572,,False,27.59,-0.14000000000000057,0.0018525385068388,27.73,-1.759999999999998,29.73,-0.33999999999999986,29.58,0.6099999999999994,,
2017-09-13,BRN0W.ICE,54.03,53.97,54.91,53.83,54.75,0.0132379208406357,0.0133259300388672,0.0114023559205959,0.0120029318860828,,False,26.62,-0.9699999999999989,0.0132379208406357,27.59,-0.14000000000000057,29.49,-0.240000000000002,30.07,0.490000000000002,,
2017-09-14,BRN0W.ICE,54.75,54.73,55.64,54.63,55.05,0.0054644944720787,0.0054794520547944,0.0101090545440892,0.0112299391998494,,False,26.09,-0.5300000000000011,0.0054644944720787,26.62,-0.9699999999999989,27.73,-1.759999999999998,29.73,-0.33999999999999986,,
