candidate_id,candidate_source,RMSE,MAE,峰值误差,末日误差,高价平台RMSE,低价回落RMSE,前期RMSE,中期RMSE,后期RMSE,模拟峰值,实际峰值,模拟末日价格,实际末日价格,综合得分,平台解释得分,assumption_base_supply,assumption_base_demand,assumption_base_elasticity,assumption_long_elasticity,assumption_supply_interruption,assumption_spr_max_release,assumption_spr_delay_days,assumption_spr_ramp_days,assumption_route_start_day,assumption_route_max_capacity,assumption_route_ramp_days,assumption_commercial_inventory,assumption_inventory_daily_cap,assumption_observed_demand_decline,assumption_demand_decline_ramp_days,assumption_fear_initial,assumption_fear_decay,behavior_pressure_scale,behavior_risk_weight,behavior_uncertainty_floor,behavior_inventory_response,behavior_adjustment_speed,behavior_buffer_relief_strength,behavior_buffer_relief_decay_days,behavior_relief_discount_strength,behavior_relief_start_day,behavior_relief_peak_day,behavior_relief_decay_days,局部精修目标值,局部稳健性样本ID,局部稳健性目标值,拟合精修样本ID,拟合精修目标值,候选类型
36003,fit_quality_refinement,3.4663973075701753,2.86867197459139,-3.5071029365041397,0.24289706349586027,2.945547833380135,3.4989546079931286,3.1487355537830286,4.290704368230241,2.9755348970822335,110.55289706349586,114.06,110.55289706349586,110.31,6.728515237307145,4.445547833380135,10000.0,10000.0,-0.05,-0.22357339368501292,1421.6225495133478,670.7471383547796,6,7,7,294.00705805107,17,58000.0,395.1787948832052,430.0,21,0.12656960377668272,0.11765430083637435,0.033964608350897346,2.3657605610859536,0.28772988222445817,0.5428622602221167,0.32778888765335357,0.21833573158000724,16,0.24,29,44,6,,,,57630.0,6.061999158445465,综合最优 / RMSE最优
36002,local_stability_refinement,3.5499260303532654,2.9111250424718786,-3.64472607195907,0.10527392804092983,2.9604810147359397,3.5222860910437883,3.1394382626504087,4.573738735980633,2.914715037611103,110.41527392804093,114.06,110.41527392804093,110.31,6.833503321959308,4.46048101473594,10000.0,10000.0,-0.05,-0.23636751241007584,1443.242615652164,686.4511782480255,7,7,9,274.18414180500304,19,58000.0,358.2083128299666,430.0,21,0.12025623954027448,0.11510369543535234,0.041054359263105536,2.186709680353458,0.3,0.5216640606267376,0.31878685476190416,0.1977494695726557,16,0.24,28,43,6,,343.0,6.833503321959308,,,候选
36001,continuous_refinement,3.7051643832943117,3.013998584997244,-3.750000019797241,-1.9797241179730918e-08,3.068834448916421,3.820146017280247,3.1321830237785178,4.855327092226168,3.03585001102868,110.30999998020276,114.06,110.30999998020276,110.31,7.108070058556702,4.5688344647542145,10000.0,10000.0,-0.05,-0.2458046730188365,1449.5307029197763,674.343724221104,7,7,9,276.32267430552116,19,58000.0,350.25541705446176,430.0,21,0.11838593878543757,0.1168327413074927,0.042306751491256574,2.2325269413040347,0.2954887261831123,0.4895743600808872,0.3118267462795184,0.20777123010012447,15,0.24,28,42,7,7.108070058556702,,,,,候选
33484,seeded_random,5.267665354219415,4.16057485643366,-2.7741312303224817,-1.187059115658073,4.107517728654614,6.257171720412705,3.1802379492831845,7.445166864570482,4.304712470532716,111.28586876967752,114.06,109.12294088434193,110.31,9.911571770529237,5.691993867046835,10000.0,10000.0,-0.05,-0.14,1600.0,600.0,10,7,14,300.0,21,58000.0,600.0,430.0,14,0.16,0.04,0.035,2.0,0.28,0.2,0.25,0.16,10,0.2,30,42,8,,,,,,候选
29733,seeded_random,4.956796476173673,3.96640893528042,-4.7881261368666514,-1.0381261368666514,3.615695397283319,6.384992798734191,5.570229169712284,5.207377022946661,4.414669273185261,109.27187386313335,114.06,109.27187386313335,110.31,9.953559463420738,5.94619630677664,10000.0,10000.0,-0.05,-0.14,1400.0,700.0,7,7,7,220.0,30,58000.0,600.0,430.0,14,0.16,0.08,0.075,2.2,0.28,0.35,0.4,0.08,10,0.2,30,42,8,,,,,,候选
18692,seeded_random,5.548948611433298,4.388837536778945,-3.261559977261271,-0.3298035432632247,3.0142658285980466,6.8686304374854386,3.385480693618787,7.048706038210391,5.321664355068298,110.79844002273873,114.06,109.98019645673678,110.31,10.18220683747024,4.450811236807845,10000.0,10000.0,-0.05,-0.14,1600.0,700.0,14,7,21,300.0,30,58000.0,350.0,430.0,14,0.1,0.06,0.02,2.0,0.28,0.55,0.4,0.08,6,0.2,34,42,8,,,,,,候选
15574,seeded_random,4.906983167596713,3.98693500508806,-4.835884387140041,-2.5446069123494794,5.208920436431812,5.860786302743075,3.10442531957383,6.46371775486585,4.454442255229683,109.22411561285996,114.06,107.76539308765052,110.31,10.29656814794472,8.16111695622762,10000.0,10000.0,-0.05,-0.1,1400.0,600.0,3,7,21,300.0,21,58000.0,600.0,430.0,30,0.16,0.08,0.045,2.2,0.28,0.55,0.32,0.12,10,0.16,30,42,12,,,,,,候选
13968,seeded_random,5.852377859135017,4.6388664591916156,-2.4134362682888337,0.43509778289734413,2.597261759100513,7.205466118888837,3.611602547725159,7.79543018819848,5.261144071773757,111.64656373171117,114.06,110.74509778289735,110.31,10.4462625850123,3.7366753795749847,10000.0,10000.0,-0.05,-0.22,1700.0,700.0,14,7,30,300.0,30,58000.0,450.0,430.0,14,0.16,0.1,0.02,2.0,0.28,0.35,0.4,0.12,6,0.2,30,42,8,,,,,,候选
25637,seeded_random,5.2521792641122245,4.1722298575055214,-4.736863109878712,-1.5340245106551293,4.095395092633136,6.6379527971143135,3.158094429615003,5.8310172107149505,5.703833190541026,109.32313689012129,114.06,108.77597548934487,110.31,10.497582152264275,6.603750140846673,10000.0,10000.0,-0.05,-0.14,1500.0,700.0,10,7,30,220.0,14,58000.0,600.0,430.0,21,0.2,0.12,0.035,2.0,0.28,0.35,0.32,0.12,6,0.16,36,42,8,,,,,,候选
4216,seeded_random,5.095175821174645,4.097098387180824,-4.6574035658777575,-2.319597858154367,5.206029672652239,5.9697320092745105,3.404127551228414,6.331868592861819,4.905938089617084,109.40259643412224,114.06,107.99040214184564,110.31,10.51340060487794,7.996830242265089,10000.0,10000.0,-0.05,-0.22,1500.0,450.0,3,7,14,300.0,21,58000.0,250.0,430.0,14,0.1,0.1,0.045,2.2,0.28,0.55,0.25,0.08,10,0.2,30,42,12,,,,,,候选
