模型,事件窗口,样本数,RMSE,MAE,平均误差,最大绝对误差
Champion主机制模型,初始冲击吸收,10,3.316800791584517,2.9514060979949774,0.1298124642277898,5.790802362121852
Champion主机制模型,高位平台形成,11,3.729625009253997,2.9918178905179516,-0.7043757851636834,6.264048199484961
Champion主机制模型,中期再定价回落,12,3.7770575554723953,3.1537829811682982,0.06424597890129984,7.235787658476099
Champion主机制模型,后期二次抬升,12,2.7550663120150225,2.1708687575565313,0.4228169515718487,5.371307035730979
文献增强Challenger,初始冲击吸收,10,3.3168007915845203,2.951406097994982,0.1298124642277827,5.790802362121852
文献增强Challenger,高位平台形成,11,3.7296250092539993,2.991817890517953,-0.7043757851636795,6.264048199484961
文献增强Challenger,中期再定价回落,12,3.777057555472398,3.153782981168302,0.06424597890130102,7.235787658476099
文献增强Challenger,后期二次抬升,12,2.7550663120150216,2.1708687575565313,0.4228169515718487,5.371307035730979
