trade_date,day_index,事件段,actual_price,simulated_price,模型误差,绝对误差,相对误差,误差方向,朴素预测,朴素误差,supply_gap,剩余缺口占需求,缓冲供给合计,风险溢价合计,折价合计,净机制压力,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,mechanism_plus_ridge_return,机制加Ridge误差,online_corrected_price,在线校正误差,regime_corrected_price,分段校正误差,mechanism_plus_phase_ridge,阶段Ridge误差,phase_gated_ridge_correction,ridge_assist_phase
2026-03-02,0,初始冲击吸收,78.07,76.2166591575255,-1.8533408424744948,1.8533408424744948,2.3739475374337067,低估,78.07,0.0,1005.9675641539508,0.10080316289179256,395.1787948832052,9.172547547448094,0.0,9.172547547448094,5.00277523582717,0.0,0.0,4.169772311620924,0.0,0.0,76.98656909792244,-1.083430902077552,76.2166591575255,-1.8533408424744948,76.2166591575255,-1.8533408424744948,76.2166591575255,-1.8533408424744948,0.0,未启用
2026-03-03,1,初始冲击吸收,81.96,79.35289640501445,-2.6071035949855457,2.6071035949855457,3.1809463091575716,低估,78.07,-3.8900000000000006,972.4764204466392,0.09778325068821779,394.3710382629017,12.681664562476675,0.0,12.681664562476675,4.571711346437984,3.2646639292139636,1.1383478281024884,3.706941458722239,0.0,0.0,80.30217294329293,-1.6578270567070632,79.72356457350935,-2.236435426490644,79.72356457350935,-2.236435426490644,79.35289640501445,-2.6071035949855457,0.0,未启用
2026-03-04,2,初始冲击吸收,82.58,82.47395364626057,-0.10604635373942983,0.10604635373942983,0.12841650973532312,低估,81.96,-0.6200000000000045,937.4782560957228,0.09460474938136508,393.56493271994873,15.759698394712908,0.0,15.759698394712908,4.178637652456755,6.070398716688926,2.215178735005486,3.295483290561741,0.0,0.0,83.66364236986027,1.0836423698602715,82.99537436525767,0.41537436525767646,82.99537436525767,0.41537436525767646,82.47395364626057,-0.10604635373942983,0.0,未启用
2026-03-05,3,初始冲击吸收,84.31,85.46198066089124,1.1519806608912404,1.1519806608912404,1.3663630184927535,高估,82.58,-1.730000000000004,901.6704549783954,0.09132866963907674,392.7604748794976,18.464341456325183,0.0,18.464341456325183,3.820890554975058,8.479938163487294,3.2338171278018364,2.929695610060994,0.0,0.0,85.52456888828301,1.2145688882830115,85.48318993163913,1.1731899316391292,85.48318993163913,1.1731899316391292,85.46198066089124,1.1519806608912404,0.0,未启用
2026-03-06,4,初始冲击吸收,93.32,88.25408579791993,-5.065914202080066,5.065914202080066,5.4285407223318325,低估,84.31,-9.009999999999991,865.6488943440363,0.08800836741885787,391.9576613735978,20.845261529597373,0.0,20.845261529597373,3.495897111766592,10.547447511926382,4.197407760859515,2.604509145044884,0.0,0.0,88.51180795576155,-4.808192044238439,88.02368966574168,-5.296310334258308,88.02368966574168,-5.296310334258308,88.25408579791993,-5.065914202080066,0.0,未启用
2026-03-09,7,初始冲击吸收,89.79,91.71413729946164,1.9241372994616341,1.9241372994616341,2.1429305039109408,高估,93.32,3.529999999999987,572.9397215354074,0.058754550145331604,600.0930611976536,25.779135784324925,0.0,25.779135784324925,2.0279544901404347,15.134398594852536,6.786846089283451,1.829936610048504,0.0,0.0,94.0100492772465,4.220049277246488,92.72732013987763,2.9373201398776274,92.72732013987763,2.9373201398776274,91.71413729946164,1.9241372994616341,0.0,未启用
2026-03-10,8,初始冲击吸收,91.4,94.44833732798833,3.048337327988321,3.048337327988321,3.3351611903592135,高估,89.79,-1.6099999999999994,431.0645858514017,0.04439636487868733,700.0147407940804,26.892504620516593,0.0,26.892504620516593,1.4654327262328932,16.241823009101587,7.558429150273017,1.626819734909094,0.0,0.0,96.68493483867624,5.284934838676236,94.063509868096,2.663509868096,94.063509868096,2.663509868096,94.44833732798833,3.048337327988321,0.0,未启用
2026-03-11,9,初始冲击吸收,90.93,96.67866266751336,5.748662667513358,5.748662667513358,6.322074857047571,高估,91.4,0.46999999999999886,356.0638982117762,0.03681937611383604,736.1162704996316,28.08429255863484,0.0,28.08429255863484,1.1644092489945557,17.18531969967763,8.288315452864166,1.4462481570984829,0.0,0.0,97.30088773744944,6.370887737449436,96.0689952019157,5.138995201915691,96.0689952019157,5.138995201915691,96.67866266751336,5.748662667513358,0.0,未启用
2026-03-12,10,初始冲击吸收,101.75,98.5241753990628,-3.2258246009372016,3.2258246009372016,3.1703435881446698,低估,90.93,-10.819999999999993,280.6678571542616,0.029134082870433998,774.6149796060316,29.136013077203497,0.0,29.136013077203497,0.8842063965082315,17.98732894504363,8.978758312025613,1.285719423626022,0.0,0.0,98.86934602870612,-2.8806539712938815,97.37444286556013,-4.375557134439873,97.37444286556013,-4.375557134439873,98.5241753990628,-3.2258246009372016,0.0,未启用
2026-03-13,11,初始冲击吸收,103.89,100.0677406009906,-3.822259399009397,3.822259399009397,3.6791408210697827,低估,101.75,-2.1400000000000006,202.078291162994,0.02105366392025121,817.792426861198,30.05623616245878,0.0,30.05623616245878,0.6141121764137968,18.667225868199697,9.63188927238844,1.1430088454568477,0.0,0.0,100.6140860901546,-3.2759139098454,100.71290552117804,-3.1770944788219566,100.71290552117804,-3.1770944788219566,100.0677406009906,-3.822259399009397,0.0,未启用
2026-03-16,14,未分段,101.02,101.8968349384228,0.8768349384228031,0.8768349384228031,0.8679815268489439,高估,103.89,2.8700000000000045,71.33678875417536,0.007499982164941352,861.8802132952064,32.51653455068817,0.0,32.51653455068817,0.1960016800064616,20.13041575922181,11.387035373048608,0.8030817384112942,0.0,0.0,102.17529370557074,1.1552937055707417,102.1623810273054,1.1423810273054045,102.1596057112001,1.1396057112001046,101.8968349384228,0.8768349384228031,0.0,未启用
2026-03-17,15,高位平台形成,103.5,103.36902495755456,-0.1309750424454421,0.1309750424454421,0.12654593472989575,低估,101.02,-2.480000000000004,40.175478750237744,0.004240273480166331,856.184711662108,33.19874622091203,0.0,33.19874622091203,0.106965107569682,20.467817013862263,11.9100217620141,0.7139423374659774,0.0,0.0,101.97031763130134,-1.5296823686986585,103.34314004044434,-0.15685995955566057,103.343374736883,-0.1566252631169931,101.97031763130134,-1.5296823686986585,-1.3987073262532164,高位平台形成
