trade_date,day_index,actual_price,simulated_price,error,rolling_rmse_7,rolling_mae_7,rolling_bias_7
2026-03-02,0,78.07,76.5804371242531,-1.4895628757468984,,,
2026-03-03,1,81.96,79.92914896202954,-2.03085103797045,,,
2026-03-04,2,82.58,83.12179145883307,0.5417914588330746,1.4873568820891077,1.3540684575168076,-0.9928741516280913
2026-03-05,3,84.31,86.07206043112662,1.7620604311266135,1.5605726871116579,1.4560664509192591,-0.3041405059394151
2026-03-06,4,93.32,88.6459325424918,-4.674067457508187,2.513501742365525,2.099666652237045,-1.1781258962531695
2026-03-09,7,89.79,92.28437120622117,2.4943712062211603,2.5103234439276894,2.1654507445677305,-0.5660430458407811
2026-03-10,8,91.4,94.886571346725,3.4865713467250004,2.6717175458762648,2.354182259161626,0.012901867382901904
2026-03-11,9,90.93,96.85041756492828,5.920417564928272,3.439249691780991,2.9871615004732512,1.071470501765069
2026-03-12,10,101.75,98.4508506995438,-3.299149300456193,3.576892092009974,3.168346966542643,0.8902850356956772
2026-03-13,11,103.89,99.83226238111328,-4.057737618886719,3.886437881807681,3.6706249894074494,0.2332094531642781
2026-03-16,14,101.02,101.79967069780444,0.7796706978044483,3.8402720383200752,3.5302835989328543,0.09286806268968308
2026-03-17,15,103.5,103.22461701666556,-0.27538298333443834,3.4113833492398085,2.9019001026223186,0.7212515590002185
2026-03-18,16,109.65,104.3038432044129,-5.346156795587106,3.851201283029775,3.309298043960311,-0.3988238698295338
2026-03-19,17,103.07,103.29731981846444,0.22731981846445137,3.6197425678183683,2.8436906827802324,-0.8644312310096122
2026-03-20,18,104.41,101.85804565887776,-2.55195434112224,3.004256043325289,2.3624816508079425,-2.0747700747311137
2026-03-23,21,96.07,100.61189455535556,4.541894555355569,3.2276329376686212,2.540016687222139,-0.9546209524722907
2026-03-24,22,95.96,100.13834550633204,4.17834550633205,3.2495414456465,2.557246385428615,0.2219623511303906
2026-03-25,23,98.06,100.14799025622372,2.087990256223719,3.3309898606418296,2.7441491794885104,0.40886514519028644
2026-03-26,24,100.1,100.45959455020244,0.3595945502024449,3.332136307770048,2.7561794033267972,0.4995762214098412
2026-03-27,25,106.29,100.95047805834344,-5.339521941656571,3.330616174166696,2.7552315670510064,0.5005240576856319
2026-03-30,28,108.89,102.14998460272656,-6.740015397273439,4.192291598925715,3.6856166497380047,-0.4948095445626381
2026-03-31,29,103.53,103.09724952094976,-0.43275047905024167,4.083100432110514,3.3828732408705764,-0.19206613569520975
2026-04-01,30,100.24,103.41674779904432,3.176747799044321,3.8944077928242526,3.1878522756832552,-0.38708710088253084
2026-04-02,31,109.24,103.3775006001283,-5.8624993998716945,4.193110206736805,3.4284456890460615,-1.8214935160544943
2026-04-06,35,109.7,102.28448609924406,-7.41551390075594,4.9814707458612775,4.189520495407807,-3.1791369670515883
2026-04-07,36,103.42,101.45493870878164,-1.9650612912183618,5.034701199543758,4.41887288698151,-3.5112306586831323
2026-04-08,37,96.7,100.69459935016928,3.994599350169281,4.853332324786936,4.2267410881976115,-2.177784759850868
2026-04-09,38,96.41,99.95989825007048,3.549898250070484,4.343432030320901,3.7710100671686178,-0.7077970959445931
2026-04-10,39,94.26,99.2276883562836,4.967688356283588,4.729066160340752,4.41885833534481,0.06369416624595406
2026-04-13,42,98.0,97.72589589912434,-0.27410410087566106,4.575273195926494,4.0041949498921445,-0.42928467659975766
2026-04-14,43,95.34,96.58446140567509,1.2444614056750822,4.03044943786427,3.3444752364354855,0.5859954384783533
2026-04-15,44,94.87,95.58159150007546,0.7115915000754569,2.9088086601350813,2.386772036338274,1.7470104957399815
2026-04-16,45,98.21,94.64727645212665,-3.5627235478733468,3.118142944337781,2.6150095015747,1.518773030503555
2026-04-17,46,92.42,93.74359175003812,1.3235917500381191,2.7737231065241157,2.2334369872702484,1.1372005161991032
2026-04-20,49,93.8,96.98377600712784,3.1837760071278467,2.7094920762642154,2.1811338097070143,1.0848973386358693
2026-04-21,50,99.06,99.46738446153532,0.40738446153531527,1.959499413979968,1.5296618247429754,0.4334253536718303
2026-04-22,51,101.55,101.64091825537926,0.09091825537926468,1.957060432118948,1.5034924182434903,0.48557140456539116
2026-04-23,52,106.01,103.4265675635217,-2.5834324364783043,2.1359520362589954,1.694773994072522,-0.06127057288509263
2026-04-24,53,105.88,104.8757128147029,-1.0042871852971018,2.152681649742445,1.7365876633898998,-0.3063960993668867
2026-04-27,56,101.97,106.63468780885972,4.664687808859725,2.435000183969435,1.8940111292450967,0.8689483801664092
2026-04-28,57,104.48,107.81660707908982,3.3366070790898164,2.6961780608584647,2.1815847476810535,1.156521998602366
2026-04-29,58,112.49,108.64271726429708,-3.847282735702919,2.81705996020817,2.276371423191778,0.152085035340828
2026-04-30,59,110.86,109.2414059520005,-1.618594047999494,2.878607608067666,2.449401364115232,-0.1373404660212876
2026-05-01,60,109.2,109.688698257944,0.48869825794399446,2.8843229506799,2.506227078767336,-0.08051475136918336
2026-05-04,63,114.06,110.17155449263666,-3.8884455073633433,3.086401452839249,2.692657517465199,-0.26694519006704603
2026-05-05,64,110.31,110.48728830977932,0.1772883097793141,3.063703545217548,2.574514820962658,-0.09814869077041521
