窗口编号,窗口起始,窗口终止,样本数,窗口均价,窗口价格范围,窗口收益率波动率,霍尔木兹机制模型RMSE,朴素上一日基准RMSE,模型/朴素RMSE,解释
1,2020-03-02,2020-05-05,46,31.93739130434783,30.060000000000002,0.08063813832922909,38.372890594280875,2.7368662657356384,14.020740097787234,固定阶段4参数直接套用到历史高波动窗口；用于边界检验，不作为重新校准表现
2,2022-02-14,2022-04-19,46,105.18869565217393,39.53999999999999,0.04542584341737056,25.97560699934937,4.99093700360093,5.204555172827894,固定阶段4参数直接套用到历史高波动窗口；用于边界检验，不作为重新校准表现
3,2020-05-06,2020-07-08,46,38.424782608695644,13.999999999999996,0.03755890909895222,3.3909958158845304,1.3351379997067225,2.539809230678326,固定阶段4参数直接套用到历史高波动窗口；用于边界检验，不作为重新校准表现
4,2018-11-05,2019-01-09,46,61.03717391304349,22.029999999999994,0.029988703623598546,39.65925770357934,1.7704310455243721,22.40090502470427,固定阶段4参数直接套用到历史高波动窗口；用于边界检验，不作为重新校准表现
5,2022-06-13,2022-08-15,46,104.27891304347828,29.5,0.02848764134603297,63.909988763476406,3.0671984809821367,20.83660029168116,固定阶段4参数直接套用到历史高波动窗口；用于边界检验，不作为重新校准表现
6,2025-04-22,2025-06-24,46,66.00152173913045,16.709999999999994,0.0266603899943963,24.3383558894496,1.8190208785282624,13.379921130504743,固定阶段4参数直接套用到历史高波动窗口；用于边界检验，不作为重新校准表现
