分段,样本数,RMSE,MAE,平均偏差,最大绝对误差,实际最低价,实际最高价
全窗口,46,3.498435485339668,2.9075787708297303,0.1337538435748365,7.210578572693507,78.07,114.06
前期冲击_0到14天,11,3.148843026250746,2.714991553200782,-0.16535899024735556,5.856747488692818,78.07,103.89
中期平台_15到35天,14,4.364569366159465,3.717944242459129,-0.9340224966694188,7.210578572693507,95.96,109.7
后期再定价_36天以后,21,2.9859710225841782,2.4682141418348187,1.0022828881207264,5.349517560249382,92.42,114.06
高价平台_actual大于等于110,4,2.739622319952899,2.2203860170844685,-2.2203860170844685,3.9461321856830693,110.31,114.06
低价回落_actual小于100,21,3.5129315553854363,3.076030668943514,1.9151219673458892,5.856747488692818,78.07,99.06
