事件段,起始日期,结束日期,样本数,RMSE,MAE,平均误差,最大绝对误差,低估天数,高估天数,朴素RMSE,相对朴素改善率,平均剩余缺口,平均缓冲供给,平均风险溢价,平均折价,平均净机制压力,机制加Ridge_RMSE,机制加Ridge相对主模型改善率,阶段Ridge_RMSE,阶段Ridge相对主模型改善率,在线校正_RMSE,在线校正相对主模型改善率,分段校正_RMSE,分段校正相对主模型改善率
初始冲击吸收,2026-03-02,2026-03-14,10,3.2907605800937816,2.855360694908069,-0.4807371037371581,5.748662667513358,6,4,4.864312901119742,32.34891243661024,652.6055943934585,559.6464381077747,21.68716956936989,0.0,21.68716956936989,3.674884000014444,-11.672785381114403,3.2907605800937816,0.0,3.307675392205636,-0.5140091993982887,3.307675392205636,-0.5140091993982887
高位平台形成,2026-03-17,2026-03-31,11,3.926434293689527,3.1792449088218873,-0.5355242495397696,6.391599468411883,7,4,4.680810924304778,16.11636621975487,4.565027308242365,922.5434283481675,36.24118397070329,6.984123951026088,29.2570600196772,3.701733574545642,5.722767843206202,3.701733574545642,5.722767843206202,3.8512577578848655,1.9146261004668639,3.9540695454180015,-0.7038256509955945
中期再定价回落,2026-04-01,2026-04-17,12,3.8253718079494936,3.2607894160609745,0.5254858827480279,6.800062238536327,5,7,4.539666837995932,15.734525363578635,0.0,964.7541964058495,39.55556351000147,14.388541790076511,25.167021719924957,3.3658155656034197,12.013374527178549,3.3658155656034197,12.013374527178549,3.7640568463301864,1.6028497280156853,4.124398779909791,-7.816938770210272
后期二次抬升,2026-04-20,2026-05-05,12,2.864794924868214,2.3689418294939926,0.27353706067000755,4.939046239758483,5,7,3.921346494934275,26.94359122385511,0.0,964.7541964058495,39.775579432157606,4.487049768493982,35.288529663663624,2.90809798017318,-1.5115586434850403,2.864794924868214,0.0,2.760104625259414,3.654373257227677,2.919738223300478,-1.917878936300876
