事件窗口,起始日期,结束日期,样本数,实际起止变动,模型起止变动,RMSE,MAE,平均偏差,最大绝对误差,方向命中率,朴素基准RMSE,相对朴素改善率,主要检验问题
初始冲击吸收,2026-03-02,2026-03-14,10,25.820000000000007,22.403455766270056,3.3168007915845203,2.951406097994982,0.1298124642277827,5.790802362121852,77.77777777777779,4.864312901119742,31.81358068431395,封锁消息被市场快速重定价，检验前期暴涨是否能同步解释。
高位平台形成,2026-03-17,2026-03-31,11,0.030000000000001137,0.6895811534183167,3.7296250092539993,2.991817890517953,-0.7043757851636795,6.264048199484961,80.0,4.680810924304778,20.320964260953446,价格进入 100 美元以上平台，检验模型是否能解释平台建立。
中期再定价回落,2026-04-01,2026-04-17,12,-7.819999999999993,-10.259532516777753,3.777057555472398,3.153782981168302,0.06424597890130102,7.235787658476099,63.63636363636363,4.539666837995932,16.798794046749762,缓冲机制逐步确认，检验模型对平台回落和反复震荡的解释。
后期二次抬升,2026-04-20,2026-05-05,12,16.510000000000005,12.970883064018949,2.7550663120150216,2.1708687575565313,0.4228169515718487,5.371307035730979,54.54545454545454,3.921346494934275,29.741829354429473,尾段价格再次走强，检验模型是否低估二次风险重定价。
