trade_date,pre_close_filled,target_close_price,target_log_return,target_price_change,是否冲突窗口,滞后1日收益率,滞后2日收益率,滞后3日收益率,滞后5日收益率,滞后10日收益率,3日平均收益率,3日收益波动率,3日上涨天数占比,5日平均收益率,5日收益波动率,5日上涨天数占比,10日平均收益率,10日收益波动率,10日上涨天数占比,20日平均收益率,20日收益波动率,20日上涨天数占比,相对5日均线偏离,相对20日均线偏离,相对60日均线偏离,前日振幅,前日开收盘偏离,60日价格分位,120日价格分位
2017-09-01,,52.69,,,False,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-04,52.69,52.2,-0.009343189332601321,-0.4899999999999949,False,,,,,,,,0.0,,,0.0,,,,,,,,,,,-0.003216042376087811,,
2017-09-05,52.2,53.19,0.01878791386563305,0.9899999999999949,False,-0.009343189332601321,,,,,,,0.0,,,0.0,,,,,,,,,,0.014613778705636803,-0.010426540284360136,,
2017-09-06,53.19,54.17,0.018256840915581357,0.980000000000004,False,0.01878791386563305,-0.009343189332601321,,,,0.004722362266515865,0.014065551599117185,0.3333333333333333,0.004722362266515865,0.014065551599117185,0.25,,,,,,,0.009425607287449456,,,0.02969348659003826,0.017211703958691885,,
2017-09-07,54.17,54.5,0.006073451999390875,0.3299999999999983,False,0.018256840915581357,0.01878791386563305,-0.009343189332601321,,,0.009233855149537696,0.013137743233094941,0.6666666666666666,0.009233855149537696,0.013137743233094941,0.4,,,0.4,,,,0.02087161366313306,,,0.022184621169392738,0.01919096895578557,,
2017-09-08,54.5,53.75,-0.013857034661426241,-0.75,False,0.006073451999390875,0.018256840915581357,0.01878791386563305,,,0.014372735593535095,0.005872483333400083,1.0,0.008443754362000991,0.011459624806574049,0.6,,,0.5,,,,0.021555763823805085,,,0.01384530182757984,0.005906238464378004,,
2017-09-11,53.75,53.93,0.0033432423413633774,0.17999999999999972,False,-0.013857034661426241,0.006073451999390875,0.018256840915581357,-0.009343189332601321,,0.003491086084515331,0.01323698634968485,0.6666666666666666,0.003983596557315545,0.01358787809544757,0.6,0.003983596557315545,0.01358787809544757,0.42857142857142855,,,,0.0035099510847242943,0.006240249609984483,,0.022935779816513763,-0.014665444546287758,,
2017-09-12,53.93,54.03,0.0018525385068388688,0.10000000000000142,False,0.0033432423413633774,-0.013857034661426241,0.006073451999390875,0.01878791386563305,,-0.0014801134402239958,0.008822495693059556,0.6666666666666666,0.006520882892108485,0.011947969512233321,0.8,0.00387687085465685,0.012406274400157092,0.5,,,,0.00040810269347768546,0.00822583660497278,,0.019720930232558182,0.001113792463337707,,
2017-09-13,54.03,54.75,0.013237920840635789,0.7199999999999989,False,0.0018525385068388688,0.0033432423413633774,-0.013857034661426241,0.018256840915581357,,-0.002887084604407998,0.0077807627162839905,0.6666666666666666,0.003133807820349648,0.010273479254972013,0.8,0.0035876805192542813,0.011507800901101513,0.5555555555555556,,,,-0.0008506546342185173,0.008822293796387104,,0.016502874096050446,0.007082945013979544,,
2017-09-14,54.75,55.05,0.005464494472078745,0.29999999999999716,False,0.013237920840635789,0.0018525385068388688,0.0033432423413633774,0.006073451999390875,,0.006144567229612679,0.0050525438192939014,1.0,0.0021300238053605348,0.008900235257510955,0.8,0.00479396055942697,0.011227714688626616,0.6,,,0.6,0.010296722763507571,0.019742968895511304,,0.019988895058300912,0.01445247359644249,,
2017-09-15,55.05,55.33,0.005073393741329487,0.28000000000000114,False,0.005464494472078745,0.013237920840635789,0.0018525385068388688,-0.013857034661426241,,0.0068516512731844675,0.004750430556965279,1.0,0.002008232299898109,0.008849461464370838,0.8,0.004868464327499389,0.010587688214034881,0.7,,,0.6363636363636364,0.013774814923943834,0.02273993980604172,,0.01844748858447485,0.005846884706742194,,
2017-09-18,55.33,55.19,-0.0025334794586085205,-0.14000000000000057,False,0.005073393741329487,0.005464494472078745,0.013237920840635789,0.0033432423413633774,-0.009343189332601321,0.00792526968468134,0.0037600032512438318,1.0,0.005794317980449254,0.003939064255695706,1.0,0.004888957268882399,0.010044551119471222,0.8,0.004888957268882399,0.010044551119471222,0.6666666666666666,0.013035995459372396,0.025337354065937623,,0.016893732970027244,0.0047212638460141275,,
2017-09-19,55.19,55.15,-0.0007250317518983787,-0.03999999999999915,False,-0.0025334794586085205,0.005073393741329487,0.005464494472078745,0.0018525385068388688,0.01878791386563305,0.002668136251599904,0.0036815616652822337,0.6666666666666666,0.004618973620454875,0.005177227107769212,0.8,0.00556992825628168,0.009256518930717916,0.8,0.0042141902936559525,0.009811932548553007,0.6153846153846154,0.005831966466192995,0.02080828632201981,,0.019519248147478734,-0.0030708092485549443,,
2017-09-20,55.15,55.82,0.012075482408664644,0.6700000000000017,False,-0.0007250317518983787,-0.0025334794586085205,0.005073393741329487,0.013237920840635789,0.018256840915581357,0.0006049608436075293,0.0032447691441312397,0.3333333333333333,0.004103459568707425,0.005542469830702721,0.6,0.0036186336945285363,0.00826841762621896,0.7,0.0038025884565264247,0.009492879547579517,0.5714285714285714,0.001016444621918966,0.018496157288366843,,0.017394455517303876,-0.0007247689798876454,,
2017-09-21,55.82,56.1,0.005003584420474648,0.28000000000000114,False,0.012075482408664644,-0.0007250317518983787,-0.0025334794586085205,0.005464494472078745,0.006073451999390875,0.0029389903993859152,0.006502524404859338,0.3333333333333333,0.0038709718823131964,0.005166030815472648,0.6,0.003000497843836865,0.007328625796449723,0.7,0.004438964914383211,0.009383099556166357,0.6,0.009257250307369791,0.028601513655807764,,0.018857660924750667,0.013435003631082099,,
2017-09-22,56.1,56.42,0.005687893045199516,0.3200000000000003,False,0.005003584420474648,0.012075482408664644,-0.0007250317518983787,0.005073393741329487,-0.013857034661426241,0.005451345025746971,0.005235370592639968,0.6666666666666666,0.0037787898719923775,0.00514082447151113,0.6,0.002893511085945242,0.007290695492006312,0.7,0.004479294879104027,0.00904295016950449,0.625,0.010483086566518862,0.031439602868174266,,0.012361160874238584,0.004476275738585497,,
2017-09-25,56.42,58.52,0.036544870578073346,2.1000000000000014,False,0.005687893045199516,0.005003584420474648,0.012075482408664644,-0.0025334794586085205,0.0033432423413633774,0.007588986624779603,0.003184708556794687,1.0,0.003901689732766383,0.005177519388722635,0.6,0.004848003856607818,0.004696485658077855,0.8,0.00455986809017706,0.00874152007241276,0.6470588235294118,0.012272140088990913,0.03490891581735012,,0.009803921568627527,0.004808548530721338,,
2017-09-26,58.52,58.03,-0.008408457949406664,-0.490000000000002,False,0.036544870578073346,0.005687893045199516,0.005003584420474648,-0.0007250317518983787,0.0018525385068388688,0.015745449347915837,0.014710064858357205,1.0,0.011717359740102757,0.013059677637391376,0.8,0.008168166680278815,0.010548753558354789,0.8,0.006558930745670578,0.011470922363162538,0.6666666666666666,0.03755185986312548,0.06881251410092504,,0.04271534916696213,0.0372208436724566,,
2017-09-27,58.03,57.32,-0.012310515242545797,-0.7100000000000009,False,-0.008408457949406664,0.036544870578073346,0.005687893045199516,0.012075482408664644,0.013237920840635789,0.0112747685579554,0.018772503294644548,0.6666666666666666,0.0101806745006011,0.014772977519562797,0.8,0.007142067034654261,0.011563436065503483,0.7,0.005678496116548387,0.011672385397676325,0.631578947368421,0.018463266523921273,0.056349992920855074,,0.027853725222146197,-0.008203725858827497,,
