day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,total_buffer_supply,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,demand_decline,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,candidate_id,pre_close_filled,target_close_price,ridge_predicted_return,ridge_price,naive_price,ridge_return_correction,mechanism_plus_full_ridge,enhanced_phase,phase_ridge_correction,enhanced_short_term_price,enhanced_model_note,hybrid_base_column,hybrid_shrinkage,hybrid_max_abs_correction,hybrid_feedback_coefficient,hybrid_predicted_error,hybrid_short_term_price,hybrid_error
0,0,calendar,2026-03-02,78.07,77.23048932595619,9127.0405309033,9979.52380952381,1452.483278620508,852.4832786205079,0.0,0.0,600.0,600.0,0.4130856505073493,0.4130856505073493,57400.0,20.47619047619047,-0.05,1.1718691044054057,3.27227901426319,0.0,0.0,5.66214171008388,0.0,0.0,36003,73.21,78.07,0.0092253350532786,73.88851171605263,73.21,0.6785117160526397,77.90900104200882,未启用,0.0,77.23048932595619,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.0,0.0,77.23048932595619,-0.8395106740438081
1,1,calendar,2026-03-03,81.96,80.77764470982913,9127.0405309033,9931.075422512242,1404.0348916089406,804.0348916089406,0.0,0.0,600.0,600.0,0.4273398072838743,0.0142541567765249,56800.0,40.95238095238095,-0.0523946678811753,1.152434221137429,2.945250688768364,2.8733297638332425,1.170578768521208,5.021869198262027,0.0,0.0,36003,78.07,81.96,0.0121955722942517,79.02793775561913,78.07,0.9579377556191416,81.73558246544827,未启用,0.0,80.77764470982913,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.18,-0.0,80.77764470982913,-1.182355290170861
2,2,calendar,2026-03-04,82.58,83.95722200249233,9127.0405309033,9884.82110378902,1357.7805728857184,757.7805728857184,0.0,0.0,600.0,600.0,0.4418976173188337,0.0145578100349594,56200.0,61.42857142857142,-0.0547893357623506,1.1351970259818482,2.65449489346151,5.342742067541697,2.2778988387050627,4.453998422459,0.0,0.0,36003,81.96,82.58,0.0149849167613711,83.19741188002371,81.96,1.2374118800237142,85.19463388251604,未启用,0.0,83.95722200249233,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.18,-0.0,83.95722200249233,1.3772220024923314
3,3,calendar,2026-03-05,84.31,86.64126219579065,9227.0405309033,9840.07319422184,1313.0326633185396,613.0326633185396,100.0,0.0,600.0,700.0,0.5331169738236596,0.0912193565048258,55600.0,81.9047619047619,-0.0571840036435259,1.1199090053266818,2.0575174106824416,7.463450832588452,3.325378744205985,3.9503422259848664,0.0,0.0,36003,82.58,84.31,0.0040289992591155,82.91338591363419,82.58,0.3333859136341885,86.97464810942483,未启用,0.0,86.64126219579065,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.18,0.0,86.64126219579065,2.331262195790643
4,4,calendar,2026-03-06,93.32,88.94202859805333,9327.0405309033,9797.764156316083,1270.723625412782,470.723625412782,200.0,0.0,600.0,800.0,0.6295625453096679,0.0964455714860083,55000.0,102.38095238095238,-0.0595786715247012,1.1063497473706605,1.516385570409317,9.28312853194167,4.316252279304147,3.5036392522527255,0.0,0.0,36003,84.31,93.32,0.0053170880301227,84.75947758882616,84.31,0.4494775888261557,89.39150618687948,未启用,0.0,88.94202859805333,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.18,0.0,88.94202859805333,-4.377971401946667
7,5,calendar,2026-03-09,89.79,92.29542330460936,9491.759226373444,9707.075854005168,1180.035323101867,215.31662763172423,500.0,0.0,464.7186954701435,964.7186954701436,0.8175337437647735,0.1879711984551055,54535.28130452985,163.8095238095238,-0.0667626751682271,1.0741977010241448,0.6189824006736171,13.32024333382946,6.979007418654406,2.4444061613899364,0.0,0.0,36003,93.32,89.79,0.023238047651712,95.5139676402336,93.32,2.193967640233595,94.48939094484297,未启用,0.0,92.29542330460936,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.18,-0.0,92.29542330460936,2.5054233046093515
8,6,calendar,2026-03-10,91.4,94.80138294609966,9489.050345882722,9656.779196240455,1129.738665337156,167.7288503577347,600.0,0.0,362.00981497942144,962.0098149794214,0.851533053170595,0.0339993094058215,54173.27148955043,184.28571428571428,-0.0691573430494024,1.0658074573957437,0.4654831159649693,14.294921156616423,7.772436919767904,2.167993780174073,0.0,0.0,36003,89.79,91.4,0.018453464893294,91.46231919855956,89.79,1.6723191985595631,96.47370214465924,未启用,0.0,94.80138294609966,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.18,0.0,94.80138294609966,3.401382946099659
9,7,calendar,2026-03-11,90.93,96.72080236212186,9490.118742755818,9612.009929685928,1084.9693987826267,121.89118693011004,700.0,0.0,263.07821185251686,963.0782118525168,0.8876547236568368,0.0361216704862418,53910.19327769792,204.76190476190476,-0.0715520109305777,1.0583659788526787,0.326952697299826,15.125321216742377,8.52298906925619,1.9228379903120696,0.0,0.0,36003,91.4,90.93,0.0072485034912057,92.0649201458114,91.4,0.6649201458113936,97.38572250793324,未启用,0.0,96.72080236212186,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.18,0.0,96.72080236212186,5.790802362121852
10,8,calendar,2026-03-12,101.75,98.29792410509916,9462.045135541406,9570.929067782205,1043.888536878903,108.88393224079846,700.0,0.0,235.004604638105,935.004604638105,0.8956939094605371,0.0080391858037002,53675.18867305981,225.23809523809524,-0.073946678811753,1.0517659794534422,0.2826048337173394,15.831193884050707,9.23298098197296,1.705404310103923,0.0,0.0,36003,90.93,101.75,0.0047212464434138,91.36031795834349,90.93,0.4303179583434655,98.72824206344262,未启用,0.0,98.29792410509916,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.18,0.0,98.29792410509916,-3.452075894900844
11,9,calendar,2026-03-13,103.89,99.63394509222624,9435.33361172596,9531.841379024594,1004.8008481212928,96.50776729863357,700.0,0.0,208.29308082265945,908.2930808226596,0.9039533381375257,0.0082594286769884,53466.89559223715,245.7142857142857,-0.0763413466929283,1.0459123051039383,0.2426257628750436,16.429591792074685,9.904604554654613,1.5125579354966938,0.0,0.0,36003,101.75,103.89,0.0106254523640307,102.8369039752898,101.75,1.0869039752897862,100.72084906751604,未启用,0.0,99.63394509222624,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.18,-0.0,99.63394509222624,-4.256054907773759
14,10,calendar,2026-03-16,101.02,101.49472884771475,9371.7110909054,9438.74083901082,911.70030810752,67.02974810542219,700.0,0.0,144.67056000209703,844.6705600020971,0.9264783092543192,0.0225249711167937,53322.22503223506,307.14285714285717,-0.0835253503364542,1.032031928346368,0.1540223494495581,17.717389603785737,11.709445491989456,1.0552758634069168,0.0,0.0,36003,103.89,101.02,0.0062625892829574,104.54266194433872,103.89,0.6526619443387176,102.14739079205349,未启用,0.0,101.49472884771475,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.0465092901846058,-0.0,101.49472884771475,0.47472884771475776
15,11,calendar,2026-03-17,103.5,102.85008405019607,9342.232693899714,9395.604310552448,868.5637796491465,53.37161665273379,700.0,0.0,115.19216299641212,815.1921629964121,0.9385518739058016,0.0120735646514822,53207.03286923865,327.6190476190476,-0.0859200182176295,1.028409771877853,0.1192203685211747,18.014346683697646,12.247239607316272,0.9359457296299384,0.0,0.0,36003,101.02,103.5,-0.0074553351442988,100.2696625278224,101.02,-0.7503374721775913,102.09974657801848,高位平台形成,-0.7503374721775913,102.09974657801848,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.020719737112854422,0.0,102.09974657801848,-1.4002534219815175
16,12,calendar,2026-03-18,109.65,103.87468301155812,9315.270094613385,9356.149216328626,829.1086854253244,40.879121715242945,700.0,0.0,88.22956371008128,788.2295637100813,0.9506950989250914,0.0121432250192898,53118.80330552856,348.0952380952381,-0.0883146860988048,1.0251972072809403,0.0888388829587873,18.259898890836844,12.755971043032009,0.8301093952669434,0.0,0.0,36003,103.5,109.65,0.0009769362419743,103.6011623075608,103.5,0.1011623075608127,103.97584531911892,高位平台形成,0.1011623075608127,103.97584531911892,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.014701865421353232,-0.0,103.97584531911892,-5.674154680881088
17,13,calendar,2026-03-19,103.07,102.9685601739979,9289.925439655157,9319.061703406456,792.021172503155,29.13626375129934,700.0,0.0,62.88490875185509,762.884908751855,0.9632127716242536,0.0125176726991622,53055.91839677671,368.57142857142856,-0.0907093539799801,1.0223479180856645,0.0616476105754242,18.461110536862133,13.237210361777846,0.7362409873731729,3.829303406301629,0.0,36003,109.65,103.07,0.0113582354616212,110.9025303198497,109.65,1.252530319849697,104.2210904938476,高位平台形成,1.252530319849697,104.2210904938476,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.08463636745062848,-0.0,104.2210904938476,1.1510904938476045
18,14,calendar,2026-03-20,104.41,101.7005437911415,9275.786552873637,9298.371891409448,771.3313605061467,22.585338535813207,700.0,0.0,48.74602197033429,748.7460219703343,0.9707190194873032,0.0075062478630495,53007.172374806374,389.04761904761904,-0.0931040218611554,1.0198208252682568,0.0465578187449763,18.624080897932437,13.69244325215571,0.6529871780500858,6.061283752469489,0.0,36003,103.07,104.41,-0.0055102740637902,102.5036179455108,103.07,-0.5663820544891962,101.1341617366523,高位平台形成,-0.5663820544891962,101.1341617366523,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.0209718803047412,0.0,101.1341617366523,-3.275838263347694
21,15,calendar,2026-03-23,96.07,100.74600096699176,9239.810238931832,9245.726786932471,718.686256029172,5.916548000641342,700.0,0.0,12.769708028530014,712.76970802853,0.9917675509292028,0.0210485314418996,52994.402666777845,430.0,-0.1002880255046813,1.0138285205528532,0.0113227983711173,18.932705905109895,14.915781726257602,0.4555736953534741,7.912756028086655,0.0,36003,104.41,96.07,0.0015692049629154,104.5739693072568,104.41,0.1639693072568064,100.90997027424856,高位平台形成,0.1639693072568064,100.90997027424856,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.0,-0.0,100.90997027424856,4.8399702742485715
22,16,calendar,2026-03-24,95.96,100.4675334152173,9241.008359518672,9247.480028900847,720.4394979975477,6.471669382177424,700.0,0.0,13.967828615370513,713.9678286153705,0.991017053617736,-0.0007504973114669,52980.43483816247,430.0,-0.1026826933858567,1.012264797487889,0.0120963274011434,18.988655272084365,15.280303728621089,0.4040576208397526,7.75924141331468,0.0,36003,96.07,95.96,-0.0069871271245006,95.401086310998,96.07,-0.6689136890019824,99.79861972621532,高位平台形成,-0.6689136890019824,99.79861972621532,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.0,0.0,99.79861972621532,3.8386197262153274
23,17,calendar,2026-03-25,98.06,100.5920933521972,9242.15856462222,9242.896844203184,715.8563132998825,0.7382795809626259,700.0,13.524602094378793,1.5934316245394375,715.1180337189182,0.9989686763010288,0.0079516226832929,52978.84140653793,430.0,-0.105077361267032,1.0108778995442058,0.0013484851285647,19.02641671394038,15.625126768381676,0.3583669615340889,7.469220665236015,0.0,36003,95.96,98.06,-0.0059955890363715,95.38638457556068,95.96,-0.5736154244393106,100.01847792775789,高位平台形成,-0.5736154244393106,100.01847792775789,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.011069732352898463,0.0,100.01847792775789,1.9584779277578832
24,18,calendar,2026-03-26,100.1,100.9556386414278,9254.08973509206,9234.281356328986,707.2408254256843,0.0,700.0,27.049204188757585,0.0,727.0492041887576,1.0280079685037282,0.0290392922026992,52978.84140653793,430.0,-0.1074720291482073,1.0096478314143125,0.0,19.048516486928417,15.951315387940422,0.3178429820288149,7.120869372355286,0.0,36003,98.06,100.1,0.0004457409969834,98.10371910513908,98.06,0.0437191051390755,100.99935774656689,高位平台形成,0.0437191051390755,100.99935774656689,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.048668684923062866,0.0,100.99935774656689,0.899357746566892
25,19,calendar,2026-03-27,106.29,101.46111195634238,9267.614337186438,9223.103988868726,696.0634579654252,0.0,700.0,40.57380628313638,0.0,740.5738062831364,1.0639458196064675,0.0359378511027395,52978.84140653793,430.0,-0.1098666970293826,1.0085568588513554,0.0,19.057135636368574,16.25987660126164,0.2819014364284802,6.723940040804294,0.0,36003,100.1,106.29,0.0045179788654662,100.55327285199408,100.1,0.453272851994086,101.91438480833646,高位平台形成,0.453272851994086,101.91438480833646,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.05656404538770376,0.0,101.91438480833646,-4.375615191663542
28,20,calendar,2026-03-30,108.89,102.62595180051504,9308.188143469572,9195.216271644056,668.1757407407549,0.0,700.0,81.14761256627276,0.0,781.1476125662728,1.1690750874916152,0.1051292678851474,52978.84140653793,430.0,-0.1170507006729085,1.005969917846122,0.0,19.01968759326166,17.089067136150476,0.1966759584815683,5.451413850027444,0.0,36003,106.29,108.89,0.0153030560830512,107.92907124381964,106.29,1.639071243819643,104.26502304433468,高位平台形成,1.639071243819643,104.26502304433468,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.036684387776293445,-0.0,104.26502304433468,-4.624976955665318
29,21,calendar,2026-03-31,103.53,103.5396652036144,9321.712745563951,9174.59247042783,647.5519395245283,0.0,700.0,94.67221466065156,0.0,794.6722146606515,1.227194555612246,0.0581194681206309,52978.84140653793,430.0,-0.1194453685540838,1.0052948421432482,0.0,18.990811548953328,17.336143640746172,0.1744359269882381,5.051214666491493,0.0,36003,108.89,103.53,0.0066364170288093,109.61504263187422,108.89,0.7250426318742171,104.26470783548862,高位平台形成,0.7250426318742171,104.26470783548862,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.12572129077178795,-0.0,104.26470783548862,0.7347078354886207
30,22,calendar,2026-04-01,100.24,103.82104014512149,9335.23734765833,9156.468414481347,629.427883578046,0.0,700.0,108.19681675503034,0.0,808.1968167550303,1.2840181343107242,0.056823578698478,52978.84140653793,430.0,-0.1218400364352591,1.004696103706038,0.0,18.95562446013621,17.569867999812857,0.1547107885435704,4.6695189008457545,1.0524151715877983,36003,103.53,100.24,-0.0076079650420685,102.745336012056,103.53,-0.7846639879439863,103.0363761571775,中期再定价回落,-0.7846639879439863,103.0363761571775,机制主模型+历史价格滞后特征阶段Ridge修正,enhanced_short_term_price,0.0,1.0,0.10044113542569916,0.0,103.0363761571775,2.796376157177505
