开始日期,结束日期,样本数,Ridge_RMSE,Ridge_MAE,Ridge_MAPE,Ridge_方向命中率,Naive_RMSE,Naive_MAE,Naive_MAPE,Naive_方向命中率,Ridge相对Naive_RMSE改善率,是否冲突窗口
2019-10-08,2019-12-10,46,1.0006543670599013,0.750290052378469,1.226856923294335,48.888888888888886,0.9521109270412276,0.7223913043478266,1.1807016788733982,53.333333333333336,-5.098506764282911,False
2019-10-09,2019-12-11,46,1.0014126535532757,0.7533459638413559,1.231028183415691,48.888888888888886,0.9329301665463365,0.6989130434782614,1.13952121477715,53.333333333333336,-7.3405801915976285,False
2019-10-10,2019-12-12,46,0.9890090523917753,0.7388421753442893,1.2045685046805297,48.888888888888886,0.934235330189302,0.7030434782608701,1.145405082752855,53.333333333333336,-5.862946993384906,False
2019-10-11,2019-12-13,46,0.947949791320675,0.7031346166807976,1.1438372700662507,46.666666666666664,0.9195473839364391,0.686739130434783,1.1168384925356598,51.11111111111111,-3.0887377725604153,False
2019-10-14,2019-12-16,46,0.922317085617329,0.6752452927033588,1.0974282199746725,48.888888888888886,0.9052515864568313,0.6693478260869571,1.0874590073436508,53.333333333333336,-1.8851664460807216,False
2019-10-15,2019-12-17,46,0.8996377584344876,0.6517739754100577,1.056665225053804,48.888888888888886,0.8793599450984104,0.6456521739130439,1.0460302391569376,53.333333333333336,-2.3059741860095557,False
2019-10-16,2019-12-18,46,0.9013519693069749,0.6590959000953577,1.067738073147026,51.11111111111111,0.8808086699411397,0.6493478260869571,1.050764581349366,55.55555555555556,-2.3323225652635804,False
2019-10-17,2019-12-19,46,0.9022021248211708,0.6616006666287357,1.0706408584485851,51.11111111111111,0.8823683545115835,0.654347826086957,1.0577954521888926,55.55555555555556,-2.2477880363882607,False
2019-10-18,2019-12-20,46,0.9010925292891931,0.6593724928442476,1.0656153749520756,51.11111111111111,0.8816696117865396,0.6528260869565223,1.0540466263217145,55.55555555555556,-2.202970051706403,False
2019-10-21,2019-12-23,46,0.8996738782227702,0.6562579162002001,1.0590997039323562,48.888888888888886,0.880792627224998,0.6508695652173919,1.0494494851431442,53.333333333333336,-2.1436658770928907,False
2019-10-22,2019-12-24,46,0.9024197091712287,0.6626610902835364,1.0677866106580782,51.11111111111111,0.884247407833843,0.6580434782608701,1.0592146253275836,55.55555555555556,-2.0551150250926598,False
2019-10-23,2019-12-26,46,0.9025546882635558,0.6628878145520634,1.0659530811311781,51.11111111111111,0.885117285276733,0.6593478260869571,1.058880028877302,55.55555555555556,-1.970066936538361,False
2019-10-24,2019-12-27,46,0.8773317808295624,0.6328169279963949,1.0163518120182475,48.888888888888886,0.8577967226512966,0.6271739130434788,1.0059972000747404,53.333333333333336,-2.2773528578993005,False
2019-10-25,2019-12-30,46,0.8776258031705788,0.633960566976325,1.0174747883427435,46.666666666666664,0.8571882751942164,0.6245652173913049,1.0013114954145528,51.11111111111111,-2.3842519278196894,False
2019-10-28,2019-12-31,46,0.8821231487587571,0.6398591362786431,1.02515610995104,48.888888888888886,0.8585452812752516,0.6265217391304354,1.0029880908424955,53.333333333333336,-2.746257885021945,False
2019-10-29,2020-01-02,46,0.8804551212549967,0.6338042976350455,1.0149931745586123,46.666666666666664,0.8579335638614456,0.6250000000000008,0.999663831548812,51.11111111111111,-2.62509340375781,False
2019-10-30,2020-01-03,46,0.9376995097499738,0.6807415874240184,1.083203102656978,48.888888888888886,0.9258075206096527,0.6758695652173919,1.0736328001880995,51.11111111111111,-1.2844990859968612,False
2019-10-31,2020-01-06,46,0.9253676362364399,0.6639494171457135,1.05400525727815,46.666666666666664,0.9132883729545199,0.6565217391304357,1.0408399861620443,48.888888888888886,-1.3226121824854897,False
2019-11-01,2020-01-07,46,0.9211344583467481,0.652913863725513,1.0350132599871893,48.888888888888886,0.90886814464356,0.6441304347826093,1.0198594579935083,51.11111111111111,-1.349625220718754,False
2019-11-04,2020-01-08,46,0.9812270407650018,0.6762282231137667,1.0661208247951237,46.666666666666664,0.9521486000208905,0.6613043478260879,1.0415524400599367,51.11111111111111,-3.053981357896579,False
2019-11-05,2020-01-09,46,0.9790105015008569,0.6678116355711631,1.0524587204939837,46.666666666666664,0.9508794556253897,0.6589130434782619,1.0369283087157921,51.11111111111111,-2.958423984138509,False
