candidate_id,upward_speed_multiplier,downward_speed_multiplier,inventory_relief_strength,spr_credibility_strength,coverage_center,credibility_ramp_days,regularization_penalty,regularized_score,RMSE,MAE,MAPE,方向命中率,最大绝对误差,峰值误差,末日误差,高位平台形成_RMSE,中期再定价回落_RMSE,后期二次抬升_RMSE
337,1.0,1.0,0.0,0.0,0.55,10,0.0,5.308376715152294,3.3800142208570323,2.756404510610001,2.75534582763844,66.66666666666666,7.235787658476099,-3.736033303113871,0.01396669688612917,3.7296250092539993,3.777057555472398,2.7550663120150216
336,1.0,1.0,0.0,0.0,0.48,10,0.017500000000000016,5.325876715152294,3.3800142208570323,2.756404510610001,2.75534582763844,66.66666666666666,7.235787658476099,-3.736033303113871,0.01396669688612917,3.7296250092539993,3.777057555472398,2.7550663120150216
338,1.0,1.0,0.0,0.0,0.62,10,0.017499999999999988,5.325876715152294,3.3800142208570323,2.756404510610001,2.75534582763844,66.66666666666666,7.235787658476099,-3.736033303113871,0.01396669688612917,3.7296250092539993,3.777057555472398,2.7550663120150216
145,0.95,1.0,0.0,0.0,0.55,10,0.017500000000000016,5.330143599166263,3.375469250052752,2.7484262093666136,2.743288345110819,66.66666666666666,7.256563989790436,-3.7778072413326527,-0.027807241332652666,3.7704894049136715,3.7790033974570356,2.70743048483535
144,0.95,1.0,0.0,0.0,0.48,10,0.03500000000000003,5.347643599166263,3.375469250052752,2.7484262093666136,2.743288345110819,66.66666666666666,7.256563989790436,-3.7778072413326527,-0.027807241332652666,3.7704894049136715,3.7790033974570356,2.70743048483535
146,0.95,1.0,0.0,0.0,0.62,10,0.035,5.347643599166263,3.375469250052752,2.7484262093666136,2.743288345110819,66.66666666666666,7.256563989790436,-3.7778072413326527,-0.027807241332652666,3.7704894049136715,3.7790033974570356,2.70743048483535
529,1.08,1.0,0.0,0.0,0.55,10,0.02800000000000002,5.362985718061707,3.402639842336432,2.78525747399398,2.7888688381684767,66.66666666666666,7.206891163039614,-3.6844228121444758,0.06557718785552424,3.6744276776098146,3.774577408287418,2.8456743609683577
289,1.0,0.92,0.0,0.0,0.55,10,0.03999999999999998,5.369729085250442,3.3938219851409377,2.771826753520439,2.772816428352012,66.66666666666666,7.129387420163226,-3.7358671646501733,0.014132835349826678,3.752133330554444,3.793066777113614,2.7700844383044103
340,1.0,1.0,0.0,0.01,0.55,10,0.04,5.377785216846591,3.3813966879973067,2.754975740584503,2.7507447448778763,66.66666666666666,7.337060496076731,-3.843603963081563,-0.09360396308156282,3.7466007415138534,3.7761878385291574,2.7406942517762634
528,1.08,1.0,0.0,0.0,0.48,10,0.04550000000000004,5.380485718061707,3.402639842336432,2.78525747399398,2.7888688381684767,66.66666666666666,7.206891163039614,-3.6844228121444758,0.06557718785552424,3.6744276776098146,3.774577408287418,2.8456743609683577
530,1.08,1.0,0.0,0.0,0.62,10,0.04550000000000001,5.380485718061707,3.402639842336432,2.78525747399398,2.7888688381684767,66.66666666666666,7.206891163039614,-3.6844228121444758,0.06557718785552424,3.6744276776098146,3.774577408287418,2.8456743609683577
288,1.0,0.92,0.0,0.0,0.48,10,0.057499999999999996,5.387229085250442,3.3938219851409377,2.771826753520439,2.772816428352012,66.66666666666666,7.129387420163226,-3.7358671646501733,0.014132835349826678,3.752133330554444,3.793066777113614,2.7700844383044103
290,1.0,0.92,0.0,0.0,0.62,10,0.05749999999999997,5.387229085250442,3.3938219851409377,2.771826753520439,2.772816428352012,66.66666666666666,7.129387420163226,-3.7358671646501733,0.014132835349826678,3.752133330554444,3.793066777113614,2.7700844383044103
97,0.95,0.92,0.0,0.0,0.55,10,0.057499999999999996,5.390603712131993,3.3887518949556705,2.763882114686806,2.760787853556873,66.66666666666666,7.152550622524146,-3.7775422653959225,-0.027542265395922527,3.7911993716601287,3.7952524575145627,2.72175783172506
339,1.0,1.0,0.0,0.01,0.48,10,0.057500000000000016,5.395285216846591,3.3813966879973067,2.754975740584503,2.7507447448778763,66.66666666666666,7.337060496076731,-3.843603963081563,-0.09360396308156282,3.7466007415138534,3.7761878385291574,2.7406942517762634
341,1.0,1.0,0.0,0.01,0.62,10,0.05749999999999999,5.395285216846591,3.3813966879973067,2.754975740584503,2.7507447448778763,66.66666666666666,7.337060496076731,-3.843603963081563,-0.09360396308156282,3.7466007415138534,3.7761878385291574,2.7406942517762634
148,0.95,1.0,0.0,0.01,0.55,10,0.057500000000000016,5.407615321677829,3.379052438792543,2.748016098636686,2.739645939114206,66.66666666666666,7.357776348835557,-3.885375227600818,-0.135375227600818,3.7886447853676644,3.778463046049364,2.699166963646815
96,0.95,0.92,0.0,0.0,0.48,10,0.07500000000000001,5.408103712131993,3.3887518949556705,2.763882114686806,2.760787853556873,66.66666666666666,7.152550622524146,-3.7775422653959225,-0.027542265395922527,3.7911993716601287,3.7952524575145627,2.72175783172506
98,0.95,0.92,0.0,0.0,0.62,10,0.07499999999999998,5.408103712131993,3.3887518949556705,2.763882114686806,2.760787853556873,66.66666666666666,7.152550622524146,-3.7775422653959225,-0.027542265395922527,3.7911993716601287,3.7952524575145627,2.72175783172506
532,1.08,1.0,0.0,0.01,0.55,10,0.06800000000000002,5.409530726980209,3.4008819280200773,2.7723635317783,2.773407934136946,66.66666666666666,7.308248535077965,-3.7919981117016306,-0.04199811170163059,3.689648758784548,3.7732480377161464,2.823138924308991
147,0.95,1.0,0.0,0.01,0.48,10,0.07500000000000004,5.425115321677829,3.379052438792543,2.748016098636686,2.739645939114206,66.66666666666666,7.357776348835557,-3.885375227600818,-0.135375227600818,3.7886447853676644,3.778463046049364,2.699166963646815
149,0.95,1.0,0.0,0.01,0.62,10,0.07500000000000001,5.425115321677829,3.379052438792543,2.748016098636686,2.739645939114206,66.66666666666666,7.357776348835557,-3.885375227600818,-0.135375227600818,3.7886447853676644,3.778463046049364,2.699166963646815
481,1.08,0.92,0.0,0.0,0.55,10,0.068,5.425258699397781,3.417031198239556,2.803978110097966,2.809534096492192,66.66666666666666,7.097162201025398,-3.684347084161388,0.0656529158386121,3.699503113064108,3.790261926787217,2.86110743557234
531,1.08,1.0,0.0,0.01,0.48,10,0.08550000000000003,5.427030726980209,3.4008819280200773,2.7723635317783,2.773407934136946,66.66666666666666,7.308248535077965,-3.7919981117016306,-0.04199811170163059,3.689648758784548,3.7732480377161464,2.823138924308991
533,1.08,1.0,0.0,0.01,0.62,10,0.0855,5.427030726980209,3.4008819280200773,2.7723635317783,2.773407934136946,66.66666666666666,7.308248535077965,-3.7919981117016306,-0.04199811170163059,3.689648758784548,3.7732480377161464,2.823138924308991
