事件段,起始日期,结束日期,样本数,机制RMSE,机制MAE,机制平均误差,机制最大绝对误差,朴素RMSE,机制相对朴素RMSE改善率,平均剩余缺口占需求,平均缓冲供给,平均风险上行压力,平均缓冲折价,拐点错向天数,阶段RidgeRMSE,阶段RidgeMAE,阶段Ridge平均误差,阶段Ridge最大绝对误差,阶段Ridge相对机制RMSE改善率,全段RidgeRMSE,全段RidgeMAE,全段Ridge平均误差,全段Ridge最大绝对误差
初始冲击吸收,2026-03-02,2026-03-14,10,3.316800791584517,2.9514060979949774,0.1298124642277898,5.790802362121852,5.10132335771807,34.981561469410714,0.04271222476523134,803.3104407762846,20.019381752889597,0.0,2,3.316800791584517,2.9514060979949774,0.1298124642277898,5.790802362121852,0.0,3.856637701311456,3.3052647734025697,1.057356090700253,6.413027432057916
高位平台形成,2026-03-17,2026-03-31,11,3.729625009253997,2.9918178905179516,-0.7043757851636834,6.264048199484961,4.680810924304778,20.32096426095349,0.0015477109925015114,754.577369590029,34.22718323484475,5.216294835916998,2,3.5265926910886183,3.059050407900193,-0.6821823595489875,6.076466861828322,5.443772970784254,3.5265926910886183,3.059050407900193,-0.6821823595489875,6.076466861828322
中期再定价回落,2026-04-01,2026-04-17,12,3.7770575554723953,3.1537829811682982,0.06424597890129984,7.235787658476099,4.488289392036418,15.846389892460216,0.0,875.8198272269243,37.57877025395215,12.671185527789037,5,3.256273522203016,2.826697946168501,-0.001479522734648242,5.843755927085198,13.788088362986167,3.256273522203016,2.826697946168501,-0.001479522734648242,5.843755927085198
后期二次抬升,2026-04-20,2026-05-05,12,2.7550663120150225,2.1708687575565313,0.4228169515718487,5.371307035730979,3.675676808425897,25.046013139689627,0.0,889.3444293213032,37.98722649735037,3.2610067321834166,5,2.7550663120150225,2.1708687575565313,0.4228169515718487,5.371307035730979,0.0,2.857738388360208,2.3042489462749045,0.7165488840135966,5.418278030148528
