trade_date,事件段,actual_price,simulated_price,模型误差,绝对误差,误差方向,supply_gap,缓冲供给合计,风险溢价合计,折价合计,净机制压力
2026-04-06,中期再定价回落,109.7,102.28448609924406,-7.41551390075594,7.41551390075594,低估,0.0,876.5985052901422,38.21368194393432,10.468772364603964,27.744909579330354
2026-03-30,高位平台形成,108.89,102.14998460272656,-6.740015397273439,6.740015397273439,低估,0.0,876.5985052901422,37.117020256799634,6.700857187884564,30.41616306891507
2026-03-11,初始冲击吸收,90.93,96.85041756492828,5.920417564928272,5.920417564928272,高估,225.83361662160132,841.2550712193281,26.068236347264946,0.0,26.068236347264946
2026-04-02,中期再定价回落,109.24,103.3775006001283,-5.8624993998716945,5.8624993998716945,低估,0.0,876.5985052901422,37.67835697617764,7.55672308939609,30.12163388678155
2026-03-18,高位平台形成,109.65,104.3038432044129,-5.346156795587106,5.346156795587106,低估,28.99613107076584,802.1464162118181,32.425050746421974,0.0,32.425050746421974
2026-03-27,高位平台形成,106.29,100.95047805834344,-5.339521941656571,5.339521941656571,低估,0.0,876.5985052901422,36.37493888383742,8.030251095286497,28.344687788550928
2026-04-10,中期再定价回落,94.26,99.2276883562836,4.967688356283588,4.967688356283588,高估,0.0,876.5985052901422,38.56564308161826,13.442053360426375,25.123589721191887
2026-03-06,初始冲击吸收,93.32,88.6459325424918,-4.674067457508187,4.674067457508187,低估,849.6172032053564,386.69039198716774,18.63124489194571,0.0,18.63124489194571
2026-04-27,后期二次抬升,101.97,106.63468780885972,4.664687808859725,4.664687808859725,高估,0.0,876.5985052901422,38.87702434942915,3.302095848291903,35.574928501137244
2026-03-23,高位平台形成,96.07,100.61189455535556,4.541894555355569,4.541894555355569,高估,0.0,845.4092905234055,35.00449709645309,9.10273667313253,25.901760423320564
