day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,total_buffer_supply,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,inventory_remaining_ratio,demand_decline,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,inventory_relief_discount,spr_credibility_discount,spr_credibility,asymmetric_adjustment_speed,literature_challenger_note
0,0,calendar,2026-03-02,78.07,77.23048932595617,9127.040530903301,9979.52380952381,1452.483278620508,852.4832786205079,0.0,0.0,600.0,600.0,0.4130856505073493,0.4130856505073493,57400.0,0.9896551724137931,20.476190476190474,-0.05,1.1718691044054055,3.272279014263181,0.0,0.0,5.662141710083878,0.0,0.0,0.0,0.0,0.0,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
1,1,calendar,2026-03-03,81.96,80.77764470982912,9127.040530903301,9931.075422512242,1404.0348916089406,804.0348916089406,0.0,0.0,600.0,600.0,0.4273398072838743,0.014254156776524973,56800.0,0.9793103448275862,40.95238095238095,-0.052394667881175305,1.1524342211374288,2.9452506887683563,2.8733297638332425,1.170578768521208,5.021869198262025,0.0,0.0,0.0,0.0,0.0,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
2,2,calendar,2026-03-04,82.58,83.95722200249232,9127.040530903301,9884.82110378902,1357.7805728857184,757.7805728857184,0.0,0.0,600.0,600.0,0.44189761731883376,0.014557810034959484,56200.0,0.9689655172413794,61.42857142857142,-0.05478933576235061,1.1351970259818482,2.6544948934615027,5.342742067541697,2.2778988387050627,4.453998422458998,0.0,0.0,0.0,0.0,0.0,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
3,3,calendar,2026-03-05,84.31,86.64126219579063,9227.040530903301,9840.07319422184,1313.0326633185396,613.0326633185396,100.0,0.0,600.0,700.0,0.5331169738236596,0.09121935650482588,55600.0,0.9586206896551724,81.9047619047619,-0.05718400364352591,1.1199090053266816,2.0575174106824363,7.463450832588452,3.325378744205985,3.9503422259848646,0.0,0.0,0.0,0.0,0.013594654566291497,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
4,4,calendar,2026-03-06,93.32,88.94202859805333,9327.040530903301,9797.764156316083,1270.723625412782,470.723625412782,200.0,0.0,600.0,800.0,0.6295625453096679,0.0964455714860083,55000.0,0.9482758620689655,102.38095238095238,-0.05957867152470121,1.1063497473706605,1.5163855704093132,9.28312853194167,4.316252279304147,3.5036392522527247,0.0,0.0,0.0,0.0,0.051791213406290906,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
7,5,calendar,2026-03-09,89.79,92.29542330460937,9491.759226373444,9707.075854005168,1180.035323101867,215.31662763172426,500.0,0.0,464.7186954701435,964.7186954701435,0.8175337437647735,0.18797119845510557,54535.28130452985,0.9402634707677561,163.8095238095238,-0.06676267516822712,1.0741977010241448,0.6189824006736155,13.320243333829461,6.979007418654406,2.4444061613899355,0.0,0.0,0.0,0.0,0.2810495287766904,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
8,6,calendar,2026-03-10,91.4,94.80138294609966,9489.050345882722,9656.779196240457,1129.738665337156,167.7288503577347,600.0,0.0,362.00981497942144,962.0098149794214,0.851533053170595,0.03399930940582152,54173.27148955043,0.9340219222336281,184.28571428571428,-0.06915734304940244,1.0658074573957435,0.4654831159649681,14.294921156616425,7.772436919767904,2.167993780174072,0.0,0.0,0.0,0.0,0.38673288334797734,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
9,7,calendar,2026-03-11,90.93,96.72080236212186,9490.118742755818,9612.009929685928,1084.9693987826267,121.89118693011005,700.0,0.0,263.07821185251686,963.0782118525169,0.8876547236568368,0.03612167048624182,53910.193277697916,0.9294860909947916,204.76190476190476,-0.07155201093057773,1.0583659788526785,0.32695269729982523,15.125321216742377,8.52298906925619,1.922837990312069,0.0,0.0,0.0,0.0,0.5034146962085905,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
10,8,calendar,2026-03-12,101.75,98.29792410509914,9462.045135541406,9570.929067782205,1043.8885368789033,108.88393224079846,700.0,0.0,235.004604638105,935.004604638105,0.8956939094605371,0.008039185803700222,53675.18867305981,0.9254342874665485,225.23809523809524,-0.07394667881175304,1.051765979453442,0.28260483371733874,15.831193884050707,9.232980981972961,1.705404310103922,0.0,0.0,0.0,0.0,0.5506710358827784,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
11,9,calendar,2026-03-13,103.89,99.63394509222623,9435.33361172596,9531.841379024594,1004.8008481212928,96.50776729863355,700.0,0.0,208.29308082265942,908.2930808226595,0.9039533381375255,0.008259428676988478,53466.89559223715,0.9218430274523647,245.7142857142857,-0.07634134669292833,1.0459123051039383,0.24262576287504306,16.429591792074685,9.904604554654613,1.5125579354966934,0.0,0.0,0.0,0.0,0.5934303402594009,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
14,10,calendar,2026-03-16,101.02,101.49472884771474,9371.711090905399,9438.740839010821,911.70030810752,67.02974810542219,700.0,0.0,144.67056000209703,844.6705600020971,0.9264783092543193,0.022524971116793746,53322.22503223506,0.9193487074523287,307.14285714285717,-0.08352535033645425,1.032031928346368,0.15402234944955775,17.717389603785737,11.709445491989456,1.0552758634069166,0.0,0.0,0.0,0.0,0.6988057880877978,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
15,11,calendar,2026-03-17,103.5,102.85008405019609,9342.232693899714,9395.604310552448,868.5637796491465,53.37161665273379,700.0,0.0,115.19216299641212,815.1921629964121,0.9385518739058015,0.012073564651482238,53207.03286923865,0.9173626356765284,327.6190476190476,-0.08592001821762955,1.0284097718778533,0.11922036852117442,18.014346683697646,12.247239607316272,0.9359457296299379,0.0,0.0,0.0,0.0,0.7274682069659875,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
16,12,calendar,2026-03-18,109.65,103.87468301155812,9315.270094613383,9356.149216328626,829.1086854253244,40.879121715242945,700.0,0.0,88.22956371008128,788.2295637100813,0.9506950989250914,0.012143225019289883,53118.80330552856,0.9158414363022166,348.0952380952381,-0.08831468609880486,1.0251972072809405,0.08883888295878715,18.259898890836844,12.755971043032009,0.830109395266943,0.0,0.0,0.0,0.0,0.7534030360583935,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
17,13,calendar,2026-03-19,103.07,102.9685601739979,9289.925439655157,9319.061703406456,792.021172503155,29.13626375129934,700.0,0.0,62.88490875185509,762.884908751855,0.9632127716242537,0.012517672699162263,53055.91839677671,0.9147572137375295,368.57142857142856,-0.09070935397998016,1.0223479180856645,0.06164761057542407,18.461110536862133,13.237210361777846,0.7362409873731727,3.829303406301628,0.0,0.0,0.0,0.7768698398515702,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
18,14,calendar,2026-03-20,104.41,101.7005437911415,9275.786552873637,9298.37189140945,771.3313605061485,22.585338535813207,700.0,0.0,48.74602197033553,748.7460219703355,0.9707190194873025,0.007506247863048876,53007.172374806374,0.9139167650828686,389.04761904761904,-0.09310402186115546,1.0198208252682568,0.04655781874497619,18.624080897932437,13.69244325215571,0.6529871780500855,6.061283752469484,0.0,0.0,0.0,0.7981034820053446,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
21,15,calendar,2026-03-23,96.07,100.74600096699177,9239.810238931832,9245.726786932473,718.686256029172,5.916548000641342,700.0,0.0,12.769708028530014,712.76970802853,0.9917675509292029,0.02104853144190033,52994.402666777845,0.9136965977030663,430.0,-0.10028802550468137,1.0138285205528532,0.011322798371117302,18.932705905109895,14.915781726257602,0.4555736953534739,7.912756028086651,0.0,0.0,0.0,0.8504313807773649,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
22,16,calendar,2026-03-24,95.96,100.4675334152173,9241.008359518672,9247.480028900849,720.4394979975477,6.471669382177424,700.0,0.0,13.967828615370513,713.9678286153705,0.991017053617736,-0.0007504973114669244,52980.43483816247,0.9134557730717667,430.0,-0.10268269338585667,1.012264797487889,0.012096327401143388,18.988655272084365,15.280303728621087,0.4040576208397525,7.759241413314677,0.0,0.0,0.0,0.8646647167633873,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
23,17,calendar,2026-03-25,98.06,100.59209335219721,9242.158564622221,9242.896844203184,715.8563132998825,0.7382795809626259,700.0,13.524602094378793,1.5934316245394375,715.1180337189182,0.9989686763010289,0.00795162268329297,52978.84140653793,0.913428300112723,430.0,-0.10507736126703199,1.0108778995442058,0.0013484851285647493,19.02641671394038,15.625126768381675,0.3583669615340888,7.469220665236011,0.0,0.0,0.0,0.8775435717470181,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
24,18,calendar,2026-03-26,100.1,100.9556386414278,9254.089735092059,9234.281356328986,707.2408254256843,0.0,700.0,27.049204188757585,0.0,727.0492041887576,1.0280079685037282,0.029039292202699296,52978.84140653793,0.913428300112723,430.0,-0.10747202914820729,1.0096478314143125,0.0,19.048516486928417,15.951315387940422,0.31784298202881484,7.1208693723552825,0.0,0.0,0.0,0.8891968416376661,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
