消融实验,机制层级,说明,RMSE,MAE,峰值误差,末日误差,高价平台RMSE,低价回落RMSE,前期RMSE,中期RMSE,后期RMSE,模拟峰值,模拟末日价格,RMSE相对完整模型变化,后期RMSE相对完整模型变化,低价回落RMSE相对完整模型变化
完整统一模型,统一模型,题面物理机制 + 市场价格形成机制,3.3800142208570323,2.756404510610001,-3.736033303113871,0.01396669688612917,2.703328358256369,3.1995872717351634,3.1656830713336013,4.2124893662403355,2.818804597088947,110.32396669688613,110.32396669688613,0.0,0.0,0.0
去除SPR释放,题面物理层,关闭战略石油储备释放，检查政策缓冲贡献,5.189359945443424,4.232712032876078,-4.530574885750724,-5.98051007882934,6.387196884568705,5.898501565267597,3.281658300948079,6.429432974053287,5.078274900187355,109.52942511424928,104.32948992117066,1.8093457245863913,2.2594703030984085,2.6989142935324333
去除商业库存缓冲,题面物理层,关闭商业库存吸收缺口能力,4.075083238524362,3.1530236917418457,-3.908058574234019,-0.15805857423401903,2.8966732620517597,4.393321830310552,3.5743839653335963,5.840579213350134,2.6347351066788005,110.15194142576598,110.15194142576598,0.69506901766733,-0.1840694904101463,1.1937345585753887
去除绕道运输,题面物理层,关闭绕道运输恢复能力,3.375149484509455,2.7612595121198016,-3.737192666874165,0.01280733312583493,2.709026001933294,3.215447489756413,3.1656830713336013,4.186558487275824,2.831761323303736,110.32280733312584,110.32280733312584,-0.004864736347577114,0.01295672621478916,0.015860218021249484
去除需求收缩,题面需求层,关闭题面给出的高价需求下降,4.5118829299797385,3.5328053790030367,-4.67378476497754,-1.2650955234988288,4.200845018761075,5.1715855276566165,3.1787480674997615,6.337776794790595,3.5384513060133744,109.38621523502246,109.04490447650117,1.1318687091227062,0.7196467089244276,1.971998255921453
去除恐慌溢价,题面行为层,关闭冲突初期恐慌放大项,3.6666072493585156,2.9738720852651332,-3.739383368920187,0.010616631079813033,2.7076325013276836,3.3904368021718234,4.119126422535748,4.363810149809365,2.804634154097756,110.32061663107982,110.32061663107982,0.28659302850148327,-0.014170442991190857,0.19084953043665998
去除风险与不确定性溢价,市场价格形成层,关闭地缘风险重估和中期不确定性平台,30.33985959255637,28.44859191360802,-34.513348092060596,-37.452981479561316,39.626077405952614,25.573491990502447,16.442632015577814,30.362886333779603,35.498286967098885,79.5466519079394,72.85701852043869,26.959845371699338,32.679482370009936,22.373904718767285
去除缓冲确认折价,市场价格形成层,关闭市场确认缓冲机制生效后的第一轮降温,4.545631940459864,3.544768774188562,-3.403208202262462,0.3467917977375379,2.346579014614852,5.3810764768894055,3.1656830713336013,6.220715245113753,3.770109202115848,110.65679179773754,110.65679179773754,1.1656177196028317,0.9513046050269014,2.181489205154242
去除预期修复折价,市场价格形成层,关闭中后期对运输与政策修复的再定价,7.132026353999597,5.416686428170513,-3.312234831154683,0.437765168845317,1.9029418131225673,9.511774948852922,3.1656830713336013,3.789463976908785,9.828406915450548,110.74776516884532,110.74776516884532,3.752012133142565,7.009602318361601,6.312187677117759
去除全部市场修正,市场价格形成层,保留题面物理层，关闭风险、不确定性和两类折价,27.015988636576182,25.248815495438347,-34.513348092060596,-37.04865016657648,38.694074487539794,18.92448979806856,16.442632015577814,29.931822573464768,29.323296339881143,79.5466519079394,73.26134983342352,23.63597441571915,26.504491742792197,15.724902526333397
