alpha,验证RMSE,验证MAE,验证样本数
1000.0,1.4617612268829843,1.091382211509071,558
300.0,1.4627601665540202,1.0951242460721085,558
100.0,1.4658916323186626,1.0980605470667475,558
30.0,1.4684755647373495,1.1000603918977105,558
10.0,1.4698287974734963,1.1007499477507765,558
3.0,1.47047462658297,1.1010723977898242,558
1.0,1.4706840787317903,1.1011686929856042,558
0.3,1.4707604590698988,1.1012033050879335,558
0.1,1.4707825897380553,1.1012139933503602,558
