模型,RMSE,MAE,MAPE,方向命中率,最大绝对误差,说明,相对本文RMSE差值,本文相对该基准改善率
本文短期动态模型,3.4663973075701744,2.8686719745913876,2.8757291823609052,66.66666666666666,6.800062238536327,阶段4综合最优参数；递推过程中不喂入当日真实价格,0.0,0.0
朴素上一日基准,4.466514544240624,3.5699999999999994,3.540592156836684,46.666666666666664,10.819999999999993,Random Walk：预测今日价格等于上一交易日真实价格,1.0001172366704498,22.391446994392023
三日均值基准,5.179639603787195,4.158043478260869,4.1481752671396075,44.44444444444444,11.043333333333337,只使用过去最多三日真实价格均值,1.7132422962170208,33.07647688391969
漂移随机游走基准,4.838705842919107,3.9369057971014487,3.908239058761814,46.666666666666664,10.324000000000012,上一日价格加最近历史平均日变化,1.3723085353489326,28.361065538983926
"滚动ARIMA(1,1,0)基准",4.526273722498156,3.6661685470837346,3.6337836476427086,46.666666666666664,10.750165401396416,每一步只用此前真实价格滚动拟合,1.0598764149279818,23.416091909329143
