窗口,样本数,shortage_pressure_均值,shortage_pressure_末值,blockade_risk_premium_均值,blockade_risk_premium_末值,uncertainty_premium_均值,uncertainty_premium_末值,panic_premium_均值,panic_premium_末值,buffer_confirmation_discount_均值,buffer_confirmation_discount_末值,expectation_relief_discount_均值,expectation_relief_discount_末值,上行压力合计_均值,上行压力合计_末值,下行折价合计_均值,下行折价合计_末值,净压力_均值,净压力_末值,supply_gap_均值,supply_gap_末值,buffer_coverage_ratio_均值,buffer_coverage_ratio_末值,模型误差_均值,模型误差_末值,RMSE,MAE
全窗口,46,0.32342676150579047,0.0,16.37929094153002,16.774386194278705,15.351703994124625,21.042365365150857,0.861250638414575,0.0026157673434033,2.0437515975991505,0.2775722198421113,3.3598473222868592,0.1951337313797746,32.915672335575,37.81936732677296,5.403598919886009,0.47270595122188586,27.512073415689002,37.34666137555108,96.40243439195179,0.0,1.1763258725679748,1.5,-0.0028374995897843414,0.01396669688611496,3.3800142208570305,2.756404510609999
初始冲击吸收,10,1.4382576388115618,0.2426257628750436,9.996392257921872,16.429591792074685,5.350212757504247,9.904604554654613,3.2345190986519192,1.5125579354966938,0.0,0.0,0.0,0.0,20.019381752889597,28.089380045101038,0.0,0.0,20.019381752889597,28.089380045101038,420.83833963054894,96.50776729863357,0.6801371362433652,0.9039533381375257,0.1298124642277898,-4.256054907773759,3.316800791584517,2.9514060979949774
高位平台形成,11,0.031002935609198902,0.0,18.765760560543242,18.990811548953328,14.944589023058263,17.336143640746172,0.4858307156340507,0.1744359269882381,5.216294835916998,5.051214666491493,0.0,0.0,34.22718323484475,36.50139111668774,5.216294835916998,5.051214666491493,29.010888398927758,31.45017645019625,14.463530692624607,0.0,1.0266504978185886,1.227194555612246,-0.7043757851636834,0.009665203614403595,3.729625009253997,2.9918178905179516
中期再定价回落,12,0.0,0.0,18.460972632726154,18.0033761056517,19.053050809151433,19.979159720344008,0.06474681207457175,0.0226816787171638,2.468442348996248,1.2435284945646148,10.20274317879279,17.55775322192811,37.57877025395215,38.005217504712874,12.671185527789037,18.801281716492724,24.907584726163112,19.20393578822015,0.0,0.0,1.433511566386243,1.384481053188447,0.06424597890129984,1.1415076283437173,3.7770575554723953,3.1537829811682982
后期二次抬升,12,0.0,0.0,17.31758611405723,16.774386194278705,20.661643474936895,21.042365365150857,0.007996908356244375,0.0026157673434033,0.5843351755432462,0.2775722198421113,2.6766715566401706,0.1951337313797746,37.98722649735037,37.81936732677296,3.2610067321834166,0.47270595122188586,34.72621976516695,37.34666137555108,0.0,0.0,1.49065384948329,1.5,0.4228169515718487,0.01396669688611496,2.7550663120150225,2.1708687575565313
