模型,RMSE,MAE,MAPE,方向命中率,最大绝对误差,平均误差,说明,相对机制主模型RMSE改善率,相对朴素基准RMSE改善率
机制主模型,3.3800142208570305,2.756404510609999,2.7553458276384384,66.66666666666666,7.235787658476099,-0.0028374995897843414,当前短期冲击机制递推主模型,0.0,24.145770455239422
朴素上一日基准,4.4559337576061315,3.595434782608695,3.6050564998732026,46.666666666666664,10.819999999999993,-0.7436956521739139,今日价格等于上一交易日收盘价,-31.83180502939697,0.0
纯Ridge收益率,4.536342566127742,3.6937550507735675,3.6905673995263175,48.888888888888886,10.389682041656528,-0.3944193502850519,只使用冲突前历史价格特征训练的一日收益率模型,-34.21075385231708,-1.8045333008902036
机制+全段Ridge,3.2939758876572265,2.7794087873289195,2.7886665118041067,71.11111111111111,6.455722507933245,0.34643880229907764,全事件窗口叠加Ridge收益率修正,2.545502106733394,26.076641466347684
机制+阶段Ridge,3.18145834275414,2.682043330677021,2.6842046042233223,73.33333333333333,5.815558374620508,0.02108043758660348,仅在高位平台和中期再定价窗口启用Ridge修正,5.874409547677736,28.60175855793422
