时间轴口径,分段,样本数,RMSE,MAE,平均偏差,最大绝对误差,实际最低价,实际最高价
日历日口径,全窗口,46,3.439811749485181,2.8548897149407795,-0.01978561070205224,7.429552950754257,78.07,114.06
日历日口径,前期冲击_0到14天,11,3.140100083755209,2.7232275643984925,-0.10377168390932794,5.907386424616234,78.07,103.89
日历日口径,中期平台_15到35天,14,4.391530584063217,3.71983517481338,-1.0783379004498355,7.429552950754257,95.96,109.7
日历日口径,后期再定价_36天以后,21,2.810066411861871,2.347225296738339,0.7299086208098048,5.235821696922699,92.42,114.06
日历日口径,高价平台_actual大于等于110,4,2.8321250235869257,2.340530658985049,-2.285367946088112,3.905890041304758,110.31,114.06
日历日口径,低价回落_actual小于100,21,3.376959600911873,2.9417051661242652,1.8389926883750007,5.907386424616234,78.07,99.06
交易日序号口径,全窗口,46,7.0752559339384,5.631228203802508,-1.2586676242694748,17.974225288339994,78.07,114.06
交易日序号口径,前期冲击_0到14天,15,3.4932780151193596,2.721745246097987,-1.5593646269115122,7.6912275746300764,78.07,109.65
交易日序号口径,中期平台_15到35天,21,6.710234956510922,6.027871377347107,2.719846592687292,10.501588496152465,92.42,109.7
交易日序号口径,后期再定价_36天以后,10,10.835627136657378,9.162501975915628,-9.162501975915628,17.974225288339994,101.55,114.06
交易日序号口径,高价平台_actual大于等于110,4,15.222178577704948,15.120966756266967,-15.120966756266967,17.974225288339994,110.31,114.06
交易日序号口径,低价回落_actual小于100,21,5.978440725324143,5.155263911038496,4.316905450564625,10.501588496152465,78.07,99.06
