参数,参数中文名,参数值,最优参数值,相对最优比例,RMSE,MAE,高价平台RMSE,低价回落RMSE,峰值误差,末日误差,综合得分,相对最优RMSE变化
pressure_scale,价格传导系数,0.02,0.0233869693105043,0.8551770746548577,3.372574351663087,2.7322096749236002,2.853632367622974,3.1442978441590514,-3.5727116902974387,0.17728830970256126,6.513645903674543,0.004825838881037825
pressure_scale,价格传导系数,0.020433460837652316,0.0233869693105043,0.8737113632109053,3.3716783906224723,2.7329791085450186,2.85363236757235,3.1436235362071314,-3.5727116902875906,0.1772883097124094,6.512177576244488,0.0039298778404233126
pressure_scale,价格传导系数,0.020866921675304632,0.0233869693105043,0.8922456517669528,3.3708642033119864,2.733747604342108,2.853632367521772,3.143136109614293,-3.5727116902777425,0.1772883097222575,6.510867285049857,0.0031156905299374316
pressure_scale,价格传导系数,0.021300382512956947,0.0233869693105043,0.9107799403230004,3.370131760481331,2.7345151636184655,2.853632367471233,3.142835453625176,-3.5727116902679086,0.17728830973209142,6.509715059967494,0.0023832476992819984
pressure_scale,价格传导系数,0.021733843350609267,0.0233869693105043,0.9293142288790481,3.3694810270909366,2.7352817876746043,2.8536323674207296,3.1427214245437516,-3.572711690258089,0.17728830974191112,6.508720905398565,0.001732514308887545
pressure_scale,价格传导系数,0.022167304188261582,0.0233869693105043,0.9478485174350957,3.3689119623135904,2.7360474778079618,2.8536323673702633,3.142793845801613,-3.572711690248269,0.17728830975173082,6.507884800149572,0.0011634495315413496
pressure_scale,价格传导系数,0.022600765025913898,0.0233869693105043,0.9663828059911432,3.3684245195381464,2.7368122353129034,2.8536323673198405,3.143052508055532,-3.5727116902384637,0.1772883097615363,6.507206697343047,0.0006760067560973582
pressure_scale,价格传导系数,0.023034225863566214,0.0233869693105043,0.9849170945471908,3.368018646375372,2.737576061480745,2.8536323672694457,3.143497169314017,-3.572711690228644,0.177288309771356,6.506686524358459,0.0002701335933230631
pressure_scale,价格传导系数,0.02346768670121853,0.0233869693105043,1.0034513831032383,3.3676942846658764,2.7383389575997517,2.853632367219095,3.144127555092731,-3.5727116902188527,0.1772883097811473,6.506324182803553,-5.422811617261658e-05
pressure_scale,价格传导系数,0.02390114753887085,0.0233869693105043,1.021985671659286,3.367451370490128,2.7391009249551526,2.853632367168774,3.144943358598383,-3.5727116902090614,0.17728830979093857,6.506119548516337,-0.0002971422919211264
pressure_scale,价格传导系数,0.024334608376523164,0.0233869693105043,1.0405199602153337,3.3672898341805877,2.73986196482915,2.8536323671184998,3.145944240940778,-3.5727116901992844,0.17728830980071564,6.5060724715978795,-0.00045867860146131534
pressure_scale,价格传导系数,0.02476806921417548,0.0233869693105043,1.0590542487713812,3.3672096003358933,2.7406220785009325,2.8536323670682653,3.1471298313726384,-3.5727116901895073,0.1772883098104927,6.506182776475858,-0.0005389124461556705
pressure_scale,价格传导系数,0.025201530051827795,0.0233869693105043,1.0775885373274288,3.3672105878371386,2.741381267246681,2.8536323670180583,3.148499727556682,-3.5727116901797444,0.17728830982025556,6.506450261998802,-0.0005379249449104506
