模型,RMSE,MAE,MAPE,方向命中率,最大绝对误差,平均误差,说明,初始冲击吸收_RMSE,高位平台形成_RMSE,中期再定价回落_RMSE,后期二次抬升_RMSE,相对机制主模型RMSE改善率,相对阶段Ridge_RMSE改善率,相对朴素基准RMSE改善率
机制主模型,3.3800142208570305,2.756404510609999,2.7553458276384384,66.66666666666666,7.235787658476099,-0.0028374995897843414,当前主机制路径,3.316800791584517,3.729625009253997,3.7770575554723953,2.7550663120150225,0.0,-6.241033410200301,24.145770455239422
阶段Ridge增强,3.18145834275414,2.682043330677021,2.6842046042233227,73.33333333333333,5.815558374620508,0.0210804375866041,只在薄弱窗口启用Ridge收益率修正,3.316800791584517,3.438999275666465,3.343919200034184,2.7550663120150225,5.874409547677736,0.0,28.60175855793422
混合增强候选,3.18145834275414,2.682043330677021,2.6842046042233227,73.33333333333333,5.815558374620508,0.0210804375866041,阶段Ridge或机制路径叠加滞后误差反馈,3.316800791584517,3.438999275666465,3.343919200034184,2.7550663120150225,5.874409547677736,0.0,28.60175855793422
朴素上一日基准,4.4559337576061315,3.595434782608695,3.6050564998732026,46.666666666666664,10.819999999999993,-0.7436956521739139,今日价格等于上一交易日收盘价,5.10132335771807,4.680810924304778,4.488289392036418,3.675676808425897,-31.83180502939697,-40.05947202655175,0.0
