day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,inventory_release_pressure,total_buffer_supply,observed_buffer_coverage_ratio,perceived_buffer_coverage_ratio,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,demand_decline,observed_demand_decline,price_elasticity_demand_loss,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount
0,0,calendar,2026-03-02,78.07,76.38835985714285,8850.0,9979.52380952381,1579.5238095238092,1129.5238095238092,0.0,0.0,450.0,0.6175395968760446,450.0,0.28489599035272845,0.09971359662345496,0.09971359662345496,0.09971359662345496,57550.0,20.476190476190474,20.476190476190474,0.0,-0.05,1.16,7.442319428571424,0.0,0.0,5.27112,0.0,0.0
1,1,calendar,2026-03-03,81.96,79.56141167570799,8848.952586206897,9944.653114966348,1544.6531149663479,1095.7005287594511,0.0,0.0,448.95258620689657,0.6129395270449005,448.95258620689657,0.29064945511515544,0.16654114709555012,0.16654114709555012,0.06682755047209517,57101.0474137931,33.20149413938919,40.95238095238095,22.145390894262164,-0.05216666666666667,1.1476986154218618,6.919611387165954,3.416851097986185,0.7912614562671408,4.865857035765523,0.0,0.0
2,2,calendar,2026-03-04,82.58,82.6502384563504,8847.90761035969,9909.25527006279,1509.2552700627894,1061.3476597030985,0.0,0.0,447.9076103596908,0.6184342590120779,447.9076103596908,0.2967739250239998,0.2121226193705075,0.2121226193705075,0.045581472274957374,56653.13980343341,45.642947616227005,61.42857142857142,45.10178232098406,-0.05433333333333334,1.1363430062345938,6.435380608912035,6.353379389138676,1.5397627232039974,4.491752168895576,0.0,0.0
3,3,calendar,2026-03-05,84.31,85.57818622788602,8846.865066783854,9873.70533774621,1473.7053377462107,1026.840270962357,0.0,0.0,446.8650667838536,0.6405034933588389,446.8650667838536,0.3032255196057443,0.24400863445284038,0.24400863445284038,0.03188601508233288,56206.27473664956,58.00250787066995,81.9047619047619,68.29215438311985,-0.0565,1.1258604577706486,5.987387487914932,8.875243104040656,2.247814584151628,4.146409851025131,0.0,0.0
4,4,calendar,2026-03-06,93.32,88.30144906903438,8845.824949818063,9838.36525747219,1438.3652574721891,992.5403076541261,0.0,0.0,445.8249498180636,0.6775983410433363,445.8249498180636,0.3099525294441309,0.26708899769979205,0.26708899769979205,0.023080363246951674,55760.449786831494,70.47506537879781,102.38095238095238,91.15967714901308,-0.05866666666666667,1.1161838459317905,5.573649573666707,11.039132478409337,2.9176029464920963,3.8276187122998735,0.0,0.0
7,5,calendar,2026-03-09,89.79,91.43070998427316,8909.07296809989,9757.283443486793,1357.2834434867927,848.2104753869025,64.28571428571428,0.0,444.7872538141767,0.6984217612534647,509.072968099891,0.37506754432376205,0.3048814890181816,0.3048814890181816,0.03779249131838952,55315.66253301732,121.32112158446301,163.8095238095238,121.39543492874509,-0.06516666666666666,1.0913934502158105,4.288061893562733,15.839911114107604,4.717512158844197,3.010911520634765,0.0,0.0
8,6,calendar,2026-03-10,91.4,94.02955007840501,8972.323401708625,9719.167338628928,1319.1673386289276,746.8439369203024,128.57142857142856,0.0,443.7519731371955,0.7387471813056954,572.323401708624,0.43385201024114695,0.35002117144621947,0.35002117144621947,0.0451396824280379,54871.910559880125,132.29889662436787,184.28571428571428,148.53376474670404,-0.06733333333333333,1.0843667878468877,3.654118823743203,16.998959765916194,5.2538367526086045,2.7794216422217937,0.0,0.0
9,7,calendar,2026-03-11,90.93,96.15419662042258,9035.576245022381,9683.15307192298,1283.1530719229795,647.5768269005985,192.85714285714283,0.0,442.7191021652382,0.7538517256348936,635.576245022381,0.49532379178259967,0.40087708856395254,0.40087708856395254,0.050855917117733074,54429.191457714885,144.40843066915048,204.76190476190476,172.43849740786936,-0.0695,1.0778803609535954,3.06965392429162,17.9864389591933,5.761178080487621,2.565729551435726,0.0,0.0
10,8,calendar,2026-03-12,101.75,97.89429586133461,9098.831492432366,9648.99848548378,1248.9984854837803,550.1669930514145,257.1428571428571,0.0,441.68863528950874,0.7412211944272706,698.8314924323658,0.559513482645805,0.4563998264926009,0.4563998264926009,0.05552273792864837,53987.50282242538,157.5193310114125,225.23809523809524,193.48218350480784,-0.07166666666666667,1.0718926342587554,2.5290664887324166,18.825835059386584,6.241102413562509,2.368466889337569,0.0,0.0
11,9,calendar,2026-03-13,103.89,99.32083001748765,9162.089138342837,9616.327999044668,1216.327999044668,454.2388607018311,321.42857142857144,0.0,440.6605669142659,0.7081422086771572,762.0891383428374,0.6265490385335203,0.5159520507069227,0.5159520507069227,0.059552224214321825,53546.84225551111,171.42936212295263,245.7142857142857,212.24263883238018,-0.07383333333333333,1.066365265869053,2.0268178979311244,19.537426389696215,6.695091380793463,2.186370501423017,0.0,0.0
