rmse,mae,peak_price_error,final_price_error,simulated_peak_price,actual_peak_price,simulated_final_price,actual_final_price,pressure_scale,risk_weight,uncertainty_floor,inventory_response,adjustment_speed,buffer_relief_strength,buffer_relief_decay_days,relief_discount_strength,relief_start_day,relief_peak_day,relief_decay_days,selection_score
7.149787693691503,5.600640130772645,-5.604664778364196,-2.6193080776635185,108.4553352216358,114.06,107.69069192233648,110.31,0.045,2.2,0.2,0.55,0.25,0.0,10,0.0,35,46,16,9.187478476546573
8.544453023650078,6.544110201552905,-3.0237279456892594,0.16819334525247598,111.03627205431074,114.06,110.47819334525248,110.31,0.045,2.2,0.24,0.55,0.25,0.0,10,0.0,35,46,16,9.208066283626298
7.186179569946121,5.6224924784198205,-5.558557865023815,-2.610003359193655,108.50144213497619,114.06,107.69999664080635,110.31,0.045,2.2,0.2,0.4,0.25,0.0,10,0.0,35,46,16,9.211392318668663
7.2295709104457995,5.6784533350584665,-5.50751399877592,-2.60075620304994,108.55248600122408,114.06,107.70924379695006,110.31,0.045,2.2,0.2,0.25,0.25,0.0,10,0.0,35,46,16,9.241338381268463
7.224927481418524,5.694948255252048,-5.5285504217162895,-2.6043771214790894,108.53144957828371,114.06,107.70562287852091,110.31,0.06,2.2,0.2,0.55,0.25,0.0,10,0.0,35,46,16,9.242169558279462
8.590015528001949,6.592444709776579,-2.9942792463106116,0.17168336414972885,111.06572075368939,114.06,110.48168336414973,110.31,0.045,2.2,0.24,0.4,0.25,0.0,10,0.0,35,46,16,9.248960554716476
7.280637381547019,5.7361763188667165,-5.45586481874021,-2.5921295359689083,108.60413518125979,114.06,107.7178704640311,110.31,0.06,2.2,0.2,0.4,0.25,0.0,10,0.0,35,46,16,9.279055682884179
8.65071617831633,6.684110412297262,-2.963002800394591,0.175141675690071,111.09699719960541,114.06,110.48514167569007,110.31,0.045,2.2,0.24,0.25,0.25,0.0,10,0.0,35,46,16,9.304616324886773
8.649283275047129,6.696124611218253,-2.976139996319631,0.17379347814333812,111.08386000368037,114.06,110.48379347814334,110.31,0.06,2.2,0.24,0.55,0.25,0.0,10,0.0,35,46,16,9.305338991661223
7.356212726432224,5.802338697892731,-5.440294392858661,-2.5896188605132267,108.61970560714134,114.06,107.72038113948678,110.31,0.075,2.2,0.2,0.55,0.25,0.0,10,0.0,35,46,16,9.350638206183586
7.375600432018256,5.824770016387937,-5.378982022942466,-2.5799869885649542,108.68101797705754,114.06,107.73001301143505,110.31,0.06,2.2,0.2,0.25,0.25,0.0,10,0.0,35,46,16,9.354392282604483
8.715296506720213,6.771024120957464,-2.933109615377404,0.17834849499020322,111.1268903846226,114.06,110.4883484949902,110.31,0.06,2.2,0.24,0.4,0.25,0.0,10,0.0,35,46,16,9.364340403042265
7.335344592882528,5.8072905654425355,-5.528125751872196,-2.7045388709914135,108.5318742481278,114.06,107.60546112900859,110.31,0.045,2.2,0.2,0.55,0.35,0.0,10,0.0,35,46,16,9.387558348103962
7.433650385671183,5.8728918946584425,-5.346825945395139,-2.5745037960400055,108.71317405460486,114.06,107.73549620396,110.31,0.075,2.2,0.2,0.4,0.25,0.0,10,0.0,35,46,16,9.404091903364213
7.377751567716369,5.84674037696599,-5.481173017420332,-2.696562732026038,108.57882698257967,114.06,107.61343726797396,110.31,0.045,2.2,0.2,0.4,0.35,0.0,10,0.0,35,46,16,9.417783127409548
8.799615900287556,6.854696736443433,-2.9242997460622604,0.1792861583571863,111.13570025393774,114.06,110.48928615835719,110.31,0.075,2.2,0.24,0.55,0.25,0.0,10,0.0,35,46,16,9.447226004925023
8.827446368078737,6.89593301252531,-2.973641499284824,0.09525655941389743,111.08635850071518,114.06,110.4052565594139,110.31,0.045,2.2,0.24,0.55,0.35,0.0,10,0.0,35,46,16,9.455514463730566
8.03310343355322,6.26415031802846,-4.099934068426975,-1.7534532369914473,109.96006593157303,114.06,108.55654676300855,110.31,0.045,2.6,0.16,0.55,0.25,0.0,10,0.0,35,46,16,9.466798880185621
8.826019712032597,6.891538483580279,-2.887837750974626,0.18284376859550378,111.17216224902538,114.06,110.4928437685955,110.31,0.06,2.2,0.24,0.25,0.25,0.0,10,0.0,35,46,16,9.467582581235948
7.4688742085450075,5.921335283366293,-5.434450502210169,-2.6886331659191285,108.62554949778983,114.06,107.62136683408087,110.31,0.045,2.2,0.2,0.25,0.35,0.0,10,0.0,35,46,16,9.496785917058736
