权重情景,审计排名,candidate_id,candidate_source,候选类型,审计得分,RMSE,MAE,峰值误差,末日误差,高价平台RMSE,低价回落RMSE,前期RMSE,中期RMSE,后期RMSE
原始权重,1,36003,fit_quality_refinement,综合最优 / RMSE最优,6.506379703114706,3.3677485127820477,2.738196964463413,-3.572711690220686,0.1772883097793141,2.8536323672284634,3.1439961084062618,3.2047602909245767,4.237366177448578,2.7374858002306452
原始权重,2,36002,local_stability_refinement,候选,6.593588990683059,3.437176535804258,2.8447421982715753,-2.935541663642468,0.8144583363575322,2.2751992130766516,3.3938553166717154,3.230544946227841,4.331262666662332,2.8116599197316505
原始权重,3,36001,continuous_refinement,候选,6.700674812579476,3.509049287885758,2.8882707203166076,-3.108761154632745,0.6412388453672548,2.6534029717771785,3.2512983381341463,3.2497015965602887,4.6360229362203205,2.6668471770053293
原始权重,4,29733,seeded_random,候选,9.82609147305049,4.885001529026707,3.8937213517647646,-4.786602155258834,-1.0366021552588336,3.615661692468591,6.259093926804749,5.31444898251814,5.198190507533749,4.411755970310761
原始权重,5,11233,seeded_random,候选,9.867187218799998,4.174933994830027,3.3794669289240464,-6.880660508172468,-3.722551342225728,6.072442330324227,4.320550377949618,3.235310540811753,5.302220931594513,3.735633847281831
原始权重,6,33484,seeded_random,候选,9.890065452087832,5.250565333927506,4.147656431895666,-2.7935395566062624,-1.1920740685661857,4.116006269064382,6.23199001046362,3.175155105057472,7.419757298285775,4.290139216962379
原始权重,7,18692,seeded_random,候选,10.222126152836529,5.576619728581588,4.423951373228382,-3.2857001745851733,-0.2903640751174947,2.9544864061841016,6.944849539965829,3.3839075686468054,7.013222270600706,5.415966176263146
原始权重,8,15574,seeded_random,候选,10.249024164819557,4.866631322839845,3.952671624408421,-4.935789132444526,-2.5446455626561573,5.2104207968388145,5.785295621004069,3.0907079172722662,6.381007881019303,4.441952209584583
原始权重,9,13968,seeded_random,候选,10.403477974001223,5.823613179354825,4.614560672709667,-2.4320231765696008,0.4370571394953941,2.6026009705579036,7.166824215981991,3.5978793706422723,7.772767397381189,5.218331987974277
原始权重,10,14177,seeded_random,候选,10.408162214251327,4.974109825193358,4.196941920952632,-5.73054541825104,-1.98054541825104,4.557934661806376,5.91911438502378,3.917598936209373,4.722785862807459,5.593499924376344
误差项权重整体-20%,1,36003,fit_quality_refinement,综合最优 / RMSE最优,5.878653465048173,3.3677485127820477,2.738196964463413,-3.572711690220686,0.1772883097793141,2.8536323672284634,3.1439961084062618,3.2047602909245767,4.237366177448578,2.7374858002306452
误差项权重整体-20%,2,36002,local_stability_refinement,候选,5.9623064997072985,3.437176535804258,2.8447421982715753,-2.935541663642468,0.8144583363575322,2.2751992130766516,3.3938553166717154,3.230544946227841,4.331262666662332,2.8116599197316505
误差项权重整体-20%,3,36001,continuous_refinement,候选,6.062349707640732,3.509049287885758,2.8882707203166076,-3.108761154632745,0.6412388453672548,2.6534029717771785,3.2512983381341463,3.2497015965602887,4.6360229362203205,2.6668471770053293
