day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,inventory_release_pressure,total_buffer_supply,observed_buffer_coverage_ratio,perceived_buffer_coverage_ratio,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,demand_decline,observed_demand_decline,price_elasticity_demand_loss,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,candidate_id,事件段,机制模型误差,在线校正系数,预测误差校正量,online_corrected_price,在线校正后误差,分段校正基础系数,分段校正平台增量,分段校正再定价增量,分段校正尾段增量,分段预测误差校正量,regime_corrected_price,分段校正后误差
15,11,calendar,2026-03-17,103.5,103.36902495755456,9434.56216214876,9474.737640899,896.3601904123461,40.175478750237744,670.7471383547796,155.65079543880177,29.78677786852664,0.3836516059964659,856.184711662108,0.955179313874084,0.8273959668542519,0.8273959668542519,0.0688064176260633,54496.810416422944,221.1957260518421,327.6190476190476,304.06663304915855,-0.0933933484212532,1.0216710630747463,0.106965107569682,20.467817013862263,11.9100217620141,0.7139423374659774,0.0,0.0,36003,高位平台形成,-0.1309750424454421,0.029520855038898716,0.025884917110221253,103.34314004044434,-0.15685995955566057,0.02925319184668485,0.0,0.0,0.0,0.025650220671558355,103.34337473688299,-0.1566252631170073
16,12,calendar,2026-03-18,109.65,103.25840053158812,9429.506142573213,9439.54596421364,861.1685137269887,10.039821640428272,670.7471383547796,172.9453282653353,7.436225466443864,0.3823601375252315,851.1286920865588,0.988341629448365,0.8837269487621915,0.8837269487621915,0.0563309819079396,54489.3741909565,233.74819318463503,348.0952380952381,326.7058426017229,-0.0962862383160034,1.0192656471775394,0.0259273896972115,20.74681229086687,12.404745688765365,0.6346971134404457,3.972298564352829,0.0,36003,高位平台形成,-6.391599468411883,0.028271169152894602,-0.0037028175797826444,103.2621033491679,-6.387896650832104,0.02835825937554525,-0.04935152183533306,0.0,0.0,0.002749593441739015,103.25565093814639,-6.394349061853617
17,13,calendar,2026-03-19,103.07,102.52585271098272,9439.3644499333,9413.465127148813,835.0876766621586,0.0,670.7471383547796,190.2398610918688,0.0,0.0,860.9869994466485,1.0310138965144466,0.9352773804754808,0.9352773804754808,0.0515504317132893,54489.3741909565,251.20649703617312,368.57142857142856,335.32837581501553,-0.0991791282107536,1.0171272244416083,0.0,20.975428028324096,12.87273447177046,0.5642478456165673,6.582516271042937,0.0,36003,高位平台形成,-0.5441472890172747,0.035871800401142996,-0.22927818037492273,102.75513089135764,-0.3148691086423554,0.033781742026281626,0.24972928156934743,0.0,0.0,-1.8120889077027313,104.33794161868545,1.2679416186854553
18,14,calendar,2026-03-20,104.41,101.70007086303082,9456.658982759836,9391.3045704156,812.9271199289487,0.0,670.7471383547796,207.53439391840232,0.0,0.0,878.2815322731819,1.080393937835344,0.9860681755514328,0.9860681755514328,0.050790795075952,54489.3741909565,270.7757210662763,389.04761904761904,337.9197085181222,-0.1020720181055038,1.015226159514393,0.0,21.160594195470676,13.315432892396284,0.5016182121219165,8.166542495299884,0.0,36003,高位平台形成,-2.70992913696918,0.049205946684477295,-0.026775282491886876,101.7268461455227,-2.683153854477297,0.030471359963561723,0.06717652153419033,0.0,0.0,-0.05313482999528188,101.7532056930261,-2.656794306973893
21,15,calendar,2026-03-23,96.07,101.19190501718302,9508.542581239435,9337.633627128916,759.2561766422623,0.0,670.7471383547796,259.4179923980029,0.0,0.0,930.1651307527824,1.2251005120120968,1.069729493312665,1.069729493312665,0.0836613177612324,54489.3741909565,304.8796453771074,430.0,357.48672749397883,-0.1107506877897545,1.0106979492772508,0.0,21.511252494865275,14.505087730222662,0.3524385899643876,9.394455858583784,0.0,36003,高位平台形成,5.121905017183025,0.05886059554016162,-0.15950804287364212,101.35141306005666,5.281413060056664,0.03105790923296998,0.09952208950742518,0.0,0.0,-0.3538625432919956,101.54576756047501,5.4757675604750204
22,16,calendar,2026-03-24,95.96,101.02532807557098,9525.83711406597,9335.242268259775,756.8648177731229,0.0,670.7471383547796,276.7125252245364,0.0,0.0,947.459663579316,1.2518215159834865,1.1334617012474526,1.1334617012474526,0.0637322079347872,54489.3741909565,303.59199060141793,430.0,361.165741138806,-0.1136435776845047,1.0095105125017565,0.0,21.574821905701096,14.85957291382996,0.3133190791141134,9.264936081424834,0.0,36003,高位平台形成,5.065328075570989,0.0,0.0,101.02532807557098,5.065328075570989,0.02590021561316157,-0.18490163798768391,0.0,0.0,-0.8143901829993032,101.83971825857029,5.879718258570293
23,17,calendar,2026-03-25,98.06,101.11640294715092,9543.131646892502,9330.58018457629,752.2027340896384,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.282572041663015,1.1856503203928994,1.1856503203928994,0.0521886191454468,54489.3741909565,301.0816378487715,430.0,368.3381775749385,-0.1165364675792549,1.0084548772574953,0.0,21.617726280511867,15.194901529850428,0.2785417038095505,8.989944133291036,0.0,36003,高位平台形成,3.0564029471509144,0.1134469033556833,0.5746457846541313,100.54175716249678,2.481757162496777,0.032823339581857305,0.1968776746734515,0.0,0.0,1.1635109964945476,99.95289195065637,1.892891950656363
24,18,calendar,2026-03-26,100.1,101.39682758614671,9543.131646892502,9324.077307894708,745.6998574080553,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.2937567130013885,1.2234875578058706,1.2234875578058706,0.0378372374129711,54489.3741909565,297.5800888663806,430.0,378.3426032389125,-0.1194293574740051,1.007516414013031,0.0,21.6428359399133,15.5121088093704,0.2476245014523041,8.633504975645206,0.0,36003,高位平台形成,1.2968275861467191,0.17317731663929473,0.5292996609560275,100.86752792519069,0.7675279251906915,0.03447916900914251,0.2881892593701083,0.0,0.0,0.9862047354508959,100.41062285069582,0.31062285069582174
25,19,calendar,2026-03-27,106.29,101.80847873481272,9543.131646892502,9316.12095904557,737.7435085589168,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.3077095023043548,1.25296523838034,1.25296523838034,0.0294776805744694,54489.3741909565,293.29590102453744,430.0,390.5831399298931,-0.1223222473687553,1.006682117066242,0.0,21.65262897746575,15.812174039038467,0.2201390056888124,8.235909075776439,0.0,36003,高位平台形成,-4.481521265187283,0.1838499661104542,0.23842170776417643,101.57005702704855,-4.719942972951458,0.0346295073720063,0.2964797474648279,0.0,0.0,0.42939161570089057,101.37908711911183,-4.910912880888176
28,20,calendar,2026-03-30,108.89,102.7193128656932,9543.131646892502,9295.184843582923,716.807393096271,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.3459043610565524,1.2854939313170144,1.2854939313170144,0.0325286929366743,54489.3741909565,282.0226080831126,430.0,422.7925483339641,-0.131000917053006,1.0046948772191528,0.0,21.61008068485777,16.61853348263771,0.1546703825463787,6.990927605828986,0.0,36003,高位平台形成,-6.170687134306803,0.1562139015983152,-0.7000759219307232,103.41938878762392,-5.470611212376085,0.033635877403672514,0.24168550023405808,0.0,0.0,-1.233858608644148,103.95317147433735,-4.936828525662648
