时间轴口径,样本数,最大day_index,RMSE,MAE,峰值误差,末日误差,高价平台RMSE,低价回落RMSE,前期RMSE,中期RMSE,后期RMSE,综合得分,平台解释得分
日历日口径,46,64,3.3800142208570323,2.756404510610001,-3.736033303113871,0.01396669688612917,2.703328358256369,3.1995872717351634,3.1656830713336013,4.2124893662403355,2.818804597088947,6.504903038337006,4.203328358256369
交易日序号口径,46,45,7.406798248607051,5.9836948403331105,-9.81219076649215,-15.94425702436709,15.988377824551028,6.011630861129085,3.8300144416406257,6.905605148823709,11.411048077840364,20.177913891550133,26.290956940894723
