指标,单位,冲突前可得月份,冲突前多国上报数值,冲突前上报国家地区数,同口径上年同期月份,同口径上年同期数值,同口径同比变化,同口径上年末月份,同口径上年末数值,同口径较上年末变化,同口径上年同期国家地区数,同口径上年末国家地区数,模型用途
多国原油及凝析油产量,KBD,2026-02,51456.9729,45,2025-02,48003.437999999995,3453.534900000006,2025-12,51348.58349999999,108.3894000000073,44,44,约束长期非海湾供给恢复和全球供给基线。
多国原油及凝析油期末库存,KBBL,2026-02,2203133.022,44,2025-02,2159379.215,43753.80700000003,2025-12,2183059.196,20073.825999999885,42,43,审计全球/多国库存缓冲数量级。
多国原油及凝析油进口,KBD,2026-02,26746.7055,46,2025-02,26548.393,198.3125,2025-12,27710.394700000004,-963.6892000000043,45,46,审计贸易流对封锁冲击的暴露方向。
多国原油及凝析油出口,KBD,2026-02,22887.2957,46,2025-02,23159.027099999996,-271.73139999999694,2025-12,23352.683500000003,-465.38780000000406,45,46,审计贸易流和替代供应能力。
多国油品总需求,KBD,2026-02,52784.434,45,2025-02,51206.27250000001,1578.1614999999947,2025-12,52360.6256,423.8084000000017,44,45,约束长期需求调整和需求弹性叙述。
多国油品炼厂总产出,KBD,2026-02,54428.6556,44,2025-02,46540.5394,7888.116199999997,2025-12,50112.457800000004,4316.1977999999945,43,44,审计炼厂系统对原油供应冲击的吸收能力。
多国油品期末库存,KBBL,2026-02,1837991.049,45,2025-02,1753308.437,84682.6120000002,2025-12,1788277.186,49713.86300000013,44,45,审计成品油库存缓冲和库存耗尽风险。
