sample_id,stress_index,raw_stress_index,historical_stress_noise_sigma,historical_event_volatility_percentile,路径类别,supply_interruption,spr_max_release,route_max_capacity,long_elasticity,fear_decay,risk_weight,uncertainty_floor,pressure_scale,relief_discount_strength,buffer_relief_strength,第90天价格,第120天价格,第150天价格,第180天价格,外推期最高价,外推期最低价,外推期均价,第180天剩余供需缺口,第180天SPR实际释放,第180天制度风险溢价,第180天冲击不确定性溢价,二次跳涨幅度,二次跳涨风险,是否突破120,是否突破130,是否高缺口
1,0.5344065547929531,0.6147970286529741,0.0734342963653308,0.9552656104380244,中性附近,1632.0220944912805,391.9689891560866,272.77120035579617,-0.1931919266522298,0.08801539818474007,2.2402839943783586,0.3192943135706394,0.026107250343896795,0.1956545473317777,0.17913449763317799,99.30471738618675,100.21875921646348,98.38416072849908,95.69864837538101,108.83573863654914,95.69864837538101,99.37979840397539,0.0,290.87710874268487,7.443030188380389,1.6433968090557365,0.0,低,False,False,False
2,0.6097790585197278,0.5882076494785593,0.0734342963653308,0.9552656104380244,中性附近,1613.5304135335398,406.09944738473547,232.53981306365912,-0.21016335460875077,0.09031004692502628,2.3595547482886063,0.36,0.02525828142824879,0.18263017868779102,0.16789894433560362,102.06520054993582,102.7466377400296,100.68893972308383,98.03014194109572,112.02909776992783,98.03014194109572,102.4161855709828,0.0,230.1655763433946,9.174537859337498,1.8529075718386598,1.7051310730417129,低,False,False,False
3,0.6432955795352233,0.6238214970674266,0.0734342963653308,0.9552656104380244,中性附近,1664.1523944932276,331.2440316296583,223.14034978461723,-0.19345552844815628,0.09053093775390375,2.700523841347338,0.36,0.03110225663640905,0.1768385238563134,0.16290273697086008,105.51086460872772,105.78249949087903,103.51005799542574,100.49738130272083,116.38120788173377,100.49738130272083,105.75614510114585,0.0,265.83600137187364,9.092812008787028,1.8529075718386598,6.057241184847655,低,False,False,False
4,0.22220596467089004,0.14868675791299305,0.0734342963653308,0.9552656104380244,缓和路径,1484.300662013732,617.3425015175758,333.3402839441892,-0.2780977772262572,0.1237496992604255,1.8654766968277425,0.21264100049466314,0.022494639659877205,0.24960280930487017,0.2256733041794775,92.72166306784727,93.12160279656007,91.26780645784164,89.17535248431739,100.1358867355465,89.17535248431739,91.84134456429268,0.0,151.84065758775182,4.7009470623056036,1.0601504325375204,0.0,低,False,False,False
5,0.0572614260610942,0.15404814429884253,0.0734342963653308,0.9552656104380244,缓和路径,1447.3758205619163,661.8239140616979,328.7717284348727,-0.32544500200381554,0.152373324479947,1.65,0.22565573009203918,0.03751549722006618,0.2781052255766429,0.25026109233909843,93.04562304640059,92.1681493570517,90.35291631677752,88.2080304334238,101.03970251475381,88.2080304334238,91.51724087540141,0.0,92.20815401999675,4.9884032086674175,1.1250371250376496,0.0,低,False,False,False
6,0.30569602738270657,0.3134936142598707,0.0734342963653308,0.9552656104380244,缓和路径,1566.5791879569244,550.125086084227,292.0643279287342,-0.22346075260691028,0.11056043568632916,1.84421492928394,0.2629028993675238,0.025093552108864676,0.23517572646826826,0.21322769068603567,94.04270604314023,94.74056848198107,92.95717025144756,90.79685004453913,100.97684277208111,90.79347534806153,93.35208471433772,0.0,220.54556520034154,5.777290405928123,1.310737918987753,0.0,低,False,False,False
7,0.3061146076585212,0.2971380643913831,0.0734342963653308,0.9552656104380244,缓和路径,1544.1333163573443,546.1888424495389,315.00379926620656,-0.24418173891300723,0.13274048246590592,2.0715215412545858,0.27497751816995547,0.024377688733366237,0.2351033957966075,0.21316529417848065,96.21280839745243,96.72204395325802,94.66926370105472,92.27543249017042,101.71110093226845,92.27543249017042,95.2441592923291,0.0,149.1445047411055,6.026885573516237,1.3709375621249895,0.0,低,False,False,False
8,0.019372943660553713,0.07534924991907092,0.0734342963653308,0.9552656104380244,缓和路径,1445.9444168658622,700.0,359.04510708288035,-0.35,0.16725400188184447,1.705744318355575,0.1932674126091703,0.02697487435997687,0.28,0.25590901488813084,92.40918271134976,91.37799616573616,89.5547398606126,87.64702468692269,101.06374401444602,87.64702468692269,90.85762136177001,0.0,70.05459307772594,4.266053857939394,0.9635607930567542,0.0,低,False,False,False
9,0.19054105020590548,0.2699502237245342,0.0734342963653308,0.9552656104380244,缓和路径,1464.8868363107758,594.9440322599906,324.40206518311544,-0.32075682034270386,0.15869852010232535,1.7538794143535108,0.24475783073412904,0.029754263681412665,0.25507450652441954,0.23039349810356613,93.48555077492775,93.41312004565555,91.75910166128267,89.52081051024165,100.60221509455106,89.52081051024165,92.41748157083212,0.0,94.90115101828493,5.595141778704549,1.2202732281926247,0.0,低,False,False,False
10,0.4257096396763452,0.3988260590768263,0.0734342963653308,0.9552656104380244,中性附近,1559.3167037166754,490.6751613867185,280.18223231888624,-0.2592334390005263,0.11224214741514994,2.3953044525909744,0.30974142663742993,0.02575613009715286,0.21443737426392753,0.19533762108920202,101.05655207648016,101.51911227463673,99.30773347774759,96.51364003405472,106.76860581128867,96.51364003405472,100.10190050887691,0.0,128.0290065828412,7.741359515321886,1.594228429801674,0.0,低,False,False,False
11,0.48330006561321487,0.4543842694718966,0.0734342963653308,0.9552656104380244,中性附近,1590.7114580766668,443.7551031005001,254.48141448887236,-0.24041034807471517,0.11023861048371485,2.3482423978077005,0.3317024595758591,0.023864388274671453,0.20448574866203645,0.18675278884866373,101.2016634500285,101.90102900977237,99.70920499495932,96.98558348381788,108.65647126928899,96.98558348381788,100.70225834442293,0.0,164.40117075231694,8.259866245910459,1.7072611081822677,0.0,低,False,False,False
12,0.7873595290318746,0.7842969217406529,0.0734342963653308,0.9552656104380244,高压尾部,1732.8024534991707,336.61251696827543,181.1573589903876,-0.13209917431880566,0.07095790299012388,2.8392549158882736,0.36,0.020528215201539336,0.15194427338329208,0.14142755566739365,111.47873013638448,107.38795035218446,105.6286778781075,107.41860835058552,122.37273403996643,105.57126630884359,109.95780302443286,424.20135171642505,0.0,11.78037524907119,1.8787204346401214,12.048767343080314,中,True,False,False
13,0.27505070760848194,0.23270467799195857,0.0734342963653308,0.9552656104380244,缓和路径,1523.467701612589,519.4136165435582,259.02834020740625,-0.2654196826813414,0.13648007744475016,1.964470881902209,0.2759121926973866,0.026160868691596385,0.24047123772525433,0.21779589668450777,96.33293541022464,96.6348316488853,94.44446320814677,92.00269653305241,101.9854041874662,92.00269653305241,95.18759454766618,0.0,165.62897598825109,6.46237604017319,1.375597508241838,0.0,低,False,False,False
14,0.23261725222858357,0.24317030038080462,0.0734342963653308,0.9552656104380244,缓和路径,1450.9284428460642,617.3836342567204,366.06315653574194,-0.3065969567344626,0.12765019381431578,1.698471695908921,0.27593731471150074,0.026551716469458246,0.24780373881490075,0.22412132473781166,93.63132718786966,93.86353106029584,92.27699798014294,89.97716408550357,100.55739859045856,89.97716408550357,92.752437647803,0.0,106.52523466946681,6.354202921848505,1.375722757436807,0.0,低,False,False,False
15,0.5039987106123319,0.5187308058055233,0.0734342963653308,0.9552656104380244,中性附近,1663.5931535736913,492.93363503639483,263.87871525961503,-0.2530297410318438,0.10311885127507428,2.1297351743808832,0.3173118534435471,0.03023287439836009,0.20090902280618902,0.18366730385644187,99.54930941620133,100.50935961116252,98.53334611082079,95.97711525972771,108.27256986251814,95.97711525972771,99.40957861160678,0.0,205.47224468396826,8.091238689209664,1.6331931552214098,0.0,低,False,False,False
16,0.17489093265461567,0.2509411342595888,0.0734342963653308,0.9552656104380244,缓和路径,1485.4609592855234,648.1852240726889,345.32964608517847,-0.30936787174619174,0.1466763952014521,1.912013233187779,0.2082172646513899,0.027329812796897016,0.2577788468372824,0.23272641423566426,93.59546446982378,93.54242189484384,91.75360581301372,89.53550503073285,100.73561441333791,89.53550503073285,92.49507384148882,0.0,124.47768803566764,4.778625201883686,1.0380952999113193,0.0,低,False,False,False
17,0.5637894132512565,0.47480854066137407,0.0734342963653308,0.9552656104380244,中性附近,1633.0652577489966,407.8814932358579,236.72541071927702,-0.2173425000357837,0.08207805597654076,2.456961732921872,0.32034633638582777,0.02740853038902588,0.19057718939018287,0.1747544829604522,101.38377415119866,102.20179902481695,100.21757404378376,97.60523145299413,110.37466138586525,97.60523145299413,101.52547601017815,0.0,220.5755931231458,8.064825375007645,1.648811534166874,0.050694688979135094,低,False,False,False
18,0.7044478505474068,0.6331773128536403,0.0734342963653308,0.9552656104380244,高压尾部,1628.140140024387,355.66293981087233,218.63596294799325,-0.17574699501716998,0.08547349164802061,2.5127747129805185,0.36,0.025474740486336935,0.1662714114254081,0.15378695115703384,103.79478295701371,103.44003627864376,101.52680043271704,98.5524536625594,115.79583323278116,98.5524536625594,103.96937635642826,0.0,320.13779925018514,8.629348363658815,1.8787204346401214,5.471866535895046,低,False,False,False
19,0.5539782634654892,0.4867788637940491,0.0734342963653308,0.9552656104380244,中性附近,1708.041402768381,426.445556189251,217.2354819472649,-0.20619659536082782,0.08549963611628564,2.473688571510172,0.33801064485630683,0.023631547020426507,0.19227255607316346,0.1762170016626048,103.86171509120322,104.29652675918787,102.0433430742413,98.8556542538661,111.83878102606948,98.8556542538661,103.5687288781009,0.0,319.6258265531892,8.375356687140588,1.7397291200453309,1.5148143291833662,低,False,False,False
20,0.36635244425291824,0.43481197971554325,0.0734342963653308,0.9552656104380244,中性附近,1577.4268477525359,545.5444323639871,295.97994497295105,-0.2896358357488057,0.11463664411754101,2.035794247860925,0.2824066281091214,0.023236093611998066,0.22469429763309573,0.20418582036346264,97.63819385421624,98.21505343106458,96.28451284802573,93.74077467614705,103.21290771522263,93.74077467614705,96.73551374364718,0.0,128.72863123184698,6.993018077374603,1.4535371654467102,0.0,低,False,False,False
21,0.40978454273655524,0.35742005636063306,0.0734342963653308,0.9552656104380244,中性附近,1561.071039615772,550.310282149139,307.13146675297736,-0.25323871302431494,0.10286228362440299,2.281488689724662,0.306076298986668,0.021779114197834848,0.21718923101512325,0.1977115275748438,100.18514595336272,100.77688988139569,98.46849441791996,95.7269432057378,105.89830020753288,95.7269432057378,99.21295878173724,0.0,147.78603017191477,7.5758773391511625,1.5753641443131963,0.0,低,False,False,False
22,0.46423494628943063,0.48956493822981756,0.0734342963653308,0.9552656104380244,中性附近,1569.3545916852727,474.6612500245395,256.6842429504043,-0.21376867267597055,0.10495139834744355,2.1650916784234493,0.31904165641267335,0.026451462306782893,0.20778020128118638,0.18959476906287415,98.91134332472298,99.77675960433346,97.8029624575071,95.28581216051585,107.20426221895818,95.28581216051585,98.54842449929262,0.0,227.34718283198305,7.879865571483043,1.642096391386085,0.0,低,False,False,False
23,0.2849311009404086,0.37714936465934795,0.0734342963653308,0.9552656104380244,缓和路径,1491.635785245816,572.1441162823418,312.4518251641697,-0.26267388676565884,0.11622456793860084,1.9510295025849802,0.2881184044489714,0.024665658381295648,0.2387639057574974,0.21632305605439844,96.22223102973659,96.39200204481423,94.30191001972507,91.8423706964353,101.76270286866112,91.8423706964353,95.03483846220354,0.0,137.64428128642922,6.544518127701523,1.4364532258032874,0.0,低,False,False,False
24,0.5761143185789905,0.5071332720393765,0.0734342963653308,0.9552656104380244,中性附近,1613.2449992806316,443.0859700993111,260.6393130710918,-0.21912333036458762,0.08440974949310874,2.2991446343360487,0.34805741009790025,0.028699852067671155,0.18844744574955044,0.1729172462514357,100.8285846786052,101.72536931350177,99.75299681255858,97.15956503166713,110.42134987777331,97.15956503166713,101.13827044042972,0.0,208.88176279573094,8.664953093444792,1.7914394739026474,0.09738318088719211,低,False,False,False
25,0.5815278549974141,0.6981770783237854,0.0734342963653308,0.9552656104380244,中性附近,1684.437574255668,372.95207743218884,262.6526414158501,-0.22658792795229216,0.09659308977256874,2.443725602614082,0.3564694588308049,0.03004265915054325,0.18751198665644683,0.17211026659771414,103.64999336911866,104.30041577209137,102.05420102223809,99.20457459333626,112.84727216034436,99.20457459333626,103.76330320232901,0.0,207.30285079469868,9.104623634826515,1.8347359983245215,2.523305463458243,低,False,False,False
