指标,数值
外推期最高价突破120,0.1995
外推期最高价突破130,0.05
第180天剩余缺口超过500,0.9125
二次跳涨风险为高,0.9125
第180天价格P05,87.76972836963267
第180天价格P50,104.91271536583153
第180天价格P95,116.5947800531207
外推期最高价P95,129.96842264179827
