day_index,trade_date,p05,p10,p25,p50,p75,p90,p95
65,2026-05-06,104.5910682656095,104.95941477166843,106.01865772513734,109.80343149795198,113.35573896026904,116.35164127367412,117.62886845145039
66,2026-05-07,100.62015792196122,101.23743187148098,102.88414639889773,109.03939044060523,115.21431413639624,120.20661619617393,122.41315881655824
67,2026-05-08,97.90601094990232,98.7053811637501,100.65134507533195,108.25870960316053,116.38871793703882,122.70685797099743,125.5871428332706
68,2026-05-09,96.08868539945296,97.00857132790132,99.13056919562058,107.46852194891616,117.01379079987828,124.26967425307336,127.62675510388848
69,2026-05-10,94.92458488024583,95.87229664710836,98.03585213509945,106.66927679027586,117.2634351885755,125.18966185037475,128.88236562357724
70,2026-05-11,94.15816878397894,95.14413283817629,97.41404884021895,105.86493791985043,117.28071441753981,125.64497159238903,129.58971023163213
71,2026-05-12,93.72609439108525,94.72936404603577,96.94107786286428,105.04765870936824,117.11209031789087,125.76755387539775,129.9132213641548
72,2026-05-13,93.49438224695194,94.52312866061988,96.74922736468525,104.2488537388713,116.81052062475712,125.66904846533366,129.96842264179827
73,2026-05-14,93.40562032244439,94.45789771715256,96.68783947691891,103.67613874334593,116.41483156374721,125.42450797453891,129.83630452038489
74,2026-05-15,93.41768090708544,94.49001613781468,96.68818382803924,103.10007370916986,115.94851392707218,125.08399984008936,129.57386195808692
75,2026-05-16,93.43710304400963,94.53508980011445,96.67864020534702,102.65385923465035,115.33691142823838,124.68679064197349,129.24086273331113
76,2026-05-17,93.4799357676273,94.59508782420188,96.7015485872992,102.17546116377252,114.64348308758407,124.23435517548104,128.85926457285686
77,2026-05-18,93.51725184221873,94.62683506304171,96.70568823681882,101.77356975069503,113.93122265651895,123.74379034758269,128.44039027194387
78,2026-05-19,93.58779602920895,94.65312818425224,96.73113752044833,101.43336942716618,113.11875872731652,123.23169762803721,127.9962945524955
79,2026-05-20,93.65116327663756,94.66449102249862,96.7589985220942,101.20056125042288,112.22149534994664,122.70570466565434,127.53814230589657
80,2026-05-21,93.70635719611823,94.68426509998595,96.77125433107456,100.95756944485662,111.50695599020119,122.1697938600173,127.08046169797247
81,2026-05-22,93.73307467730741,94.71481840524031,96.7724140742713,100.84470293651611,110.72363449131169,121.6686776007485,126.60757924813147
82,2026-05-23,93.78475472426315,94.75137673227755,96.78393136003801,100.6940032264248,109.95530546956846,121.14998468118021,126.13668129755517
83,2026-05-24,93.82461829294395,94.75738976619742,96.7883520960491,100.59652578712615,109.29353335216592,120.57760316371316,125.67249245176791
84,2026-05-25,93.87082263474932,94.74967749839513,96.79007726877938,100.53839431433391,108.82405809335425,120.02191142602173,125.21296713981607
85,2026-05-26,93.9096918068866,94.73334381018437,96.79562760603982,100.48289702182859,108.55036648754813,119.49809151670651,124.76241603884266
86,2026-05-27,93.87126069291747,94.72811966023387,96.77468684477898,100.4799752786896,108.0691859881216,119.03031795175382,124.34258417628259
87,2026-05-28,93.8655520858673,94.70558364537345,96.74065689392374,100.50251040235815,107.70704240298286,118.53068654467357,123.95511240416194
88,2026-05-29,93.84204708125495,94.68818337064579,96.72381864105164,100.49432299712237,107.59006472995351,118.08332684928898,123.57527893085351
89,2026-05-30,93.82442037503976,94.66782908192998,96.70660063760673,100.52599038831517,107.4822386992141,117.64885325310746,123.1924368411113
90,2026-05-31,93.80238444968111,94.64088401214751,96.69923670112047,100.52278738285314,107.50036930086814,117.23047804976488,122.82466519924799
91,2026-06-01,93.79985324796685,94.5995482720519,96.66336821385843,100.539156180058,107.48893027241498,116.81101413235997,122.47014368967115
92,2026-06-02,93.77329371431507,94.56830166217667,96.64287116958926,100.5878079631513,107.56023757454098,116.42770096534461,122.12860759355509
93,2026-06-03,93.71379982452288,94.54489590699261,96.59903054948661,100.64696058655558,107.6321964417836,116.06563765474903,121.78637231959951
94,2026-06-04,93.66938321347347,94.49406183354678,96.56871905235846,100.70753284989735,107.70444708429854,115.72503958035236,121.44371098438847
95,2026-06-05,93.57486466411889,94.44263083278783,96.53296624750007,100.7037293115374,107.7676374635178,115.56848346051792,121.10863793075198
96,2026-06-06,93.52730479850914,94.40298855255882,96.49996990238672,100.72904177047556,107.82278118242273,115.36635056013117,120.78446484745342
97,2026-06-07,93.46420502510412,94.34348807194168,96.45824418564098,100.76913249468305,107.87204869233241,115.27734249507643,120.46837770393422
98,2026-06-08,93.43697623488035,94.31132124981673,96.4270828990922,100.82836888182035,107.92146879278637,115.25963179124295,120.163046172778
99,2026-06-09,93.34198126874655,94.27198667479065,96.37913951924527,100.88916921635189,107.96774254574308,115.19029170440686,119.85568402364552
100,2026-06-10,93.26634789581682,94.22669173494091,96.34248966609005,100.91699735635612,108.00943740070878,115.19888144820098,119.55004810224283
101,2026-06-11,93.21300255152887,94.19554380911377,96.31929229737395,100.95900788843008,108.04598015823642,115.21873540747367,119.3669646136706
102,2026-06-12,93.16457200707654,94.13316134064385,96.28875746138874,100.99561697028707,108.07806122769601,115.23195006354426,119.19957143271216
103,2026-06-13,93.09604155020929,94.06667796114891,96.26985186377519,101.01497186792844,108.10528456309126,115.23768318679433,119.02769171941387
104,2026-06-14,93.03946881881318,94.00289253944108,96.22017423190798,101.05295910949764,108.12594978875329,115.23564372907721,118.84608769331552
105,2026-06-15,92.99266930937281,93.94583629606635,96.20222167346861,101.08885293327012,108.13992548292941,115.22587014441108,118.80250627173542
106,2026-06-16,92.91011971716512,93.88532330833392,96.1622956871291,101.11042244807764,108.14756159073411,115.20858918968737,118.74092572039278
107,2026-06-17,92.85152158625614,93.838818114095,96.10933425464877,101.1172644819402,108.15044459992244,115.18333826722588,118.61113042203391
108,2026-06-18,92.77665349402172,93.7739370800976,96.08044051101139,101.12002981414054,108.14945171022012,115.14420522959098,118.47742225547367
109,2026-06-19,92.70023641600665,93.70025760271767,96.04222121456111,101.1174721444921,108.14244071699288,115.0952469793953,118.40004487297745
110,2026-06-20,92.61453721436375,93.63182837265168,96.01934969578681,101.10979201801175,108.12917739221697,115.04099626024845,118.3160129911202
111,2026-06-21,92.5030911647045,93.5696832954949,95.96940679499582,101.0997730037798,108.1100429774911,114.98161006300201,118.22622219063335
112,2026-06-22,92.42074640364564,93.49143539733458,95.90531576888323,101.08494828153871,108.08609919696819,114.91732154706256,118.13157444328128
113,2026-06-23,92.34993753109542,93.42300228645806,95.84788416098215,101.06879397911916,108.061711409525,114.84760885808802,118.01669855479558
114,2026-06-24,92.28749425292936,93.34768729599142,95.81319141495527,101.05069246369564,108.0337914876165,114.77154754119117,117.89555563921925
115,2026-06-25,92.22299351811849,93.28297840166366,95.76565997174723,101.0226294836776,108.00104737381595,114.69308528312956,117.78021001101291
116,2026-06-26,92.14067477253238,93.20437036456089,95.73253338110646,100.98769918078028,107.96233925379386,114.61438210916121,117.66892403678376
117,2026-06-27,92.06098051078762,93.12507630137974,95.68536215980176,100.96318303962198,107.91986052751928,114.53032514034619,117.55524494281713
118,2026-06-28,91.98672680815736,93.04844593411175,95.64834553827542,100.9357406910859,107.87379074456891,114.44154518850306,117.43955390139753
119,2026-06-29,91.91197116917773,92.97083584507612,95.60540876139993,100.90517496866389,107.82369063859889,114.34872086898403,117.3221382238258
120,2026-06-30,91.83711020696396,92.88886365087303,95.55979214384972,100.86975599609528,107.76853321052133,114.25586295438463,117.2032156655278
121,2026-07-01,91.75321273810341,92.80884802761344,95.51190727641736,100.83469550468452,107.70850988534005,114.16286945994975,117.08463369640296
122,2026-07-02,91.66379185928265,92.71923172706248,95.4340997231753,100.7872206044569,107.64729046307303,114.06937840694611,116.96610618653554
123,2026-07-03,91.574491784926,92.64671532102531,95.36745024522475,100.74466562124435,107.58643096694736,113.97423853228199,116.84740439892884
124,2026-07-04,91.49175057908946,92.56274484738255,95.30617265645401,100.70155067724991,107.52311192658946,113.87758011420324,116.72835716096878
125,2026-07-05,91.41126200087521,92.48847362943403,95.25170938641625,100.65534497489449,107.45740725669536,113.77950581943279,116.60884400933922
126,2026-07-06,91.33398902992165,92.40638354068427,95.19716884273848,100.60697174613304,107.3894405835163,113.68010026382181,116.48878606174466
127,2026-07-07,91.24905047762908,92.32510179427933,95.14197612524782,100.54711892091933,107.319365432193,113.57943617954648,116.36813697198004
128,2026-07-08,91.15892528745769,92.25294710418537,95.09014840165433,100.49067824455443,107.24724167882502,113.47757836624288,116.24687499265684
129,2026-07-09,91.06937398433244,92.18156224507771,95.03099501560114,100.43552786293546,107.17233366070872,113.37458620542358,116.12499646364256
130,2026-07-10,90.9803991305516,92.10772775442649,94.96899626093466,100.37632306005912,107.09563206954019,113.27051525031656,116.00251069677053
131,2026-07-11,90.89199850081953,92.03584293689742,94.91221715521861,100.31290927905704,107.01724120472755,113.16539207686507,115.87943607856836
132,2026-07-12,90.80416706715668,91.97639195790019,94.84656711495956,100.2480797246632,106.93837580494622,113.05902297574106,115.75579716873246
133,2026-07-13,90.71705602694203,91.8968158242674,94.78714977656452,100.18190750200492,106.85942921672047,112.95173084799316,115.63162257919141
134,2026-07-14,90.63495627431234,91.83316457504341,94.72681300145462,100.11446164827191,106.77856541124748,112.84632421024823,115.51033797474078
135,2026-07-15,90.54900360623729,91.77095947473822,94.66717846346197,100.04801259958437,106.69997743916848,112.75092897514352,115.40189023657692
136,2026-07-16,90.46368412435127,91.69235117527697,94.59871762762556,99.98018071296545,106.62620103961459,112.66704387836346,115.30805229479101
137,2026-07-17,90.37918256631579,91.61117288893675,94.53846167900804,99.90999318824784,106.5614439914713,112.59616273357369,115.23162942691278
138,2026-07-18,90.29437917731532,91.54534138535821,94.47072347889652,99.84243386914059,106.50649434643393,112.54357068064354,115.17593424782869
139,2026-07-19,90.21063694097157,91.4722452987474,94.39807623985908,99.77980643049031,106.45732986549109,112.5091521731214,115.14386113021253
140,2026-07-20,90.13838426934446,91.40809019157753,94.33241898463643,99.70701645907796,106.42010811243847,112.4947576100388,115.136594749097
141,2026-07-21,90.08304316457226,91.34431567856228,94.2614046939817,99.62890677894984,106.40968660285219,112.49896095427985,115.15232865219393
142,2026-07-22,90.00882306783902,91.28390851336474,94.18184544766544,99.55631062436562,106.4058976008794,112.51741953052628,115.1856723940023
143,2026-07-23,89.93425658448484,91.22433556479248,94.11775777146565,99.4892944891262,106.42187125697347,112.5424060739253,115.22824400585812
144,2026-07-24,89.85928718396124,91.1494135367664,94.05378747419745,99.42619030574983,106.42845059151693,112.5647120504177,115.26976339627628
145,2026-07-25,89.78531900335287,91.07037940331229,93.98362094429127,99.35600047545424,106.4427381002009,112.58020124157194,115.30248446120508
146,2026-07-26,89.71119712022941,90.98671520206173,93.91351423728578,99.30630461325325,106.45278527920301,112.57939464949897,115.32018495237469
147,2026-07-27,89.636649990951,90.90744954636294,93.84689347087891,99.24056824980747,106.45555842504297,112.57457591913676,115.32006651230645
148,2026-07-28,89.56386160525744,90.82875912841509,93.77307648794967,99.19873721263485,106.44807139685996,112.54984388750437,115.30090199328573
149,2026-07-29,89.50105073007704,90.75415487259744,93.70033513382373,99.1609339909772,106.42854418577991,112.51013425261804,115.2635632924213
150,2026-07-30,89.44126556975242,90.69012749451495,93.64010410357731,99.12060875133903,106.75573068579014,114.31137534752895,116.65538841953696
151,2026-07-31,89.37866270068349,90.61745784984163,93.58016848385768,99.07573055924675,107.64820370623056,115.50268945153263,117.74416375004198
152,2026-08-01,89.30330920173708,90.54283571006556,93.50797901780987,99.04053033353361,109.04349427394317,116.40060863167214,118.50688287208196
153,2026-08-02,89.23347537035542,90.4752028361542,93.44093231196436,99.01121814794885,110.42393334365154,117.02443458598938,118.99813196695031
154,2026-08-03,89.16932651970018,90.40763257346656,93.38178444529376,99.2443950463259,111.39286614543009,117.36827643366452,119.26009410959807
155,2026-08-04,89.09778861355511,90.34030278946268,93.3298329460227,99.5360087131223,112.00328703767323,117.56064350720723,119.42238677727721
156,2026-08-05,89.02044562461042,90.27416443278491,93.27045833040204,100.90998554590095,112.46332744436246,117.6742491054203,119.49672326271808
157,2026-08-06,88.94360484440647,90.20276330798336,93.2236007026496,102.60226089682503,112.67168851024198,117.68111275603842,119.50425760517287
158,2026-08-07,88.8672636341379,90.12752796051205,93.16984655568453,103.8512933946783,112.75431735527013,117.65129609250049,119.4693555255517
159,2026-08-08,88.79141938128193,90.066876720127,93.11998381209038,104.68079140022044,112.83020147135866,117.58014111638285,119.4001050440145
160,2026-08-09,88.71632031168613,90.00497250693427,93.09465575306655,105.20353881186264,112.88674465595582,117.49150156877228,119.30672390319327
161,2026-08-10,88.65301730359738,89.93932513574283,93.08649194836681,105.59106823325209,112.82732390698636,117.39082956910454,119.19697528273856
162,2026-08-11,88.58428712990133,89.8803603153258,93.11136697475752,105.84156396281702,112.77490809603664,117.27793430948306,119.07616032348182
163,2026-08-12,88.51162768901476,89.80780942652002,93.36695561754155,105.98936680587728,112.69519574389959,117.15683383705519,118.94746247174265
164,2026-08-13,88.46850169174712,89.7305236213048,93.68155213387904,106.01099862837023,112.60602143486426,117.03030777184175,118.81414511910815
165,2026-08-14,88.4073238262296,89.68641661052382,94.78650185729816,106.01871985083213,112.50275500248173,116.90027339419147,118.67805428425973
